PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
AK2110106,ECHO RANCH BIBLE CAMP - JUNEAU,TNCWS,PO Box 210608,,99821,AUKE BAY,10,AK,160,"KILMER, BRETT",AK,Juneau City and Borough
AK2110110,TAKU GLACIER LODGE,TNCWS,P.O. BOX 33597,,99803-3597,JUNEAU,10,AK,110,"WARD, KEN",AK,Juneau City and Borough
AK2110318,CHURCHILL PARK,CWS,5454 Shaune Dr.,,99801-9539,JUNEAU,10,AK,250,"COLOMBO, JEREMY",AK,Juneau City and Borough
AK2110342,CITY AND BOROUGH OF JUNEAU,CWS,2009 Radcliffe Rd.,,99801,JUNEAU,10,AK,33732,"HEALY, ROGER",AK,Juneau City and Borough
AK2110449,THUNDER MOUNTAIN MOBILE PARK,CWS,5454 Shaune Dr.,,99801-9539,JUNEAU,10,AK,180,"COLOMBO, JEREMY",AK,Juneau City and Borough
AK2110520,ECHO RANCH BIBLE CAMP - HAINES,TNCWS,PO Box 210608,,99821,AUKE BAY,10,AK,152,"KILMER, BRETT",AK,Haines Borough
AK2110562,CHILKAT INDIAN VILLAGE,CWS,HC 60 Box 2207,,99827,HAINES,10,AK,113,"BROWER, JOHN",AK,Haines Borough
AK2110601,SKAGWAY,CWS,CITY HALL BOX 415,,99840,SKAGWAY,10,AK,9216,"LAWSON, GRANT",AK,Not Reported
AK2110643,EAGLECREST SKI AREA,TNCWS,155 S. Seward,,99801,JUNEAU,10,AK,771,"ABBOTT, NATE",AK,Juneau City and Borough
AK2110855,HAINES FERRY TERMINAL,TNCWS,P.O. Box 791,,99827,HAINES,10,AK,200,"VON STAUFFENBERG, EDITH",AK,Haines Borough
AK2111275,DALTON CACHE (HAINES) BORDER STATION,TNCWS,P.O. Box 20869,,99802,JUNEAU,10,AK,124,"JONES, MICHELLE",AK,Haines Borough
AK2111465,GOLD RUSH TRAIL CAMP,TNCWS,9085 Glacier Hwy. Suite 301,,99801,JUNEAU,10,AK,256,"LJUNGBERG, DIRK",AK,Not Reported
AK2111470,ELFIN COVE,TNCWS,PO Box 1,,99825,ELFIN COVE,10,AK,320,"WILD, JAMES",AK,Not Reported
AK2111476,GUSTAVUS AIRPORT,TNCWS,PO Box 112506,,99811-2506,JUNEAU,10,AK,137,"GRAY, SCOTT",AK,Not Reported
AK2111513,DOC WARNERS FISH CAMP,TNCWS,1673 TEMPLEVIEW DR,,84010-1389,BOUNTIFUL,10,AK,90,"WARNER, MARK",UT,Juneau City and Borough
AK2111523,SHRINE OF ST. THERESE,TNCWS,"415 Sixth St., Suite 300",,99801,JUNEAU,10,AK,78,"ARNOLD, NEAL",AK,Juneau City and Borough
AK2111526,CHILKAT RIVER ADVENTURES,TNCWS,P.O. BOX 556,1 1/2 MILE HAINES HIGHWAY N,99827-0556,HAINES,10,AK,81,"HESS, KAREN",AK,Haines Borough
AK2111544,SKAGWAY BORDER STATION,TNCWS,P.O. Box 20869,,99802,JUNEAU,10,AK,233,"JONES, MICHELLE",AK,Not Reported
AK2111555,WHITE PASS RV PARK,TNCWS,PO Box 435,#1 Shops Road,99840,SKAGWAY,10,AK,44,"LAMBERT, VINCE",AK,Not Reported
AK2111561,KENSINGTON MINE JUALIN LABOR CAMP,NTNCWS,3031 Clinton Drive Suite 202,,99801,JUNEAU,10,AK,65,"EPPERS, KEVIN",AK,Juneau City and Borough
AK2111564,PYBUS POINT LODGE,TNCWS,P.O. Box 33497,,99803,JUNEAU,10,AK,44,"JORGENSEN, SCOTT",AK,Juneau City and Borough
AK2111566,HAINES BOROUGH,CWS,P.O. BOX 1209,,99827-1209,HAINES,10,AK,1748,"BRADFORD, SCOTT",AK,Haines Borough
AK2113560,HECLA GREENS CREEK HAWK INLET,NTNCWS,P.O. Box 32199,,99803,JUNEAU,10,AK,151,"WALLACE, CHRIS",AK,Juneau City and Borough
AK2119205,HECLA GREENS CREEK 920 LEVEL,NTNCWS,P.O. Box 32199,,99803,JUNEAU,10,AK,175,"WALLACE, CHRIS",AK,Juneau City and Borough
AK2120012,VALLENAR VIEW MOBILE HOME PARK,CWS,P.O. BOX 6420,,99901,KETCHIKAN,10,AK,225,"KARLSON, DAN",AK,Ketchikan Gateway Borough
AK2120020,CLOVER PASS RESORT,TNCWS,PO Box 8331,,99901,KETCHIKAN,10,AK,133,"THOMAS, RUSSELL",AK,Ketchikan Gateway Borough
AK2120127,SAXMAN,CWS,Rt. 2 Box 1 - Saxman,,99901,KETCHIKAN,10,AK,450,"HAFFNER, LEONA",AK,Ketchikan Gateway Borough
AK2120135,BOYER TOWING,TNCWS,P.O. Box 8000,,99901,KETCHIKAN,10,AK,39,"HALVERSON, KENT",AK,Ketchikan Gateway Borough
AK2120143,WRANGELL,CWS,PO BOX 531,,99929,WRANGELL,10,AK,2300,"AL-HADDAD, AMBER",AK,Not Reported
AK2120169,KLAWOCK,CWS,P.O. Box 469,,99925,KLAWOCK,10,AK,904,"ISAACS, LESLIE",AK,Not Reported
AK2120193,CRAIG PUBLIC WORKS,CWS,P.O. BOX 725,,99921,CRAIG,10,AK,1475,"NELSON, DAVID",AK,Not Reported
AK2120216,"THORNE BAY, CITY OF",CWS,PO Box 19110,,99919,THORNE BAY,10,AK,470,"BENNER, WAYNE",AK,Not Reported
AK2120224,HYDABURG,CWS,PO Box 49,,99922,HYDABURG,10,AK,415,"PEELE, NATASHA",AK,Not Reported
AK2120232,KETCHIKAN PUBLIC UTILITIES,CWS,2930 TONGASS,,99901,KETCHIKAN,10,AK,8787,"KLEINEGGER, JOHN",AK,Ketchikan Gateway Borough
AK2120436,COFFMAN COVE,CWS,P.O. BOX 18047,,99918,COFFMAN COVE,10,AK,199,"FITZPATRICK, MISTY",AK,Not Reported
AK2120541,HOLLIS SCHOOL,NTNCWS,PO Box NKI 9,,99950,NAUKATI BAY,10,AK,42,"ANANIA, BRANZON",AK,Not Reported
AK2120567,WATERFALL RESORT,TNCWS,P.O. Box 6440,,99901,KETCHIKAN,10,AK,168,"WILKS, BABE",AK,Ketchikan Gateway Borough
AK2120575,CLOVER PASS CHRISTIAN SCHOOL,NTNCWS,105 N Point Higgins,,99901,KETCHIKAN,10,AK,150,"COOKE, MIKE",AK,Ketchikan Gateway Borough
AK2120591,YES BAY LODGE,TNCWS,1621 Tongass Ave Suite 100,,99901,KETCHIKAN,10,AK,50,"HACK, KEVIN",AK,Ketchikan Gateway Borough
AK2120606,KASAAN,CWS,PO Box KXA,,99950,KASAAN,10,AK,46,"ESCOFFON, SKIP",AK,Ketchikan Gateway Borough
AK2120729,WARD COVE DELI %26 LIQUOR,TNCWS,P.O. Box 559,,99928,WARD%27S COVE,10,AK,110,"CARSON, JEFF",AK,Ketchikan Gateway Borough
