PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
AL0000001,AUTAUGA CO WATER AUTHORITY,CWS,,P O BOX 680294,36068,PRATTVILLE,04,AL,7218,"GOLSON, DAVID",AL,Autauga
AL0000002,TOWN OF AUTAUGAVILLE WATER WORKS,CWS,,P O BOX 237,36003,AUTURGAVILLE,04,AL,2088,"STOUDEMIRE, CURTIS",AL,Autauga
AL0000003,BILLINGSLEY WATER SYSTEM,CWS,Town Phone/Fax # 205-755-6031 PO Box 142,P. O. BOX 143,36006,BILLINGSLEY,04,AL,1473,"DAVIS, GREGG",AL,Autauga
AL0000004,ALABAMA DOT/I-10 AL/FL WELCOME CENTER,TNCWS,,47450 Rabun Road,36507,BAY MINETTE,04,AL,500,"HUNTER, NICKOLAS",AL,Baldwin
AL0000013,"MARBURY WATER SYSTEM, INC.",CWS,JAMES ALLEN GUY,P O BOX 180,36051,MARBURY,04,AL,7320,"GUY, JAMES %22ALLEN%22",AL,Autauga
AL0000017,PRATTVILLE (WATER WORKS BOARD OF),CWS,,P O BOX 680870,36068,PRATTVILLE,04,AL,39603,"BUCKNER, JASPER N. %22BUDDY%22",AL,Autauga
AL0000021,INTERNATIONAL PAPER (AUTAUGA CO.),NTNCWS,100 Jensen Road,,36067,PRATTVILLE,04,AL,600,"GUNTER, CARL",AL,Autauga
AL0000022,BALDWIN BAPTIST CAMP,TNCWS,,8749 BAPTIST CAMP RD,36530,ELBERTA,04,AL,250,"PAYNE, DAVID",AL,Baldwin
AL0000023,NORTH BALDWIN UTILITIES,CWS,,25 Hand Avenue,36507,BAY MINETTE,04,AL,15795,"PADGETT, JASON",AL,Baldwin
AL0000025,BELFOREST WATER SYSTEM,CWS,,9080 County Road 64,36526,DAPHNE,04,AL,3843,"SCHULTZE, RUDD",AL,Baldwin
AL0000028,"PARK CITY WATER AUTHORITY, INC",CWS,p.o. box 28,,36526,DAPHNE,04,AL,810,"RENCHER, TIFFANY",AL,Baldwin
AL0000029,DAPHNE (UTILITIES BOARD OF THE CITY OF),CWS,,900 DAPHNE AVENUE,36526,DAPHNE,04,AL,25968,"LYNDALL, DANNY",AL,Baldwin
AL0000035,FAIRHOPE WATER SYSTEM (CITY OF),CWS,P O BOX 429,,36533,FAIRHOPE,04,AL,38754,"WHITMAN, JAY",AL,Baldwin
AL0000036,FOLEY (UTILITIES BOARD OF THE CITY OF),CWS,P.O. BOX 2050,,36536,FOLEY,04,AL,20880,"WALLACE, JAMES",AL,Baldwin
AL0000038,GULF SHORES (UTILITIES BOARD CITY OF),CWS,,P O BOX 1229,36542,GULF SHORES,04,AL,23823,"JOHNSON, CLIFFORD",AL,Baldwin
AL0000040,"HUBBARD LANDING, INC",TNCWS,,9100 HUBBARD LANDING RD,36579,STOCKTON,04,AL,15,"BRYARS, PAUL",AL,Baldwin
AL0000048,LOXLEY (TOWN OF),CWS,,P. O. BOX 9,36551,LOXLEY,04,AL,6081,"MIDDLETON, HON. BILLY",AL,Baldwin
AL0000049,STYX RIVER RESORT WATER SYSTEM,TNCWS,,25301 Water World Rd,36567,ROBERTSDALE,04,AL,200,"EVANS, BILL",AL,Baldwin
AL0000051,MAGNOLIA SPRINGS HEAD START CENTER,NTNCWS,,P.O. BOX 250,36526,DAPHNE,04,AL,70,"GIDDINGS, AMBER",AL,Baldwin
AL0000053,"ORANGE BEACH WATER, SEWER AND F.P.A.",CWS,,P O BOX 247,36561,ORANGE BEACH,04,AL,13548,"SULLIVAN, JUDY",AL,Baldwin
AL0000058,WILDERNESS RV PARK,TNCWS,,24280 PATTERSON RD,36567,ROBERTSDALE,04,AL,25,"KALARIS, GEORGE",AL,Baldwin
AL0000061,ROBERTSDALE (CITY OF),CWS,,P. O. BOX 429,36567,ROBERTSDALE,04,AL,7260,"MURPHY, HON. CHARLES",AL,Baldwin
AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),CWS,,P O BOX 309,36576,SILVERHILL,04,AL,1572,"WILSON, TIMOTHTY",AL,Baldwin
AL0000066,SOUTHPORT CAMPGROUNDS,TNCWS,PO Box 2386,,36547,GULF SHORES,04,AL,60,"LAWRENZ, DAVID",AL,Baldwin
AL0000068,SPANISH FORT WATER SYSTEM,CWS,,P O BOX 7048,36577,SPANISH FORT,04,AL,9264,"ASHCRAFT, JIMMY",AL,Baldwin
AL0000073,SUMMERDALE WATER WORKS,CWS,,105 W Broadway St,36580,SUMMERDALE,04,AL,1071,"WILSON, HON. DAVID",AL,Baldwin
AL0000076,"WHITE HOUSE WATER SYSTEM, INC.",CWS,11120 white house fork road extension,,36507,BAY MINETTE,04,AL,5163,"CROOK, RUFFIN",AL,Baldwin
AL0000079,BAKERHILL WATER AUTHORITY,CWS,,1910 Highway 131,36027,BAKERHILL,04,AL,7128,"HARTZOG, PAUL",AL,Barbour
AL0000081,BLUE SPRINGS WATER WORKS,CWS,,2571 Highway 10,36017,CLIO,04,AL,600,"KNIGHT, ALLEN",AL,Barbour
AL0000082,CLAYTON WATER WORKS %26 SEWER,CWS,,P. O. BOX 249,36016,CLAYTON,04,AL,2235,"WARR, ROBERT L.",AL,Barbour
AL0000083,CLIO WATER WORKS,CWS,,3311 Elamville St.,36017,CLIO,04,AL,2730,"KNIGHT, MICHELL",AL,Barbour
AL0000085,EUFAULA WATER WORKS,CWS,,840 WEST WASHINGTON STREET,36027,EUFAULA,04,AL,17958,"BAKER, DARYL",AL,Barbour
AL0000087,WEST BARBOUR COUNTY WATER AUTHORITY,CWS,,1941 Main St.,36048,LOUISVILLE,04,AL,1407,"JACKSON, ROBERT",AL,Barbour
