PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
AR0000001,MARYSVILLE WATER ASSOCIATION,CWS,P O BOX 106,,71758,MOUNT HOLLY,06,AR,729,"GLASS, JERRY",AR,Union
AR0000002,MOUNT HOLLY WATERWORKS,CWS,191 WOOD ACRE DR,,71730-0000,EL DORADO,06,AR,384,"WOOD, DANNY",AR,Union
AR0000003,CALICO ROCK WATERWORKS,CWS,P O BOX 370,,72519,CALICO ROCK,06,AR,1840,"HICKS, STEPHEN",AR,Izard
AR0000004,FORREST CITY WATERWORKS,CWS,P O BOX 816,,72336-0816,FORREST CITY,06,AR,15425,FC WATER COMMISSION,AR,St. Francis
AR0000005,ST CHARLES WATERWORKS,CWS,P O BOX 226,,72140-0226,ST CHARLES,06,AR,347,"POSTON, ROBERT",AR,Arkansas
AR0000006,ALMYRA WATERWORKS,CWS,P O BOX 189,,72003-0000,ALMYRA,06,AR,406,"BENNETT, MARK",AR,Arkansas
AR0000007,NORTHEAST DEWITT WATER ASSOC,CWS,101 E GEORGE PIKE LN,,72042-0000,DEWITT,06,AR,662,"ESTES, DAVID",AR,Arkansas
AR0000008,DEWITT WATERWORKS,CWS,P O BOX 432,,72042,DEWITT,06,AR,3294,"CHAPMAN, ALLEN",AR,Arkansas
AR0000009,GILLETT WATER DEPT,CWS,2592 HWY 15 NORTH,,72086,LONOKE,06,AR,681,"HILLMAN, JOHN",AR,Arkansas
AR0000010,HUMPHREY WATERWORKS,CWS,P O BOX 128,,72073,HUMPHREY,06,AR,549,"HENDERSON, RODNEY",AR,Arkansas
AR0000011,HUGHES COMMUNITY WATER ASSOC,CWS,P O BOX 69,,72348-0000,HUGHES,06,AR,2030,"COX, LARRY",AR,St. Francis
AR0000012,NORTH LAGRUE WATER ASSOC,CWS,1120 Hwy 130 West,,72042,DEWITT,06,AR,296,"EDWARDS, NADINE",AR,Arkansas
AR0000013,STUTTGART WATERWORKS,CWS,P O BOX 130,,72160-0000,STUTTGART,06,AR,9076,"LAWSON, TOMMY",AR,Arkansas
AR0000014,MONTROSE BOYDELL WATER SYSTEM,CWS,PO BOX 185,,71658,MONTROSE,06,AR,539,"CARLTON, JOSEPH",AR,Ashley
AR0000015,HAMBURG WATERWORKS,CWS,P O BOX 72,,71646-0000,HAMBURG,06,AR,5481,"HARGIS, JIMMY",AR,Ashley
AR0000016,FOUNTAIN HILL WATERWORKS,CWS,P O BOX 97,,71642-0000,FOUNTAIN HILL,06,AR,895,"PRUITT, HAROLD",AR,Ashley
AR0000017,CROSSETT WATER COMMISSION,CWS,P O BOX 616,,71635,CROSSETT,06,AR,8038,"WHITE, JENNIFER",AR,Ashley
AR0000018,PORTLAND WATERWORKS,CWS,P O BOX 126,,71663,PORTLAND,06,AR,615,"MORGAN, GARY DON",AR,Ashley
AR0000019,PARKDALE WATERWORKS,CWS,P O BOX 145,,71661,PARKDALE,06,AR,288,"WATKINS, LEONARD",AR,Ashley
AR0000021,WILMOT WATERWORKS,CWS,PO BOX 67,,71676,WILMOT,06,AR,550,"KITCHEN, THEODIS",AR,Ashley
AR0000022,NORTH CROSSETT UTILITIES,CWS,PO BOX 578,,71635,CROSSETT,06,AR,2924,"KINNEY, RALPH",AR,Ashley
AR0000023,NORTH EAST CROSSETT WATER ASSN,CWS,PO BOX 578,,71635,CROSSETT,06,AR,154,"KINNEY, RALPH",AR,Ashley
AR0000024,BRIARCLIFF WATERWORKS,CWS,945 SCENIC DR,,72653,MOUNTAIN HOME,06,AR,313,"RHINE, CLINT W",AR,Baxter
AR0000025,MOUNTAIN HOME WATERWORKS,CWS,720 S HICKORY,,72653-0000,MOUNTAIN HOME,06,AR,16144,"CLARK, ALMA L.",AR,Baxter
AR0000026,BIG FLAT WATERWORKS,CWS,P O BOX 101,,72617-0000,BIG FLAT,06,AR,523,"HAFNER, CHARLES",AR,Baxter
AR0000027,LAKEVIEW-MIDWAY PUBLIC WATER AUTHORITY,CWS,P O BOX 203,,72642,LAKEVIEW,06,AR,3012,"BURCH, JAN",AR,Baxter
AR0000028,COTTER WATERWORKS,CWS,P O BOX 9,,72626,COTTER,06,AR,980,"MORROW, JUSTIN",AR,Baxter
AR0000031,LAKE BULL SHOALS ESTATES WATER,CWS,636 WEST PINE ST,,72644,LEAD HILL,06,AR,54,"STEWART, JAMES",AR,Marion
AR0000033,NORTH EAST PUBLIC WATER AUTH,CWS,66 FLORENCE DRIVE,,72653,MOUNTAIN HOME,06,AR,3927,"LANCE, GERRY",AR,Baxter
AR0000034,GASSVILLE WATERWORKS,CWS,PO BOX 28,,72635,GASSVILLE,06,AR,1618,"BRAIM, JEFF",AR,Baxter
AR0000035,NORFORK WATERWORKS,CWS,P O BOX 239,,72658-0000,NORFORK,06,AR,1503,"MCFALL, CORY",AR,Baxter
AR0000036,SALESVILLE COMMUNITY WATER ASSOCIATION,CWS,19 WATER TOWER RD,,72653-0000,SALESVILLE,06,AR,567,"QUALLS, LOUIS",AR,Baxter
AR0000037,BENTON CO WATER,CWS,P O BOX 127,,72711,AVOCA,06,AR,5743,"COOPER, EDWIN",AR,Benton
AR0000038,BEAVER WATER DISTRICT,CWS,P O BOX 400,,72745-0400,LOWELL,06,AR,54,"FORTENBERRY, ALAN",AR,Benton
AR0000039,BELLA VISTA POA,CWS,51 HUNTLEY LANE,,72715,BELLA VISTA,06,AR,27228,"HOLT, CHARLIE",AR,Benton
AR0000040,RAMBO WATER DISTRICT #1 INC.,CWS,8668 BUTTERMILK ROAD,,72756,ROGERS,06,AR,93,"WHITTLE, D%27ANN",AR,Benton
AR0000041,BENTONVILLE WATER UTILITIES,CWS,117 W CENTRAL AVE,,72712-0000,BENTONVILLE,06,AR,42343,"NEWBILL, PRESTON",AR,Benton
AR0000042,MOCKINGBIRD HILL WATER ASSOC,CWS,P O BOX 322,,72641-0000,JASPER,06,AR,717,"REYNOLDS, IVAN",AR,Newton
