PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
AZ0401001,ALPINE DWID,CWS,ATTN: SHAWNA METZGER,PO BOX 595,85920,ALPINE,09,AZ,582,"METZGER, SHAWNA",AZ,Apache
AZ0401002,CHAPACHE HOA,TNCWS,COUNTY RD 2050,PO BOX 341,85920,ALPINE,09,AZ,100,"RAMIREZ, BEN",AZ,Apache
AZ0401004,EAGAR TOWN OF,CWS,,PO BOX 1300,85925-1018,EAGAR,09,AZ,5000,EAGAR TOWN OF,AZ,Apache
AZ0401007,CROSBY SPRING AT GREER,TNCWS,ATTN JANET PEGNAM,PO BOX 198,85927,GREER,09,AZ,101,CROSBY SPRINGS USERS,AZ,Apache
AZ0401010,PINECREST WATER COMPANY,CWS,,PO BOX 91,85932-0091,NUTRIOSO,09,AZ,82,"CASTILLO, ELSA",AZ,Apache
AZ0401011,OLD CONCHO WATER USERS,CWS,,PO BOX 675,85936,ST. JOHNS,09,AZ,60,"ROMERO, GABRIELLA",AZ,Apache
AZ0401012,ST JOHNS CITY OF,CWS,,PO BOX 455,85936,SAINT JOHNS,09,AZ,3800,ST JOHNS CITY OF,AZ,Apache
AZ0401013,SPRINGERVILLE TOWN OF,CWS,ATTN TIM RASMUSSEN,418 E MAIN ST,85938,SPRINGERVILLE,09,AZ,1972,SPRINGERVILLE TOWN OF,AZ,Apache
AZ0401014,TAL WI WI WATER USERS,TNCWS,P.O. BOX 638,,85920,ALPINE,09,AZ,84,"LEE, EMERY",AZ,Apache
AZ0401015,TIMBER KNOLL DWID,CWS,,PO BOX 258,85940,VERNON,09,AZ,132,"BRADLEY, CAROL",AZ,Apache
AZ0401018,LIVCO WATER COMPANY,CWS,,PO BOX 659,85924,CONCHO,09,AZ,765,"KAUTZ, RICH",AZ,Apache
AZ0401019,VERNON DWID,CWS,,PO BOX 61,85940-0061,VERNON,09,AZ,100,"KNOWLTON, CARL",AZ,Apache
AZ0401021,AZ STATE PARKS - LYMAN LAKE,TNCWS,,HC 30 BOX 35A,85936,ST JOHNS,09,AZ,100,"ROLLINS, MICHAEL",AZ,Apache
AZ0401022,SANDERS SCHOOL DISTRICT,CWS,,PO BOX 250,86512,SANDERS,09,AZ,350,"JOE, JONES",AZ,Apache
