PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,CWS,8721 Norris Canyon Road,,94552-9520,CASTRO VALLEY,09,CA,50,"FERRIS, MARY JO",CA,Alameda
CA0103041,TRAILER HAVEN MOBILE HOME PARK,CWS,3511 Del Paso Road,STE 160 RM 240,95835-2808,SACRAMENTO,09,CA,543,"TRAVASSOS, RICHARD",CA,Alameda
CA0105002,RIVERS END MARINA,TNCWS,6020 LINDEMAN RD UNIT 21AA,,94505-1951,DISCOVERY BAY,09,CA,250,"MIZE, SANDY",CA,Alameda
CA0105003,CEMEX/ELIOT PLANT,NTNCWS,2365 IRON POINT RD STE 120,,95630-8714,FOLSOM,09,CA,70,"MATAMOROS, ROSA FIBLA",CA,Alameda
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,CWS,"951 TURNER COURT, SUITE 100",,94545,HAYWARD,09,CA,524,"THONI, JANICE",CA,Alameda
CA0105009,MOUNTAIN HOUSE SCHOOL,NTNCWS,3950 MOUNTAIN HOUSE RD,,94514-1920,BYRON,09,CA,50,"COSTA, GAY",CA,Alameda
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,TNCWS,PO Box 5381,,94605-0381,OAKLAND,09,CA,10000,"MACLEAN, HAL",CA,Alameda
CA0105012,EBRPD - SUNOL REGIONAL WILDERNESS,TNCWS,PO Box 5381,,94605-0381,OAKLAND,09,CA,35,"MACLEAN, HAL",CA,Alameda
CA0105013,EBRPD - REDWOOD SPRING REGIONAL PARK,TNCWS,PO Box 5381,,94605-0381,OAKLAND,09,CA,35,"MACLEAN, HAL",CA,Alameda
CA0105016,MOUNTAIN HOUSE BAR,TNCWS,16784 W GRANT LINE RD,,95391-9602,TRACY,09,CA,25,"ALVAREZ, JOSIE",CA,Alameda
CA0105017,RANCHO LOS MOCHOS-BSA CAMP,TNCWS,1001 Davis Street,,94577-1514,SAN LEANDRO,09,CA,600,"LEWIS, JASON",CA,Alameda
CA0105018,PURPLE ORCHID RESORT SPA,TNCWS,4549 CROSS RD,,94550-9759,LIVERMORE,09,CA,45,"EDDY, DEREK",CA,Alameda
