PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
CO0101015,BELLEVIEW CHRISTIAN COLLEGE,CWS,8312 GROVE ST,,80031,WESTMINSTER,08,CO,460,"BLUE, BARRY W",CO,Adams
CO0101020,BENNETT TOWN OF,CWS,365 PALMER AVE,,80102,BENNETT,08,CO,3100,"JOHNSON, DAYMON",CO,Adams
CO0101025,BRIGHTON CITY OF,CWS,500 SOUTH 4TH AVE,,80601,BRIGHTON,08,CO,36010,"BAUERS, CURTIS",CO,Adams
CO0101030,BRIGHTON VILLAGE LLC,CWS,10579 BRADFORD RD STE 107,,80127,LITTLETON,08,CO,77,"SUCHER, JEFFREY",CO,Adams
CO0101031,ESTATES AT BROMLEY,CWS,,PO BOX 1026,80642,HUDSON,08,CO,150,"GANTT, JOE",CO,Adams
CO0101034,EASTGATE VILLAGE MANUFACTURED HOMES,CWS,1970 E 68TH AVE,,48334,FARMINGTON HILLS,08,CO,1500,"MICHEL, FRANK",MI,Adams
CO0101040,CRESTVIEW WSD,CWS,,PO BOX 21299,80221-0299,DENVER,08,CO,17000,"TERRY, MITCHELL",CO,Adams
CO0101055,FEDERAL HEIGHTS CITY OF,CWS,2380 W 90TH  AVE,,80260-6700,FEDERAL HEIGHTS,08,CO,11678,"STAHURSKI, DONALD",CO,Adams
CO0101060,GALAMBS MOBILE HOME AND RV PARK,CWS,11776 E VIRGINA PL,,80012,AURORA,08,CO,130,"HUFF, JUDY",CO,Adams
CO0101063,GREATROCK NORTH WSD,CWS,141 UNION BLVD STE 150,,80228,LAKEWOOD,08,CO,961,"JOHNSON, LISA",CO,Adams
CO0101065,GREEN ACRES MHP,CWS,1540 BILLINGS ST,,80010,AURORA,08,CO,325,"HENDERSON, LARRY",CO,Adams
CO0101070,HAZELTINE HEIGHTS WATER,CWS,,PO BOX 38,80640,HENDERSON,08,CO,261,"SABIN, SHIRLEY",CO,Adams
CO0101075,HI LAND ACRES WSD,CWS,9785 E 158TH PL,,80602,BRIGHTON,08,CO,350,"BRINKERHOFF, FRED",CO,Adams
CO0101080,HIGH PLAINS WUA,CWS,,PO BOX 39,80614,EASTLAKE,08,CO,200,"TRUJILLO, ELOY",CO,Adams
CO0101085,HILLCREST VILLAGE MHP,CWS,5100 W LEMON ST STE 109,,33609,TAMPA,08,CO,1505,"LUE, HENRY",FL,Adams
CO0101095,LINCOLN MHP AND MOTEL,CWS,4761 S PAGOSA CIR,,80015,AURORA,08,CO,230,"ESPINOSA, ERNEST L",CO,Adams
CO0101100,MOUNTAIN VIEW WUA,CWS,,PO BOX 485,80601,BRIGHTON,08,CO,320,"HOWARD, DIANA",CO,Adams
CO0101105,NORTH WASHINGTON STREET WSD,CWS,3172 E 78TH AVE,,80229,DENVER,08,CO,5000,"JAMSAY, JAMES",CO,Adams
CO0101110,NORTH WASHINGTON WUA,CWS,,PO BOX 508,80614,EASTLAKE,08,CO,90,"CHAMEROY, BRUCE",CO,Adams
CO0101115,NORTHGLENN CITY OF,CWS,2350 W 112TH AVE,,80234,NORTHGLENN,08,CO,49650,"HENSEL, JASON",CO,Adams
CO0101125,PRAIRIE VIEW POA,CWS,,PO BOX 96,80137,WATKINS,08,CO,275,"HASTINGS, ROBERT",CO,Adams
CO0101140,SOUTH ADAMS COUNTY WSD,CWS,,PO BOX 597,80037-0597,COMMERCE CITY,08,CO,60049,"SEEDLE, CHARLENE",CO,Adams
CO0101145,STRASBURG WSD,CWS,,PO BOX 596,80136,STRASBURG,08,CO,2050,"GRIFFIN, TRACY",CO,Adams
CO0101150,THORNTON CITY OF,CWS,9500 CIVIC CENTER DR,,80229,THORNTON,08,CO,152248,"SHIH, SHAY",CO,Adams
CO0101155,THIRD CREEK WUA,CWS,11919 W I 70 FRONTAGE RD NORTH STE 116A,,80033,WHEAT RIDGE,08,CO,90,"BEGEMAN, GABRIELLE A",CO,Adams
CO0101157,TODD CREEK VILLAGE MD,CWS,10450 E 159TH CT,,80602,BRIGHTON,08,CO,5078,"OGE, JIMMY",CO,Adams
CO0101158,TUCSON WC,CWS,12563 SALEM ST,,80640,HENDERSON,08,CO,90,"GRANDLIENARD, DAVID",CO,Adams
CO0101166,CAVANAUGH HILLS WS,CWS,37909 E 149TH PL,,80643,KEENESBURG,08,CO,150,"BROWN, DARYL",CO,Adams
CO0101170,WESTMINSTER CITY OF,CWS,8900 PIERCE ST,,80021,WESTMINSTER,08,CO,192878,"SCRIBNER, TOM",CO,Adams
CO0101175,HOPE DITCH CO,CWS,2560 E 165TH AVE,,80602,BRIGHTON,08,CO,63,"GEELAN, PETE",CO,Adams
CO0101180,WIKIUP MHP,CWS,31200 NORTHWESTERN HWY,,48334,FARMINGTON HILLS,08,CO,2500,"IAQUINTO, RANDY",MI,Adams
