PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
CT0010024,ANDOVER TOWN HALL %26 FIRE DEPARTMENT,TNCWS,Town Office Building,17 School Road,06232,ANDOVER,01,CT,25,"BURBANK, ROBERT F.",CT,Tolland
CT0010044,ANDOVER PLAZA,TNCWS,191 East Opal Drive,,06033,GLASTONBURY,01,CT,25,"SHAH, LATA",CT,Tolland
CT0010054,FIRST CONGREGATIONAL CHURCH,TNCWS,359 Route 6,P. O. Box 55,06232,ANDOVER,01,CT,25,"ANDREWS, LAUREL W.",CT,Tolland
CT0010084,7-ELEVEN #32523,TNCWS,1 Burlington Woods Drive,,01803,BURLINGTON,01,CT,25,"BUSCONI, ALICIA",MA,Tolland
CT0010094,SCOTT ELECTROKRAFTS,NTNCWS,84 ROUTE 6,PO BOX 358,06232,ANDOVER,01,CT,45,"BSULLAK, ARNOLD R.",CT,Tolland
CT0010102,ANDOVER ELEMENTARY SCHOOL,NTNCWS,35 School Street,,06232,ANDOVER,01,CT,381,"DOYEN, SALLY E.",CT,Tolland
CT0010111,"WHISPERING HILLS, LLC - WELL D SYSTEM",CWS,164 Skinner Rd,,06066,VERNON,01,CT,48,"CHAPMAN, JESSICA",CT,Tolland
CT0010124,XTRA MART WATER SUPPLY,TNCWS,,15 NE INDUSTRIAL ROAD,06405,BRANFORD,01,CT,25,"HARVEY, ERIC",CT,Tolland
CT0011103,"NETWORK, INC.",NTNCWS,23 ROUTE 6,,06232,ANDOVER,01,CT,77,"PEARSON, SUSAN",CT,Tolland
CT0012011,HOP RIVER HOMES,CWS,139 HEBRON ROAD,,06232,ANDOVER,01,CT,26,"TULMAN, MARIA",CT,Tolland
CT0030011,ASHFORD HILLS APARTMENTS,CWS,P.O. Box 148,,06268,STORRS,01,CT,136,"DAMIO, PENNY",CT,Windham
CT0030021,PERRY HILL ESTATES APARTMENTS INC.,CWS,c/o CT Lineage LLC,3A Clubhouse Circle,06268,MANSFIELD,01,CT,144,"JAKUBOWSI, DAVID",CT,Windham
CT0030024,ASHFORD DARI BAR,TNCWS,32 NOTT HIGHWAY,PO BOX 172,06278,ASHFORD,01,CT,25,"CHALOULT, DARRELL",CT,Windham
CT0030031,CTWC - ASHFORD PARK DIVISION,CWS,,93 west main st,06413,CLINTON,01,CT,334,"CONNORS, DAVID",CT,Windham
CT0030034,ASHFORD MOTEL,TNCWS,26 Ashford Motel Rd,,06278,ASHFORD,01,CT,25,"PATEL, CHIRAG",CT,Windham
CT0030041,BIRCH HILLS CONDOMINIUMS,CWS,c/o CT Lineage LLC,3A Clubhouse Circle,06268,MANSFIELD,01,CT,132,"JAKUBOWSI, DAVID",CT,Windham
CT0030051,AH 3 LLC,CWS,3A CLUBHOUSE CIRCLE,,06268,STORRS,01,CT,96,"DRILLMAN, SAM",CT,Windham
CT0030061,AH 1 LLC,CWS,3A CLUBHOUSE CIRCLE,,06268,STORRS,01,CT,50,"DRILLMAN, SAM",CT,Windham
CT0030091,CAMP CONNRI,TNCWS,,855 asylum ave,06105,HARTFORD,01,CT,319,"MARZAN, JORGE",CT,Windham
CT0030114,BRIALEE RV %26 TENT PARK,NTNCWS,174 Laurel Lane,,06278,ASHFORD,01,CT,100,"SPECYALSKI, BRIAN",CT,Windham
CT0030134,CHURCH OF LATTER DAY SAINTS,TNCWS,,P.O. Box 570,02035,FOXBORO,01,CT,25,"GILLIS, VIRGINIA",MA,Windham
CT0030152,ASHFORD ELEMENTARY SCHOOL,NTNCWS,440 WESTFORD ROAD,,06278-1113,ASHFORD,01,CT,673,"LONGO, JAMES P.",CT,Windham
CT0030194,HOLE IN THE WALL GANG CAMP (#2),TNCWS,565 ASHFORD CENTER ROAD,ROUTE 44,06278,ASHFORD,01,CT,25,"LAVIGNE, RICHARD C.",CT,Windham
