PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
FL1030050,BAY COUNTY WATER SYSTEM,CWS,3410 TRANSMITTER ROAD,,32404,PANAMA CITY,04,FL,20807,BEN BLITCH,FL,Bay
FL1030141,"CALLAWAY, CITY OF WATER SYSTEM",CWS,6601 E. HWY 22,,32404-9542,CALLAWAY,04,FL,14800,EDDIE COOK,FL,Bay
FL1030148,"SPRINGFIELD, CITY OF",CWS,PO DRAWER 3717,,32401,SPRINGFIELD,04,FL,9490,RALPH HAMMOND,FL,Bay
FL1030371,"WESTROCK CP, LLC - PANAMA CITY MILL",NTNCWS,1 S. EVERITT AVE.,,32401,PANAMA CITY,04,FL,600,TOMMY MARTIN,FL,Bay
FL1030435,"LYNN HAVEN, CITY OF WATER SYS.",CWS,825 OHIO AVE.,,32444,LYNN HAVEN,04,FL,20740,GREG KIDWELL,FL,Bay
FL1030467,"MEXICO BEACH, CITY OF",CWS,PO BOX 13425,,32410,MEXICO BEACH,04,FL,5317,MELL SMIGIELSKI,FL,Bay
FL1030515,"PANAMA CITY BEACH, CITY OF",CWS,110 S. ARNOLD ROAD,,32413,PANAMA CITY BEACH,04,FL,73035,"ALBERT SHORTT, P.E.",FL,Bay
FL1030516,PANAMA CITY RACQUET CLUB,TNCWS,3505 HWY 390,,32405,PANAMA CITY,04,FL,150,TOM DOBBINS,FL,Bay
FL1030517,PANAMA CITY WATER SYSTEM,CWS,11 HARRISON AVE.,SUITE A,32401,PANAMA CITY,04,FL,36909,CHRIS LIGHTFOOT,FL,Bay
FL1030520,"PARKER, CITY OF WATER SYSTEM",CWS,1001 W. PARK ST.,,32404,PARKER,04,FL,4317,TONY SUMMERLIN,FL,Bay
FL1030716,WALLER ELEMENTARY SCHOOL,NTNCWS,933 E. BALDWIN RD.,,32405,PANAMA CITY,04,FL,520,JERRY SMITH,FL,Bay
FL1030774,GULF POWER LANSING-SMITH PLANT,NTNCWS,ONE ENERGY PLACE,,32520-0328,PENSACOLA,04,FL,70,GULF POWER COMPANY,FL,Bay
FL1034054,DEER HAVEN PARK,CWS,2812 DEERHAVEN PARK,,32409,PANAMA CITY,04,FL,75,TOM AND NADEAN SCHLEUSNER,FL,Bay
FL1034069,231 PLAZA,TNCWS,449 LONGHORN TRAIL,,76087,WEATHERFORD,04,FL,25,MICHAEL GEVING,TX,Bay
FL1034074,"ALWAYS STOP, LLC",TNCWS,14340 HWY 231,,32466,YOUNGSTOWN,04,FL,50,ALI JIVANI,FL,Bay
FL1034086,M ; M MARKET #5 (HOBO PANTRY #14),TNCWS,5939 HIGHWAY 2311,,32405,PANAMA CITY,04,FL,100,ROGER PATEL,FL,Bay
FL1034106,STACEY%27S SWINGERS DAY CARE,NTNCWS,1006 LAKE RETREAT,,32428,CHIPLEY,04,FL,89,CRAIG ; STACEY SMITH,FL,Bay
FL1034114,PINE LAKE RV PARK,TNCWS,21036 US HWY 231,,32438,FOUNTAIN,04,FL,45,ROBERT A. SILVESTRI,FL,Bay
FL1034133,CHIODO%27S 231 EXPRESS MARKET,TNCWS,7000 HWY 77,,32409,SOUTHPORT,04,FL,25,KRISTI CHIODO,FL,Bay
FL1034136,QUICK STOP #8,TNCWS,2908 HARRIER ST.,,32405,PANAMA CITY,04,FL,25,MR. BOB AMIN,FL,Bay
FL1034139,BAYOU GEORGE RECREATIONAL FACILITY,TNCWS,8110 JOHN PITTS ROAD,,32404,PANAMA CITY,04,FL,25,MR. DON MURRAY,FL,Bay
FL1034141,U. S. FISH ; WILDLIFE SERVICE,NTNCWS,"1002 WEST 23RD STREET, SUITE 400",,32405,PANAMA CITY,04,FL,27,MS. TREANA PITTS,FL,Bay
FL1034145,YOUNGSTOWN BAPTIST CHURCH,TNCWS,640 GRACE AVENUE,P. O. BOX 1200,32402-1200,PANAMA CITY,04,FL,160,YOUNGSTOWN BAPTIST CHURCH,FL,Bay
FL1034147,FRANKIE D%27S PIZZA (AKA LITTLE BEARS),TNCWS,PO BOX 16205,,32406,PANAMA CITY,04,FL,50,FRANK REILAND,FL,Bay
FL1034150,OUR LADY QUEEN OF PEACE CHURCH,TNCWS,PO BOX 213,,32438,FOUNTAIN,04,FL,25,BOB YOUNG,FL,Bay
FL1034152,EXPRESS LANE #209 - SOUTHPORT,TNCWS,SOMEWHERE,,00000,NOT SURE,04,FL,25,CARL SAVIERS,FL,Bay
FL1034155,FIRST BAPTIST CHURCH OF DEERPOINT LAKE,TNCWS,5940 HIGHWAY 2311,,32404,PANAMA CITY,04,FL,80,HOLLY NABORS,FL,Bay
FL1034162,BEAR CREEK ASSEMBLY OF GOD,TNCWS,11412 N. BEAR CREEK,,32404,PANAMA CITY,04,FL,25,TONY TEAS,FL,Bay
FL1034164,BUCKS PIGGLY WIGGLY EXPRESS,TNCWS,18917 HWY 231,,32438,FOUNTAIN,04,FL,25,ALLEN SPIKES,FL,Bay
FL1034169,CALVARY CHRISTIAN CHURCH,TNCWS,5515 TITUS RD,,32404,PANAMA CITY,04,FL,25,BILLY JOE MELVIN JR.,FL,Bay
FL1034170,DOLLAR GENERAL #15344 (FOUNTAIN),TNCWS,100 MISSION RIDGE,,37072,GOODLETTSVILLE,04,FL,25,DOLLAR GENERAL CORPORATION,TN,Bay
FL1034171,DOLLAR GENERAL #15492 (SOUTHPORT),TNCWS,100 MISSION RIDGE,,37072,GOODLETTSVILLE,04,FL,25,DOLLAR GENERAL CORPORATION,TN,Bay
FL1034174,FIRST STOP SOUTHERN EXPRESS,TNCWS,9903 N. CAMPFLOWERS ROAD,,32466,YOUNGSTOWN,04,FL,25,JANE MAYO,FL,Bay
FL1070008,AIRPORT MOTEL,TNCWS,P O BOX 575,,32424,BLOUNTSTOWN,04,FL,25,MR. HARRY AMIN,FL,Calhoun
FL1070014,"ALTHA, TOWN OF WATER SYSTEM",CWS,P.O. BOX 6,,32421,ALTHA,04,FL,800,WES JOHNSTON,FL,Calhoun
FL1070116,CARR  SCHOOL,NTNCWS,18987 NW STATE ROAD 73,,32430,CLARKSVILLE,04,FL,320,CALHOUN CO.BRD.OF PUBLIC INST.,FL,Calhoun
FL1070685,"BLOUNTSTOWN, CITY OF",CWS,20591 CENTRAL AVENUE WEST,,32424,BLOUNTSTOWN,04,FL,3900,JIM CASTLE,FL,Calhoun
FL1074013,WACO STORE #29,TNCWS,27155 S. BYRON BUTLER PARKWAY,,32348,PERRY,04,FL,35,DON EVERETT,FL,Calhoun
FL1074015,"SHELTON TRUCKING SERVICE, INC.",NTNCWS,P.O. BOX 68,,32421-9988,ALTHA,04,FL,60,"SHELTON TRUCKING SERVICE,INC.",FL,Calhoun
FL1074017,BLOUNTSTOWN BUSINESS POINTE,TNCWS,18482 SR 20 WEST,,32321,BRISTOL,04,FL,25,KARI SMITH,FL,Calhoun
FL1074025,PAGE POND ASSEMBLY OF GOD,TNCWS,23422 NW MURDOCK DR,,32421,ALTHA,04,FL,60,DR. CHARLES FOWLER,FL,Calhoun
FL1074033,MOE%27S GAS AND DIESEL,TNCWS,23446 HWY 71,,32421,ALTHA,04,FL,25,REZAUL AHMED,FL,Calhoun
FL1170085,BRATT-DAVISVILLE WATER SYSTEM,CWS,PO BOX 428,,32565,JAY,04,FL,2800,FAYE DIAMOND,FL,Escambia
FL1170126,"CENTRAL WATER WORKS, INC.",CWS,P.O. BOX 3463,,32568,MCDAVID,04,FL,2512,"CENTRAL WATER WORKS, INC.",FL,Escambia
FL1170168,COTTAGE HILL WATER WORKS,CWS,P.O. BOX 581,,32533,CANTONMENT,04,FL,3889,DOUG BULLION,FL,Escambia
FL1170259,"FARM HILL UTILITIES, INC.",CWS,120 MADRID ROAD,,32533,CANTONMENT,04,FL,6062,CLAUDE WILEY,FL,Escambia
FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",CWS,PO BOX 314,,32560,GONZALEZ,04,FL,6356,JOHN JEREMIAH,FL,Escambia
FL1170319,GULF ISLANDS NATIONAL SEASHORE,NTNCWS,1801 GULF BREEZE PKWY,,32561,GULF BREEZE,04,FL,375,GARY STANSBERRY,FL,Escambia
FL1170475,"MOLINO UTILITIES, INC.",CWS,P.O. BOX 126,,32577,MOLINO,04,FL,7746,"MR. VERNON PRATHER, PRESIDENT",FL,Escambia
FL1170477,ASCEND PERFORMANCE MATERIALS (SOLUTIA),NTNCWS,PO BOX 97,,32560-7869,GONZALEZ,04,FL,1400,JOHN JOHANNEMANN,FL,Escambia
FL1170525,EMERALD COAST UTILITIES AUTHORITY,CWS,9255 STURDEVANT ST.,PO BOX 17089,32522-7089,PENSACOLA,04,FL,255884,STEPHEN SORRELL,FL,Escambia
FL1170527,PEOPLES WATER SERVICE COMPANY,CWS,P O BOX 4815,,32507,WARRINGTON,04,FL,24081,PEOPLES WATER SERVICE COMPANY,FL,Escambia
FL1170552,BLUFF SPRINGS (R.L.D.S.) CAMPGROUND,TNCWS,1300 LIAHONA TRAIL,,32568,MCDAVID,04,FL,200,COMMUNITY CHURCH OF CHRIST,FL,Escambia
FL1170613,"CENTURY, TOWN OF",CWS,P. O. DRAWER 790,7995 N. CENTURY BLVD.,32535,CENTURY,04,FL,4056,HONORABLE HENRY HAWKINS,FL,Escambia
FL1170703,UNIVERSITY OF WEST FLORIDA,CWS,11000 UNIVERSITY PKY -,BLDG 95,32514,PENSACOLA,04,FL,13285,RON NORTHRUP,FL,Escambia
FL1170718,WALNUT HILL WATER WORKS,CWS,PO BOX 428,,32565,JAY,04,FL,2454,FAYE DIAMOND,FL,Escambia
FL1170814,NAS PENSACOLA / CORRY STATION,CWS,190 RADFORD BOULEVARD (CODE 00600),,32508-5303,NAS PENSACOLA,04,FL,22600,COMMANDER ANCELMO MCCARTHY,FL,Escambia
FL1170899,NAS SAUFLEY FIELD,CWS,"NAVFAC SOUTHEAST, PUBLIC WORKSDEPT",310 JOHN TOWER ROAD,32508,PENSACOLA,04,FL,1728,CDR ANCELMO MCCARTHY,FL,Escambia
FL1170909,WEST FRASER LUMBER MILL,NTNCWS,401 CHAMPION DRIVE,,32568,MCDAVID,04,FL,85,JEFFERY HONDORP,FL,Escambia
FL1190013,ALLIGATOR POINT WATER RESOURCE DISTRICT,CWS,PO BOX 155,,32346,PANACEA,04,FL,671,SARA TURNER,FL,Franklin
FL1190109,BAY NORTH WATER SYSTEM,TNCWS,P.O. BOX 15651,,32317,TALLAHASSEE,04,FL,30,MARY CARROLL,FL,Franklin
FL1190118,"CARRABELLE, CITY OF WATER SYS.",CWS,1001 GRAY AVE.,,32322,CARRABELLE,04,FL,2500,COURTNEY MILLENDER,FL,Franklin
FL1190150,"APALACHICOLA, CITY OF",CWS,#1 AVE E,,32320,APALACHICOLA,04,FL,4710,"APALACHICOLA, CITY OF",FL,Franklin
FL1190236,EASTPOINT WATER ; SEWER DIST.,CWS,40 ISLAND DRIVE,,32328,EASTPOINT,04,FL,2452,BILLY FUENTES,FL,Franklin
FL1190414,LANARK VILLAGE (CITY OF CARRABELLE),CWS,1001 GRAY AVE.,,32322,CARRABELLE,04,FL,1625,COURTNEY MILLENDER,FL,Franklin
FL1190789,WATER MGMT SERVICES (ST. GEORGE ISLAND),CWS,250 JOHN KNOX ROAD,SUITE #4,32303,TALLAHASSEE,04,FL,4593,GENE BROWN,FL,Franklin
FL1194041,FSU MARINE LABORATORY,TNCWS,MENDENHALL MAINTENANCE BLDG. A UTILITIES,"UTILITY ACCOUNTING / MMA, RM 119",32306,TALLAHASSEE,04,FL,30,STACY SLAVICHAK,FL,Franklin
FL1194043,WRIGHT LAKE RECREATION AREA,TNCWS,10703 BLOXHAM CUTOFF,,32305,TALLAHASSEE,04,FL,125,MICHAEL SALCIDO,FL,Franklin
FL1194045,ST. JAMES ISLAND UTILITY (SUMMERCAMP),TNCWS,3196 MERCHANTS ROW BLVD.,SUITE 140,32311,TALLAHASSEE,04,FL,25,BRIDGET PRECISE,FL,Franklin
FL1200134,"CHATTAHOOCHEE, CITY OF",CWS,PO BOX 88,,32324,CHATTAHOOCHEE,04,FL,2775,TJ CARLISLE,FL,Gadsden
FL1200275,FLORIDA STATE HOSPITAL,CWS,P. O. BOX 1000,,32324,CHATTAHOOCHEE,04,FL,4500,FLORIDA STATE HOSPITAL,FL,Gadsden
FL1200334,"HAVANA, TOWN OF WATER SYSTEM",CWS,PO BOX 1068,,32333,HAVANA,04,FL,3977,HOWARD MCKINNON,FL,Gadsden
FL1200459,RENTZ%27S MOBILE HOME PARK,CWS,71 RENTZ ROAD,,32351,QUINCY,04,FL,85,DARRYL STEFFAN,FL,Gadsden
FL1200551,"QUINCY, CITY OF W/S",CWS,423 W. WASHINGTON ST.,,32351,QUINCY,04,FL,10112,MIKE WADE,FL,Gadsden
FL1200687,"GREENSBORO, TOWN OF WATER SYS.",CWS,PO BOX 66,,32330-0066,GREENSBORO,04,FL,794,ANNIE PROCTOR,FL,Gadsden
FL1200688,"GRETNA, CITY OF",CWS,P.O. DRAWER 220,,32332,GRETNA,04,FL,1580,ANTONIO JEFFERSON,FL,Gadsden
FL1200797,GADSDEN CO REGIONAL W/S,CWS,PO BOX 1679,,32353-1679,QUINCY,04,FL,12852,"TIMOTHY B. WADDLE, P.E.",FL,Gadsden
FL1200885,JAMIESON WATER SYSTEM,CWS,PO BOX 1679,,32353-1679,QUINCY,04,FL,71,"TIMOTHY WADDLE, PE",FL,Gadsden
FL1204025,GADSDEN CO I-10 REST AREA,TNCWS,PO BOX 607,,32428,CHIPLEY,04,FL,999,TIMOTHY HENDRIX,FL,Gadsden
FL1204029,ST. JAMES COMMUNITY,CWS,PO BOX 1679,,32353-1679,QUINCY,04,FL,98,"TIMOTHY WADDLE, PE",FL,Gadsden
FL1204051,JOYLAND WATER SYSTEM,CWS,311 PAUL THOMPSON ROAD,,32344,MONTICELLO,04,FL,125,LOU JOYNER,FL,Gadsden
FL1204053,TRIPLE C%27S (AKA KOA CAMPGROUND),TNCWS,2309 FLAT CREEK ROAD,,32324,CHATTAHOOCHEE,04,FL,100,SCOTT MANDER,FL,Gadsden
FL1204055,PAT THOMAS  PARK,TNCWS,PO BOX 1799,,32353,QUINCY,04,FL,61,GADSDEN CO BOARD COMMISSIONERS,FL,Gadsden
FL1204057,V STOP,TNCWS,2040 MARTIN LUTHER KING JR. BLVD.,,32351,QUINCY,04,FL,25,ED HINSON,FL,Gadsden
FL1204059,CONCORD COUNTRY STORE(DUKE WATER SYSTEM),TNCWS,13438 N. MERIDIAN ROAD,,32312,TALLAHASSEE,04,FL,50,PHILLIP DUKE,FL,Gadsden
FL1204063,HINSON HEIGHTS,CWS,4852 WOODLANE CIR.,,32303,TALLAHASSEE,04,FL,175,TIM WADDLE,FL,Gadsden
FL1204064,TOBACCO ROAD,CWS,PO BOX 1679,,32353-1679,QUINCY,04,FL,151,TIMOTHY WADDLE,FL,Gadsden
FL1204065,HAMMOCK CREEK,CWS,PO BOX 1679,,32353,QUINCY,04,FL,40,TIMOTHY WADDLE,FL,Gadsden
FL1204067,MEADOWS GROCERY,CWS,12086 TURKEY ROOST RD.,,32317,TALLAHASSEE,04,FL,55,HIBEH ASKAR,FL,Gadsden
FL1204068,"CLINTON NURSERIES, INC - NORTH",NTNCWS,PO BOX 997,,32333,HAVANA,04,FL,145,DIANA THURMAN,FL,Gadsden
FL1204069,"CLINTON NURSERIES, INC - SOUTH",NTNCWS,PO BOX 977,,32333,HAVANA,04,FL,145,DIANA THURMAN,FL,Gadsden
FL1204076,CENTENARY METHODIST CAMP,TNCWS,450 MARTIN L KING JR. AVE.,,33815,LAKELAND,04,FL,72,MIKE STANDIFER,FL,Gadsden
FL1204077,KRINA FOOD MART,TNCWS,1604 FLAT CREEK ROAD,,32324,CHATTAHOOCHEE,04,FL,30,SWETA PATEL,FL,Gadsden
