PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
GA0010000,BAXLEY,CWS,P.O. Box 290,282 East Parker Street,31515,BAXLEY,04,GA,4741,"VARNADORE, TIM",GA,Appling
GA0010001,SURRENCY,CWS,P. O. BOX 162,,31563-0162,SURRENCY,04,GA,468,"WEBSTER, PAT",GA,Appling
GA0010002,ALTAMAHA ELEMENTARY SCHOOL,NTNCWS,249 Blackshear Highway,,31513,BAXLEY,04,GA,420,"WYNN, EDDIE",GA,Appling
GA0010003,FOURTH DISTRICT ELEM. SCHOOL,NTNCWS,249 Blackshear Highway,,31513,BAXLEY,04,GA,200,"WYNN, EDDIE",GA,Appling
GA0010005,SOUTHERN NUCLEAR-PLANT HATCH,NTNCWS,P.O. Box 1295,42 Inverness Center Pkwy.,35242,BIRMINGHAM,04,GA,950,"FULTON, DALE L.",AL,Appling
GA0010006,GA BAPTIST CHILDREN`S HOME - BAXLEY,CWS,9420 BLACKSHEAR HIGHWAY,,31513,BAXLEY,04,GA,58,"MYERS, MIKE",GA,Appling
GA0010011,SOUTHERN NUCLEAR-HATCH REC,TNCWS,P.O. Box 1295,42 Inverness Center Pkwy.,35242,BIRMINGHAM,04,GA,50,"FULTON, DALE L.",AL,Appling
GA0010019,COOPER TRAVEL TRAILER PARK,TNCWS,8634 HATCH PARKWAY   NORTH,,31513,BAXLEY,04,GA,15,"COOPER, CHRISTINE",GA,Appling
GA0010043,GRAHAM WATER SYSTEM,CWS,9659 GOLDEN ISLES WEST,,31513,GRAHAM,04,GA,306,"RENTZ, DON",GA,Appling
GA0010044,BARBARA DEAN%27S STEAKHOUSE,TNCWS,7460 Hatch Parkway North,,31513,BAXLEY,04,GA,25,"MILLER, LEIGH",GA,Appling
GA0010047,DOLLAR GENERAL #17761,TNCWS,P.O. BOX 6460,,31758,THOMASVILLE,04,GA,25,"CRUMLEY, ZACHARY L",GA,Appling
GA0030000,PEARSON,CWS,89 Main Street South,,31642,PEARSON,04,GA,2236,"WILLIAMS, BETTYE D.",GA,Atkinson
GA0030001,WILLACOOCHEE WATER SYSTEM,CWS,33 Fleetwood Avenue,,31650,WILLACOOCHEE,04,GA,1560,"NEWSOM, SAMUEL",GA,Atkinson
GA0030004,HERITAGE HILLS,CWS,209 South Grady Avenue,,31534,DOUGLAS,04,GA,101,"PAULK, ALAN G.",GA,Atkinson
GA0030005,THE OAKS,CWS,209 South Grady Avenue,,31534,DOUGLAS,04,GA,50,"PAULK, ALAN G.",GA,Atkinson
