PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
IA0105002,ADAIR MUNICIPAL WATER SUPPLY,CWS,ATTN RYAN BILLHEIMER,600 2ND ST,50002,ADAIR,07,IA,781,ADAIR MUNICIPAL WATER SUPPLY,IA,Adair
IA0105509,ADAIR-CASEY COMMUNITY SCHOOL,NTNCWS,ATTN DAVID FARLEY,304 STUART ST,50002,ADAIR,07,IA,350,ADAIR-CASEY COMM SCHOOL,IA,Adair
IA0135046,FONTANELLE WATER WORKS,CWS,ATTN DAVID SICKLES WATER SUPT,PO BOX 128,50846,FONTANELLE,07,IA,742,FONTANELLE WATER WORKS,IA,Adair
IA0140007,GREENFIELD MUNICIPAL UTILITIES,CWS,ATTN PLANT FOREMAN,PO BOX 95,50849,GREENFIELD,07,IA,1982,GREENFIELD MUNICIPAL UTILITIES,IA,Adair
IA0140701,SIRWA #1 (GREENFIELD),CWS,ATTN MATT SCHULTZ,1391 190TH ST PO BOX 407,50801,CRESTON,07,IA,1840,S I R W A  #1 (GREENFIELD),IA,Adair
IA0160099,ORIENT MUNICIPAL WATER SUPPLY,CWS,ATTN GARY LOWE WATER SUPERINTENDENT,BOX 116,50858,ORIENT,07,IA,425,ORIENT MUNICIPAL WATER SUPPLY,IA,Adair
IA0180001,STUART WATER SUPPLY,CWS,ATTN DUSTIN FOSTER SUPERINTENDENT,BOX 370,50250,STUART,07,IA,1648,STUART WATER SUPPLY,IA,Adair
IA0207704,SIRWA - CORNING/BROOKS,CWS,ATTN MATT SCHULTZ,1391 190TH ST PO BOX 407,50801,CRESTON,07,IA,2049,SIRWA (CORNING/BROOKS),IA,Adams
IA0220075,CORNING MUNI WATER DEPARTMENT,CWS,ATTN NIC DRAKE WATER SUPT,PO BOX 85,50841,CORNING,07,IA,1635,PEOPLE SERVICE  INC (CORNING),IA,Adams
IA0300617,THE RED BARN RESORT,TNCWS,ATTN NATHAN AND JOANNA KONDORA,2609 MAIN ST,52151,LANSING,07,IA,71,THE RED BARN RESORT,IA,Allamakee
