PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
ID1050004,CASSANDRA HILLS OWNERS ASSN,CWS,905 CASSANDRA HILLS RD,,83861-9472,ST MARIES,10,ID,52,"ANDERSON, BEVERLY",ID,Benewah
ID1050005,CHERRY CREEK TRAILER PARK,CWS,PO BOX 484,,83861-0484,ST MARIES,10,ID,55,"WEINMANN, LINDA",ID,Benewah
ID1050008,COTTONWOOD POINT WATER ASSN,CWS,PO BOX 708,,83861,ST MARIES,10,ID,83,"BENTLEY, BARBARA J",ID,Benewah
ID1050009,EMIDA WATER AND SEWER ASSOCIATION,CWS,PO BOX 596,,83861,ST MARIES,10,ID,85,"BRAKEBILL, LAURA",ID,Benewah
ID1050010,EVERGREEN TERRACE WATER ASSOCIATION,CWS,606 EVERGREEN TERRACE RD,,83861,ST MARIES,10,ID,70,"COULTER, MAE",ID,Benewah
ID1050011,FERNWOOD WATER DIST,CWS,65290 HWY 3 S,PO BOX 215,83830,FERNWOOD,10,ID,485,"REIMANN, MARZETTA",ID,Benewah
ID1050012,IDPR HEYBURN SP BENEWAH CG,TNCWS,57 CHATCOLET RD,,83851,PLUMMER,10,ID,100,"HISE, RON",ID,Benewah
ID1050013,IDPR HEYBURN SP CHATCOLET CG,TNCWS,57 CHATCOLET RD,,83851,PLUMMER,10,ID,400,"HISE, RON",ID,Benewah
ID1050021,PLUMMER CITY OF,CWS,PO BOX B,,83851,PLUMMER,10,ID,1028,"GAUTHIER, SARA",ID,Benewah
ID1050023,SANTA WATER AND SEWER DIST,CWS,65290 HWY 3 S,PO BOX 215,83830,FERNWOOD,10,ID,147,"REIMANN, MARZETTA",ID,Benewah
ID1050024,ST MARIES CITY OF,CWS,602 COLLEGE AVE,,83861,ST MARIES,10,ID,3152,"GIBSON, KRISS",ID,Benewah
ID1050026,TENSED CITY OF,CWS,PO BOX 126,,83870,TENSED,10,ID,126,"CARTER COOK, GAYLE",ID,Benewah
ID1050031,IDPR MISSION MOUNTAIN WATER SYSTEM,TNCWS,57 CHATCOLET RD,,83851,PLUMMER,10,ID,45,"HISE, RON",ID,Benewah
ID1050033,ST JOE LANDING,TNCWS,10100 RAILROAD GRADE RD,,83861,ST MARIES,10,ID,25,"EICHELBERG, BILL",ID,Benewah
ID1090001,ALGOMA ADDITION SUBD,CWS,67 WILD HORSE TRL,,83864,SANDPOINT,10,ID,75,"HANSEN, ROBERT F",ID,Bonner
ID1090003,SUNDANCE CONDOS,TNCWS,25432 SHELLEY PL,,91381,STEVENSON RANCH,10,ID,30,"RAWLINGS, ANN",CA,Bonner
ID1090004,BALDY RIDGE ESTATES,CWS,67 WILD HORSE TRL,,83864,SANDPOINT,10,ID,50,"HANSEN, ROBERT F",ID,Bonner
ID1090006,BEYOND HOPE RESORT,TNCWS,67 WILD HORSE TRL,,83864,SANDPOINT,10,ID,36,"HANSEN, ROBERT F",ID,Bonner
ID1090008,BLANCHARD COOP WATER ASSN,CWS,PO BOX 36,,83804,BLANCHARD,10,ID,155,"CORNING, ALAN",ID,Bonner
