PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
IL0010050,CAMP POINT,CWS,111 E. Wood Street,,62320,CAMP POINT,05,IL,1132,"MOCK, DANIEL",IL,Adams
IL0010100,CLAYTON,CWS,,114 E MAIN,62324,CLAYTON,05,IL,709,"MILLER, SAMUEL",IL,Adams
IL0010250,GOLDEN,CWS,VILLAGE OF GOLDEN,PO BOX 270,62339,GOLDEN,05,IL,644,"FLESNER, ROGER",IL,Adams
IL0010300,LA PRAIRIE,CWS,PO BOX 465,,62346,LA PRAIRIE,05,IL,47,"PRUNTY, ROGER",IL,Adams
IL0010350,LIBERTY,CWS,VILLAGE OF LIBERTY,P.O. BOX 227,62347,LIBERTY,05,IL,516,"CLARK, STACY",IL,Adams
IL0010400,LIMA,CWS,PO BOX 97,,62348,LIMA,05,IL,163,"LOMAX, JEFFERY",IL,Adams
IL0010450,LORAINE,CWS,507 S. MAIN,,62349,LORAINE,05,IL,313,"GRAY, KEN",IL,Adams
IL0010500,MENDON,CWS,330 NORTH STATE STREET,P.O. BOX 25,62351,MENDON,05,IL,953,"CANTRELL, RAYMOND",IL,Adams
IL0010550,PAYSON,CWS,BAINTER ENVIRONMENTAL,"25417 305th AVENUE, P.O. BOX 23",62312,BARRY,05,IL,1026,"BAINTER, WILLIAM K.",IL,Adams
IL0010600,PLAINVILLE,CWS,VILLAGE HALL,600 EAST MAIN,62365,BARRY,05,IL,264,"EPLEY, CHARLES",IL,Adams
IL0010650,QUINCY,CWS,730 MAINE STREET,,62301,QUINCY,05,IL,45000,"CONTE, JEFFREY",IL,Adams
IL0010700,URSA,CWS,107 SOUTH WARSAW,,62376,URSA,05,IL,626,"HOMAN, J. MARK",IL,Adams
IL0015150,ADAMS COUNTY WATER DISTRICT NO 1,CWS,ADAMS COUNTY WATER DISTRICT #1,1639 HIGHWAY 24,62359,PALOMA,05,IL,876,"WITTLER, DAVID",IL,Adams
IL0015200,CLAYTON-CAMP POINT WATER COMMISSION,CWS,BOX 466,105 EAST JEFFERSON,62320,CAMP POINT,05,IL,2288,"HEBERLEIN, JOSEPH",IL,Adams
IL0015300,MILL CREEK PWD,CWS,MILL CREEK WATER DISTRICT,6415 HICKORY GROVE NORTH,62305,QUINCY,05,IL,5473,"WELLMAN, TYLER",IL,Adams
IL0015350,ABS WATER COOP,CWS,415 SOUTH JACKSON,,62324,CLAYTON,05,IL,6921,"KEYES, CINDY",IL,Adams
IL0015500,IL VETERANS HOME (QUINCY),CWS,1707 NORTH 12th,,62301,QUINCY,05,IL,401,"CLIFFORD, DAVE",IL,Adams
IL0015545,EXPRESSWAY MHP,CWS,1909 CHERRY LANE,,62301,QUINCY,05,IL,98,"HULTZ, ROBERT M.",IL,Adams
IL0030020,SOUTHWATER INC,CWS,27183 SANDY CREEK ROAD,,62988,TAMMS,05,IL,2337,"HOGUE, DEREK A.",IL,Alexander
IL0030100,TAMMS,CWS,240 FRONT STREET,P.O. BOX 69,62988,TAMMS,05,IL,653,"DAVIS, BETH",IL,Alexander
IL0030150,THEBES,CWS,PO BOX 159,413 6TH STREET,62990,THEBES,05,IL,441,"EASTON, STORMY",IL,Alexander
