PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
IN2010001,MAPLE LANE AMISH SCHOOL,TNCWS,3371 West 300 South,,46772,MONROE,05,IN,62,"SCHWARTZ, ALBERT",IN,Adams
IN2010002,FAIRVIEW AMISH SCHOOL,TNCWS,210 West 50 South,,46772,MONROE,05,IN,41,"GIROD, ENOS L.",IN,Adams
IN2010004,COUNTRY SIDE AMISH SCHOOL,TNCWS,4061 East 200 South,,46772,MONROE,05,IN,53,"GIROD, RUDY",IN,Adams
IN2010007,SPRINGHILL PAROCHIAL AMISH SCHOOL,TNCWS,3804 East 300 South,,46772,MONROE,05,IN,40,"SCHWARTZ, AMOS",IN,Adams
IN2010009,WINCHESTER AMISH SCHOOL,TNCWS,947 North 200 West,,46772,MONROE,05,IN,35,"SCHWARTZ, SAM P.",IN,Adams
IN2010010,SWISS VALLEY AMISH SCHOOL,TNCWS,2161 South 100 East,,46772,MONROE,05,IN,68,"HILTY, MOSE B.",IN,Adams
IN2010012,SUNNYSIDE AMISH SCHOOL,TNCWS,661 East 700 South,,46711,BERNE,05,IN,25,"GIROD, MICHAEL",IN,Adams
IN2010013,LINCOLN AMISH SCHOOL # 2,TNCWS,6668 South 600 East,,46711-9228,BERNE,05,IN,25,"SCHWARTZ, MERVIN",IN,Adams
IN2010014,OAK GROVE AMISH SCHOOL,TNCWS,2383 East 300 South,,46772,MONROE,05,IN,30,"SCHWARTZ, DANIEL L.",IN,Adams
IN2010015,ST. PETERS LUTHERAN CHURCH,TNCWS,14912 Clayton Road,,46773,MONROEVILLE,05,IN,156,"LINKER, CURT",IN,Adams
IN2010016,WYNEKEN MEMORIAL LUTHERAN SCHOOL,NTNCWS,11565 North US Highway 27,,46733,DECATUR,05,IN,230,"GAVRUN, ANDREW",IN,Adams
IN2010017,"LOCAL CHURCH, INC.",TNCWS,251 West 850 North,,46733,DECATUR,05,IN,26,"ARNOLD, BRENT",IN,Adams
IN2010018,BROOKSIDE AMISH SCHOOL,TNCWS,8198 South 450 East,,46711,BERNE,05,IN,38,"SCHWARTZ, HENRY D.",IN,Adams
IN2010020,LONE PINE AMISH SCHOOL,TNCWS,9555 South 400 East,,46740,GENEVA,05,IN,50,"SCHWARTZ, JAKE X. JR.",IN,Adams
IN2010021,WHISPERING BROOK AMISH SCHOOL,TNCWS,4560 West 400 South,,46711,BERNE,05,IN,51,"SHETLER, TIM B.",IN,Adams
IN2010024,HICKORY GROVE AMISH SCHOOL,TNCWS,8343 South 150 East,,46740,GENEVA,05,IN,34,"SHETLER, MAHLON",IN,Adams
IN2010025,BERNE CHRISTIAN FELLOWSHIP,TNCWS,6940 East 300 South,,46714,BLUFFTON,05,IN,150,"TROYER, MARK",IN,Adams
IN2010026,COUNTRY LANE AMISH SCHOOL,TNCWS,3140 East 800 South,,46740,GENEVA,05,IN,71,"SHETLER, JOHN V.",IN,Adams
IN2010027,PLEASANT DALE CHURCH OF THE BRETHREN,TNCWS,4504 West 300 North,,46733,DECATUR,05,IN,225,"TOM, RHONDA",IN,Adams
IN2010028,GOLDEN MEADOWS HOME,NTNCWS,"3646 North 200 East, P.O. Box 310",,46733,DECATUR,05,IN,48,"NICHOLS, KRISTINA",IN,Adams
IN2010029,PINE LAKE,TNCWS,4640 West State Road 218,,46711,BERNE,05,IN,200,"SCHOLER, GLENN",IN,Adams
IN2010031,COUNTRY CORNER AMISH SCHOOL,TNCWS,1172 East 200 South,,46772,MONROE,05,IN,50,"WICKEY, JR., EMANUEL S.",IN,Adams
IN2010032,CURVE CREEK AMISH SCHOOL,TNCWS,747 East 350 South,,46711,BERNE,05,IN,53,"WICKEY, STEPHEN H.",IN,Adams
IN2010033,SALEM AMISH SCHOOL,TNCWS,3743 South 300 East,,46772,MONROE,05,IN,47,"SCHWARTZ, DAVID D.",IN,Adams
IN2010034,MT. CARMEL AMISH SCHOOL,TNCWS,4041 East 900 South,,46740,GENEVA,05,IN,40,"EICHER, PAUL",IN,Adams
IN2010035,SWISS MEADOWS AMISH SCHOOL,TNCWS,2415 West State Road 124,,46772,MONROE,05,IN,50,"GRABER, CHRIS",IN,Adams
IN2010037,TWIN OAK AMISH SCHOOL,TNCWS,5317 East 1100 South,,46740,GENEVA,05,IN,32,"HILTY, DANIEL",IN,Adams
IN2010039,COTTONWOOD LANE AMISH SCHOOL,TNCWS,4033 West 400 South,,46711,BERNE,05,IN,41,"SCHWARTZ, RAYMOND",IN,Adams
IN2010040,PRESTRESS SERVICES INDUSTRIES - OFFICE,NTNCWS,P.O. Box 111,,46733,DECATUR,05,IN,60,"LINK, RICK",IN,Adams
IN2010041,PRESTRESS SERVICES IND. -BATCH PLANT,TNCWS,P.O. Box 111,,46733,DECATUR,05,IN,28,"LINK, RICK",IN,Adams
IN2010042,SPRING MEADOWS AMISH SCHOOL,TNCWS,5386 West 300 South-1,,46714,BLUFFTON,05,IN,42,"SCHWARTZ, ERVIN",IN,Adams
IN2010050,COUNTRY VALLEY AMISH SCHOOL,TNCWS,1110 South 500 East,,46772,MONROE,05,IN,50,"SHETLER, ALVIN",IN,Adams
IN2010097,UNION CHAPEL UNITED METHODIST CHURCH,TNCWS,4320 East Highway 224,,46733,DECATUR,05,IN,75,"FRANK, M. DEAN",IN,Adams
IN2010099,ST. PAULS LUTHERAN CHURCH,TNCWS,4510 West 750 North,,46733,DECATUR,05,IN,242,"BREGE, DANIEL",IN,Adams
IN2010104,SALEM MAGLEY CHURCH,TNCWS,7494 North 600 West,,46733,DECATUR,05,IN,100,"GIROD, KENT",IN,Adams
IN2010109,ZION EVANGELICAL LUTHRN CHURCH FRIEDHEIM,TNCWS,10653 North 550 West,,46733,DECATUR,05,IN,300,"HECKMAN, DALE",IN,Adams
IN2010119,DECATUR LIGHTHOUSE ASSEMBLY OF GOD,TNCWS,234 Briarwood Trail,,46733,DECATUR,05,IN,50,"MARTIN, EUGENE",IN,Adams
IN2010124,WEST MISSIONARY CHURCH,TNCWS,1223 West Water Street,,46711,BERNE,05,IN,251,"MALLER, STEVE",IN,Adams
IN2010125,MT. HOPE CHURCH OF NAZARENE,TNCWS,1344 South 650 East,,46733,DECATUR,05,IN,150,"DEARMOND, MYRON",IN,Adams
IN2010135,BERNE EVANGELICAL CHURCH,TNCWS,P.O. Box 70,,46711,BERNE,05,IN,200,"LITWILLER, SONDRA",IN,Adams
IN2010809,RED GOLD INC. - GENEVA,NTNCWS,2870 Carmel Church Road,,45822,CELINA,05,IN,260,"HEDIGER, RICHARD",OH,Adams
IN2010811,ENGLE CREEK AMISH SCHOOL,TNCWS,9279 South 150 East,,46740,GENEVA,05,IN,25,"GIROD, ENOS R.",IN,Adams
IN2010813,SOUTH ADAMS AMISH SCHOOL,TNCWS,9520 South 225 East,,46740,GENEVA,05,IN,25,"SCHWARTZ, MAHLON E.",IN,Adams
IN2010829,AMISHVILLE U.S.A.,TNCWS,2530 South 200 West,,47371,PORTLAND,05,IN,821,"EVERS, DAVE",IN,Adams
IN2010835,BLUE CREEK AMISH SCHOOL,TNCWS,878 West 350 South,,46711,BERNE,05,IN,60,"SCHWARTZ, ELMER M.",IN,Adams
