PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
KS2000102,"GAS CITY, CITY OF",CWS,228 N TAYLOR,PO BOX 190,66742-0190,GAS,07,KS,512,"CATRON, DARREL",KS,Allen
KS2000103,"IOLA, CITY OF",CWS,1220 HWY 54 W,PO BOX 308,66749,IOLA,07,KS,5354,"ROSS, TOBY",KS,Allen
KS2000105,"LA HARPE, CITY OF",CWS,902 S WASHINGTON,PO BOX 10,66751,LA HARPE,07,KS,537,"ALTIS, MICHELLE",KS,Allen
KS2000107,ALLEN CO RWD 6,CWS,1798 OREGON RD,,66749,IOLA,07,KS,45,"TONEY, LARRY",KS,Allen
KS2000109,ALLEN CO RWD 10,CWS,903 W MULBERRY,,66720,CHANUTE,07,KS,125,"MARKHAM, ALAN",KS,Allen
KS2000110,ALLEN CO RWD 8,CWS,PO BOX 268,,66742,GAS,07,KS,736,"JARRED, GEORGANNA",KS,Allen
KS2000111,"HUMBOLDT, CITY OF",CWS,725 BRIDGE ST,PO BOX 228,66748-0228,HUMBOLDT,07,KS,1802,"BULK, JEREMY",KS,Allen
KS2000112,ALLEN CO RWD 4,CWS,1480 2200 ST,,66749,IOLA,07,KS,52,"RICHEY, CHUCK",KS,Allen
KS2000116,"MORAN, CITY OF",CWS,339 N CEDAR,PO BOX 188,66755-0188,MORAN,07,KS,517,"MERKEL, PHILLIP",KS,Allen
KS2000117,ALLEN CO RWD 12,CWS,620 W RANDOLPH ST,,66755,MORAN,07,KS,33,"HENRY, SHERRY",KS,Allen
KS2000118,ALLEN CO RWD 13,CWS,25 MAIN ST,PO BOX 11,66720,CHANUTE,07,KS,100,"BRIGHT, BECKY",KS,Allen
KS2000119,PUBLIC WHOLESALE WSD 5,CWS,1798 OREGON RD,,66749,IOLA,07,KS,1,"TONEY, LARRY",KS,Allen
KS2000121,ALLEN CO RWD 15,CWS,PO BOX 209,,66749,IOLA,07,KS,135,"DONOVAN, DAVID",KS,Allen
KS2000122,ALLEN CO RWD 16,CWS,3770 RHODE ISLAND RD,,66755,MORAN,07,KS,130,"STROUD, MARILYN",KS,Allen
KS2000301,"KINCAID, CITY OF",CWS,500 5TH AVE,PO BOX 56,66039,KINCAID,07,KS,119,"DAVIS, MICHAEL",KS,Anderson
KS2000302,ANDERSON CO RWD 1,CWS,23723 NW MITCHELL RD,,66032,GARNETT,07,KS,37,"MILLER, RICHARD",KS,Anderson
KS2000303,ANDERSON CO RWD 4,CWS,11748 NW 1700 RD,,66093,WESTPHALIA,07,KS,1200,"EICHMAN, KENDALL",KS,Anderson
KS2000304,"GARNETT, CITY OF",CWS,131 W 5TH AVE,PO BOX H,66032,GARNETT,07,KS,3253,"WEINER, CHRIS",KS,Anderson
KS2000305,"GREELEY, CITY OF",CWS,112 W BROWN,PO BOX 188,66033,GREELEY,07,KS,296,"WALL, MARY JANE",KS,Anderson
KS2000306,ANDERSON CO RWD 5,CWS,204 E BROAD,PO BOX 301,66015,COLONY,07,KS,2093,"STEPHENS, PAUL",KS,Anderson
