PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
LA1001001,TOWN OF CHURCH POINT WATER SYSTEM,CWS,Town of Church Point,102 Church Boulevard,70525,CHURCH POINT,06,LA,4518,"STELLY, RUSSELL",LA,Acadia Parish
LA1001002,CROWLEY WATER SYSTEM (LAWCO),CWS,Louisiana Water Company (LAWCO),P.O. Box 66396,70896,BATON ROUGE,06,LA,19000,"EDRINGTON, III, WILLIAM E.",LA,Acadia Parish
LA1001003,VILLAGE OF ESTHERWOOD WATER SYSTEM,CWS,Village of Estherwood Water System,P O BOX 167,70534,ESTHERWOOD,06,LA,900,"BORILL, ANTHONY",LA,Acadia Parish
LA1001004,TOWN OF IOTA WATER SYSTEM,CWS,Town of Iota Water System,PO BOX 890,70543,IOTA,06,LA,2145,"GRANGER, JULIA",LA,Acadia Parish
LA1001005,VILLAGE OF MERMENTAU WATER SYSTEM,CWS,Village of Mermentau Water System,PO BOX 276,70556,MERMENTAU,06,LA,819,"ISTRE, DARLA",LA,Acadia Parish
LA1001006,VILLAGE OF MORSE WATER SYSTEM,CWS,,PO BOX 36,70559,MORSE,06,LA,865,"THIBODEAUX, DARLENE",LA,Acadia Parish
LA1001007,CITY OF RAYNE WATER SYSTEM,CWS,CITY OF RAYNE WATER SYSTEM,P.O. BOX 69,70578,RAYNE,06,LA,7953,"ROBICHAUX, CHARLES",LA,Acadia Parish
LA1001011,ARC OF ACADIANA,CWS,,224 Gremillion Circle,70543,IOTA,06,LA,154,"LELEUX, CINDY",LA,Acadia Parish
LA1001022,SOUTH RAYNE WATER CORPORATION,CWS,SOUTH RAYNE WATER CORPORATION,P O BOX 839,70578,RAYNE,06,LA,3990,"BOUILLION, JEFF",LA,Acadia Parish
LA1001023,NORTH CROWLEY WATER SYSTEM,CWS,NORTH CROWLEY WATER SYSTEM,P.O. Box 840,70578,RAYNE,06,LA,3732,"HABETZ, CHARLIE",LA,Acadia Parish
LA1001024,MIRE BRANCH WATER CORPORATION,CWS,MIRE BRANCH WATER CORPORATION,1922 HIGGINBOTHAM HIGHWAY,70525,CHURCH POINT,06,LA,7620,"GUILLORY, MARTIN",LA,Acadia Parish
LA1001025,EGAN WATER CORPORATION,CWS,Egan Water Corporation,P.O. Box 309,70531,EGAN,06,LA,4980,"WEBB, KENNETH",LA,Acadia Parish
LA1001026,EGAN WATER CORPORATION NO 2,CWS,Egan Water Corporation,P.O. Box 309,70531,EGAN,06,LA,2727,"WEBB, KENNETH",LA,Acadia Parish
LA1003001,ALLEN PARISH WW DISTRICT NO 1,CWS,ALLEN PARISH WATER DISTRICT #1,P. O. BOX 25,71463,OAKDALE,06,LA,1221,"HARPER, DONALD",LA,Allen Parish
LA1003002,TOWN OF ELIZABETH WATER SYSTEM,CWS,TOWN OF ELIZABETH WATER SYSTEM,P O BOX 457,70638,ELIZABETH,06,LA,1017,"GREEN, MANDY",LA,Allen Parish
LA1003003,NORTHWEST ALLEN WWD WATER SYSTEM,CWS,NORTHWEST ALLEN WATER SYSTEM,P O BOX 363,70644,GRANT,06,LA,1581,"DOWIES, DON",LA,Allen Parish
LA1003005,TOWN OF KINDER WATER SYSTEM,CWS,TOWN OF KINDER WATER SYSTEM,P.O. BOX 947,70648,KINDER,06,LA,3162,"LAFARGUE, WAYLAND",LA,Allen Parish
LA1003006,CITY OF OAKDALE WATER SYSTEM,CWS,CITY OF OAKDALE,P. O. BOX 728,71463,OAKDALE,06,LA,6750,"PAUL, GENE",LA,Allen Parish
LA1003007,TOWN OF OBERLIN WATER SYSTEM,CWS,Town of Oberlin Water System,P.O. BOX 370,70655,OBERLIN,06,LA,2853,"MANUEL, JOSEPH %22MOOCHIE%22",LA,Allen Parish
LA1003008,SOUTH OAKDALE WATER SYSTEM,CWS,SOUTH OAKDALE WATER SYSTEM,P.O. BOX 927,71463,OAKDALE,06,LA,1491,"MANUEL, LEE",LA,Allen Parish
LA1003009,SOUTHWEST ALLEN WW DISTRICT NO 2,CWS,SOUTHWEST ALLEN WW DIST. #2,P.O. BOX 247,70648,KINDER,06,LA,7300,"LAFARGUE, PATRICK",LA,Allen Parish
LA1003010,WEST ALLEN PARISH WATER SYSTEM,CWS,WEST ALLEN PARISH WATER SYSTEM,P.O. BOX 89,70658,REEVES,06,LA,3294,"REEVES, WILLIAM %22RUSTY%22",LA,Allen Parish
LA1003011,EAST ALLEN PARISH WATER WORKS,CWS,EAST ALLEN PARISH WATER WORKS,4033 HWY 26,70655,OBERLIN,06,LA,3042,"MCCLELLAND, THOMAS",LA,Allen Parish
LA1005001,ASCENSION PARISH WATER WORKS DISTRICT 2,CWS,PARISH WATER COMPANY,P.O. BOX 96016,70896,BATON ROUGE,06,LA,1206,"JACKSON, ROLAND",LA,Ascension Parish
LA1005004,BON TERRE CORPORATION WATER SYSTEM,CWS,Bon Terre Corporation,11485 Country Club Drive,70707,GONZALES,06,LA,27,"BROWN, SAMUEL L.",LA,Ascension Parish
LA1005005,DIVERSION WATER - BAYOU ESTATES,CWS,Diversion Water Company,P.O. BOX 569,70769,PRAIRIEVILLE,06,LA,563,"VALEGA, PARRISH",LA,Ascension Parish
LA1005006,BELLE RINA,CWS,PARISH WATER COMPANY,P.O. BOX 96016,70896,BATON ROUGE,06,LA,88,"JACKSON, ROLAND",LA,Ascension Parish
LA1005030,CITY OF GONZALES WATER SYSTEM,CWS,CITY OF GONZALES,120 S. IRMA BOULEVARD,70737,GONZALES,06,LA,10086,"ARCENEAUX, BARNEY",LA,Ascension Parish
LA1005035,PARISH UTILITIES OF ASCENSION,CWS,Department of Public Utilities,P.O. Box 1659,70707,GONZALES,06,LA,9810,"DANIEL, IV, WILLIAM B.",LA,Ascension Parish
LA1005036,SUMMERFIELD SUBDIVISION,CWS,PARISH WATER COMPANY,P.O. BOX 96016,70896,BATON ROUGE,06,LA,200,"JACKSON, ROLAND",LA,Ascension Parish
LA1005045,ASCENSION CONSOLIDATED UTILITY DIST 1,CWS,ASCENSION CONSOLIDATED UTILITY DIST 1,PO Box 1659,70707,GONZALES,06,LA,1869,"DANIEL, WILLIAM",LA,Ascension Parish
LA1005046,JIMMY BABIN APARTMENTS,CWS,"Jimmy Babin, LLC",12398 Jim Babin Rd.,70774,ST. AMANT,06,LA,96,"QUEBEDEAUX, SHARON",LA,Ascension Parish
LA1005085,MCGAHA APARTMENTS,CWS,McGaha Apartments Water System,3256 Riverbrook Court,70820,BATON ROUGE,06,LA,54,"SMITH, HARRY",LA,Ascension Parish
LA1005112,"RODDY ROAD VILLAGE ASCENSION, LLC",CWS,"Roddy Road Village Ascension, LLC",1534 Court St #40,70767,PORT ALLEN,06,LA,120,"BROCK, JASON",LA,Ascension Parish
LA1005114,SHADY OAKS MOBILE HOME PARK WATER SYSTEM,CWS,Shady Oaks MHP Water System,37242 Lakeshore Avenue,70769,PRAIRIEVILLE,06,LA,192,"LIND, PHIL",LA,Ascension Parish
LA1005118,FAMILY COURT MOBILE HOME PARK,CWS,FAMILY COURT MOBILE HOME PARK,P O BOX 87,70774,ST AMANT,06,LA,80,"PONDER, LARRY",LA,Ascension Parish
