PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
MA1004000,ADAMS FIRE DISTRICT,CWS,3 COLUMBIA ST,,01220,ADAMS,01,MA,8209,ADAMS FIRE DISTRICT,MA,Berkshire
MA1004001,DCR MT GREYLOCK STATE RESERVATION,TNCWS,740 SOUTH STREET,PO BOX 1433,01202,PITTSFIELD,01,MA,464,DCR MT GREYLOCK STATE RESERVATION,MA,Berkshire
MA1005000,AGAWAM WATER DEPARTMENT,CWS,1000 SUFFIELD ST,,01001,AGAWAM,01,MA,28718,AGAWAM WATER DEPARTMENT,MA,Hampden
MA1005001,ST ANNE COUNTRY CLUB INC,TNCWS,P.O. BOX 300,,01030,FEEDING HILLS,01,MA,150,"ST. ANNE COUNTRY CLUB, INC.",MA,Hampden
MA1008000,AMHERST DPW  WATER DIVISION,CWS,586 SOUTH PLEASANT ST,,01002,AMHERST,01,MA,37819,AMHERST DPW  WATER DIVISION,MA,Hampshire
MA1008006,DCR NOTCH VISITORS CENTER,TNCWS,P.O. BOX 1433,,01202,PITTSFIELD,01,MA,60,DCR NOTCH VISITOR CENTER,MA,Hampshire
MA1008008,KERN CENTER,NTNCWS,893 WEST STREET,,01002,AMHERST,01,MA,35,TRUSTEES OF HAMPSHIRE COLLEGE,MA,Hampshire
MA1013000,ASHFIELD WATER DISTRICT,CWS,PO BOX 219,,01330,ASHFIELD,01,MA,400,ASHFIELD WATER DISTRICT,MA,Franklin
MA1013001,SANDERSON ACADEMY,NTNCWS,808 CAPE ST,,01330,ASHFIELD,01,MA,170,808 CAPE ST,MA,Franklin
MA1013002,EDGE HILL GOLF COURSE,TNCWS,P.O. BOX 515,ATTN: MARK GRAVES,01330,ASHFIELD,01,MA,50,EDGE HILL GOLF COURSE,MA,Franklin
MA1013004,DOUBLE EDGE THEATRE,TNCWS,ATTN  STACY KLEIN,948 CONWAY ROAD,01330,ASHFIELD,01,MA,25,DOUBLE EDGE THEATRE PRODUCTIONS INC,MA,Franklin
MA1015000,ATHOL DPW  WATER DIVISION,CWS,584 MAIN ST RM 24,,01331,ATHOL,01,MA,10143,ATHOL DPW  WATER DIVISION,MA,Worcester
MA1015005,HANNAFORD SUPERMARKET #8385,TNCWS,1385 PARK CENTER DRIVE,,92083,VISTA,01,MA,25,G W SERVICES LLC,CA,Worcester
MA1022001,BECKET ROUTE 20 SPRING,TNCWS,C/O BECKET BOARD OF HEALTH,557 MAIN STREET,01223,BECKET,01,MA,25,TOWN OF BECKET,MA,Berkshire
MA1022004,PAPA BOBS,TNCWS,ATTN TAMMY SCOTT,PO BOX 181,01223,BECKET,01,MA,80,PAPA BOBS LLC,MA,Berkshire
