PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
MD0010001,BARRELVILLE,CWS,"13201 BARRELVILLE ROAD, N.W.",,21545,MT. SAVAGE,03,MD,130,"ALBRIGHT, KEITH",MD,Allegany
MD0010003,BEL AIR - PINTO DISTRIBUTION SYSTEM,CWS,"UTILITIES, INC.",P.O. BOX 379,20754,DUNKIRK,03,MD,2614,"WOOLARD, JEFF",MD,Allegany
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,CWS,ALLEGANY COUNTY UTILITIES DIV.,"701 KELLY ROAD, SUITE 300",21502,CUMBERLAND,03,MD,5703,"YODER, MARK",MD,Allegany
MD0010008,CITY OF CUMBERLAND,CWS,EVITTS CREEK WATER COMPANY,57 NORTH LIBERTY STREET,21502,CUMBERLAND,03,MD,27039,"MARVIN, RODNEY",MD,Allegany
MD0010009,WESTERN REGION ALLEGANY DISTRIB. SYSTEM,CWS,ALLEGANY COUNTY UTILITIES DIV.,"701 KELLY ROAD, SUITE 300",21502,CUMBERLAND,03,MD,4955,"YODER, MARK",MD,Allegany
MD0010011,CITY OF FROSTBURG,CWS,59 EAST MAIN STREET,POST OFFICE BOX 440,21532,FROSTBURG,03,MD,11000,"HOVATTER, CHRISTOPHER",MD,Allegany
MD0010016,LAVALE SANITARY COMMISSION,CWS,P.O. BOX 3325,,21502-3325,LAVALE,03,MD,5500,"WENDT, DAVID",MD,Allegany
MD0010018,MIDLAND-LONACONING,CWS,MAYOR AND TOWN COUNCIL,7 JACKSON STREET,21539,LONACONING,03,MD,2500,"RUDD, JOHN",MD,Allegany
MD0010019,TOWN OF LUKE / VERSO CORP. MILL,CWS,"Verso Corporation, Luke Mill",300 Pratt Street,21540,LUKE,03,MD,68,"JOHNSON, LARRY",MD,Allegany
MD0010023,MIDLOTHIAN WATER COMPANY,CWS,P.O. BOX 572,,21543,MIDLOTHIAN,03,MD,300,"REED, TOM",MD,Allegany
MD0010031,RECKLEY SPRING COMMUNITY WATER,CWS,ATTN: CRYSTAL KEEFER,15720 BRICE HOLLOW ROAD S.E.,21502,CUMBERLAND,03,MD,78,RECKLEY SPRING COMM. WATER[0010031],MD,Allegany
MD0010033,TOWN OF WESTERNPORT,CWS,MAYOR %26 COUNCIL,P.O. BOX 266,21562,WESTERNPORT,03,MD,2200,"SHINGLER, GEORGE",MD,Allegany
MD0010038,BROPHYTOWN DISTRIBUTION SYSTEM,CWS,ALLEGANY COUNTY UTILITIES DIV.,701 KELLY ROAD - SUITE 300,21502,CUMBERLAND,03,MD,47,"TAYLOR, JAMES",MD,Allegany
MD0010045,SOUTHERN REGION ALLEGANY DISTRIB. SYSTEM,CWS,ALLEGANY COUNTY UTILITIES DIV.,"701 KELLY ROAD, SUITE 300",21502,CUMBERLAND,03,MD,865,"YODER, MARK",MD,Allegany
MD0010046,MARTINS MOUNTAIN,TNCWS,Martins Mountain,13200 Martins Mt. Lane,21502,OLDTOWN,03,MD,36,"BIBLE, DAN",MD,Allegany
MD0010049,HIGHLAND ESTATES DISTRIBUTION SYSTEM,CWS,"UTILITIES, INC.",P.O. BOX 379,20754,DUNKIRK,03,MD,105,"WOOLARD, JEFF",MD,Allegany
MD0010212,GREEN RIDGE BOYS CAMP,CWS,MARYLAND ENVIRONMENTAL SERVICE,259 NAJOLES ROAD,21108,MILLERSVILLE,03,MD,100,"JANNEY, JAY",MD,Allegany
MD0010215,ROCKY GAP MOBILE HOME PARK,CWS,19810 COPPERHEAD ROAD,,21557,RAWLINGS,03,MD,30,"BITTINGER, RICK",MD,Allegany
MD0020001,CITY OF ANNAPOLIS,CWS,260 DEFENSE HIGHWAY,,21401,ANNAPOLIS,03,MD,35000,"FITZGERALD, JAMES",MD,Anne Arundel
MD0020004,BROAD CREEK,CWS,AADPW WATER UTILITIES LAB,437 MAXWELL FRYE ROAD,21108,MILLERSVILLE,03,MD,23179,"THOMPSON, BENJAMIN",MD,Anne Arundel
