PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
ME0000002,ACTON ELEMENTARY SCHOOL,NTNCWS,700 MILTON MILLS ROAD,,04001,ACTON,01,ME,330,"ROSS, JONATHAN",ME,York
ME0000003,MSAD 37 DANIEL W MERRIT SCHOOL,NTNCWS,1020 SACARAP ROAD,,04643,HARRINGTON,01,ME,134,MSAD 37 SUPT OF SCHOOLS,ME,Washington
ME0000004,MSAD 49 ALBION ELEMENTARY SCHOOL,NTNCWS,49 WEST STREET,,04937,FAIRFIELD,01,ME,149,MSAD 49 SUPT OF SCHOOLS,ME,Kennebec
ME0000011,MSU 69 APPLETON VILLAGE SCHOOL,NTNCWS,444 CAMDEN ROAD SUITE 2,,04847,HOPE,01,ME,178,SU 69 SUPT OF SCHOOLS,ME,Knox
ME0000012,MILDRED L DAY SCHOOL - ARUNDEL,NTNCWS,87 FLETCHER STREET,,04043,KENNEBUNK,01,ME,300,"SWAN, ALYCE",ME,York
ME0000015,AOS 94 ATHENS COMMUNITY SCHOOL,NTNCWS,175 FERN ROAD SUITE 1,,04930-2604,DEXTER,01,ME,140,"JORDAN, KEVIN",ME,Somerset
ME0000034,ALTC-BECKET FAMILY OF SERVICES,NTNCWS,31 HOLBROOK ROAD,,04210,AUBURN,01,ME,40,"MCGRAW, BRANNEN",ME,Androscoggin
ME0000083,RSU 18 BELGRADE CENTRAL SCHOOL,NTNCWS,41 HEATH STREET,,04963,OAKLAND,01,ME,375,RSU 18 SUPERINTENDENT OF SCHOOLS,ME,Kennebec
ME0000087,MSAD 60 NOBLE MIDDLE SCHOOL,NTNCWS,PO BOX 819,,03906,NORTH BERWICK,01,ME,608,"MOORE, KEVIN",ME,York
ME0000099,MSU 93 BLUE HILL CONSOLIDATED SCHOOL,NTNCWS,PO BOX 630,,04614,BLUE HILL,01,ME,316,MSU 93 SUPT OF SCHOOLS,ME,Hancock
ME0000104,FHC INC,NTNCWS,1201 MAIN STREET,,04287,BOWDOIN,01,ME,50,"COOPER, MELANIE",ME,Sagadahoc
ME0000107,MSAD 64 BRADFORD ELEM SCHOOL,NTNCWS,PO BOX 279,,04427,EAST CORINTH,01,ME,90,"BOSTROM, LISA",ME,Penobscot
ME0000119,AOS 93 BRISTOL CONSOLIDATED SCHOOL,NTNCWS,767 MAIN STREET 1A,,04543,DAMARISCOTTA,01,ME,308,"KUSTURIN, RICK",ME,Lincoln
ME0000122,RSU 03 MORSE MEMORIAL SCHOOL,NTNCWS,84 SCHOOL STREET,,04988,UNITY,01,ME,216,MSAD 03 SUPT OF SCHOOLS,ME,Waldo
ME0000123,MSU 93 BROOKSVILLE ELEMENTARY SCHOOL,NTNCWS,PO BOX 630,,04614,BLUE HILL,01,ME,79,MSU 93 SUPT OF SCHOOLS,ME,Hancock
ME0000147,MSAD 06 BONNY EAGLE MIDDLE SCHOOL,NTNCWS,94 MAIN STREET,,04093,BUXTON,01,ME,720,MSAD 06 SUPT OF SCHOOLS,ME,York
ME0000149,MSAD 06 JACK MEMORIAL SCHOOL,TNCWS,94 MAIN STREET,,04093,BUXTON,01,ME,25,MSAD 06 SUPT OF SCHOOLS,ME,York
ME0000156,MSAD 54 CANAAN ELEMENTARY SCHOOL,NTNCWS,196 WEST FRONT STREET,,04976,SKOWHEGAN,01,ME,294,MSAD 54 SUPT OF SCHOOLS,ME,Somerset
