PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
MI0000011,ACME TOWNSHIP - HOPE VILLAGE,CWS,6042 Acme Road,,49690,WILLIAMSBURG,05,MI,128,"ZOLLINGER, JAY",MI,Grand Traverse
MI0000012,ADA TOWNSHIP,CWS,7330 THORNAPPLE RIVER DR SE,PO BOX 370,49301-0370,ADA,05,MI,7155,"HAGA, GEORGE",MI,Kent
MI0000020,ADAMS TOWNSHIP,CWS,Staton Avenue,P. O. Box 520,49963,SOUTH RANGE,05,MI,2010,"PINDRAL, DEBBIE",MI,Houghton
MI0000030,ADDISON,CWS,103 1/2 West Main Street,PO Box 213,49220,ADDISON,05,MI,605,"BOWMAN, DEAN",MI,Lenawee
MI0000040,ADRIAN,CWS,135 E. Maumee Street,,49221,ADRIAN,05,MI,21133,"SADLER, WILLIAM",MI,Lenawee
MI0000045,BROOKDALE ADRIAN,CWS,1200 CORPORATE DRIVE,,49221,ADRIAN,05,MI,115,"LENDER, CHRIS",MI,Lenawee
MI0000048,RICHLYN MANOR,CWS,590 Richlyn Drive,,49221,ADRIAN,05,MI,192,"ZIEGLER, PATRICIA",MI,Lenawee
MI0000050,AHMEEK,CWS,P.O. Box 103,,49901,AHMEEK,05,MI,148,"KUMPALA, AMY",MI,Keweenaw
MI0000070,AKRON,CWS,4380 Beach Street,P.O. Box 295,48701-0295,AKRON,05,MI,402,"HADAWAY, SHARI",MI,Tuscola
MI0000072,AKRON TOWNSHIP,CWS,3480 HOPPE ROAD,,48767,UNIONVILLE,05,MI,219,"SCHMUCK, DON",MI,Tuscola
MI0000082,ALABASTER TOWNSHIP,CWS,1716 South U.S. Highway 23,,48763-9542,TAWAS CITY,05,MI,86,"WENTWORTH, STEPHANIE",MI,Iosco
MI0000088,ALBEE TOWNSHIP,CWS,10645 East Road,,48417,BURT,05,MI,411,"TURNWALD, LEON",MI,Saginaw
MI0000100,ALBION,CWS,112 W CASS ST,,49224,ALBION,05,MI,9144,"KIPP, SCOTT",MI,Calhoun
MI0000110,"ALGONAC, CITY OF",CWS,6600 Church Rd.,,48023,IRA,05,MI,4110,"MESSINA, ANDREW",MI,St. Clair
MI0000120,ALLEGAN,CWS,112 LOCUST ST,,49010,ALLEGAN,05,MI,5930,"BIRD, DANIELLE",MI,Allegan
