PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
MO1010001,ADRIAN PWS,CWS,16 E 5TH,PO BOX 246,64720-0000,ADRIAN,07,MO,1677,"COLE, HERSCHEL",MO,Bates
MO1010006,ALBANY PWS,CWS,106 E CLAY ST,,64402-0000,ALBANY,07,MO,1650,"BROWN, DEREK",MO,Gentry
MO1010009,ALMA PWS,CWS,205 S COUNTY ROAD,PO BOX 229,64001-0229,ALMA,07,MO,400,"BOEHMER, ASHLEY",MO,Lafayette
MO1010010,ALTAMONT PWS,CWS,206 MAIN ST,PO BOX 145,64620-0000,ALTAMONT,07,MO,207,"LOLLAR, TESSA",MO,Daviess
MO1010013,AMAZONIA PWS,CWS,,PO BOX 85,64421-0000,AMAZONIA,07,MO,312,"RUSSELL, RICHARD",MO,Andrew
MO1010014,AMORET PWS,CWS,,PO BOX 105,64722-0000,AMORET,07,MO,190,"WISDOM, MIKE",MO,Bates
MO1010024,ARCHIE PWS,CWS,302 SW OUTER RD SUITE C,,64725-0000,ARCHIE,07,MO,1170,"BLACKBURN, DAVID",MO,Cass
MO1010046,BARNARD PWS,CWS,,PO BOX 74,64423-0000,BARNARD,07,MO,248,"MURPHY, ROBERT",MO,Nodaway
MO1010049,BATES CITY PWS,CWS,203 N SECOND ST,PO BOX 225,64011-0000,BATES CITY,07,MO,288,"HILBRENNER, DARREN",MO,Lafayette
MO1010061,BELTON PWS,CWS,506 MAIN ST,PO BOX 230,64012-0000,BELTON,07,MO,23290,"BARTON, ALEXA",MO,Cass
MO1010068,BETHANY PWS,CWS,,PO BOX 344,64424-0000,BETHANY,07,MO,3292,"GRANER, RICHARD",MO,Harrison
MO1010070,BIRMINGHAM VILLAGE OF PWS,CWS,507 HARDWICK,,64161-0000,BIRMINGHAM,07,MO,190,"LEWIS, DANNY",MO,Clay
MO1010076,BLAIRSTOWN PWS,CWS,117 N MAIN ST,PO BOX 109,64726-0000,BLAIRSTOWN,07,MO,185,"PRESTON, RALPH",MO,Henry
MO1010080,BLUE SPRINGS PWS,CWS,903 WEST MAIN,,64015-0000,BLUE SPRINGS,07,MO,52530,"JOHNSON, ERIC",MO,Jackson
MO1010084,BOLCKOW PWS,CWS,CITY HALL,PO BOX 47,64427-0000,BOLCKOW,07,MO,187,"AKSAMIT, HAROLD",MO,Andrew
MO1010098,BRAYMER PWS,CWS,,PO BOX 125,64624-0000,BRAYMER,07,MO,878,"RODGERS, KENNY JOE",MO,Caldwell
MO1010099,BRECKENRIDGE PWS,CWS,783 W OAK,PO BOX 164,64625-0000,BRECKENRIDGE,07,MO,333,"SHIPLEY, HENRY",MO,Caldwell
MO1010113,BUCKNER PWS,CWS,315 S HUDSON,PO BOX 377,64016-0000,BUCKNER,07,MO,3076,"HICKSON, DAN",MO,Jackson
MO1010117,BURLINGTON JUNCTION PWS,CWS,122 N CLARINDA,PO BOX 50,64428-0000,BURLINGTON JUNCTION,07,MO,587,"GRAY, DOYLE",MO,Nodaway
MO1010118,BUTLER PWS,CWS,22 W OHIO,PO BOX 420,64730-0000,BUTLER,07,MO,4219,"KOEHN, CASEY",MO,Bates
MO1010122,CAINSVILLE PWS,CWS,,PO BOX 77,64632-0077,CAINSVILLE,07,MO,290,"WILSON, RICHARD",MO,Harrison
MO1010123,CALHOUN PWS,CWS,201 E MAIN,PO BOX 97,65323-0000,CALHOUN,07,MO,496,"FIELDS, CHARLES",MO,Henry
MO1010131,CAMERON PWS,CWS,205-09 N MAIN ST,,64429-0000,CAMERON,07,MO,9933,"GAUGH, MARK",MO,Clinton
MO1010150,CENTERVIEW PWS,CWS,206 S MAIN ST,PO BOX 159,64019-0000,CENTERVIEW,07,MO,267,"FRANK, TODD",MO,Johnson
MO1010161,CHILHOWEE PWS,CWS,,PO BOX 183,64733-0183,CHILHOWEE,07,MO,335,"CAMPBELL, JACK",MO,Johnson
MO1010167,CLARKSDALE PWS,CWS,,PO BOX 47,64430-0000,CLARKSDALE,07,MO,271,"KRETZSCHMAR, SHIRLY",MO,DeKalb
MO1010173,CLEARMONT PWS,CWS,224 WEST THIRD,PO BOX 54,64431-0000,CLEARMONT,07,MO,171,"CLARK, BYRON",MO,Nodaway
MO1010174,CLEVELAND PWS,CWS,209 WEST MAIN ST,PO BOX 68,64734-0000,CLEVELAND,07,MO,661,"MC KEE, JEFF",MO,Cass
MO1010177,HENRY COUNTY WATER COMPANY,CWS,313 S WASHINGTON,PO BOX 471,64735-0000,CLINTON,07,MO,9014,"LANKFORD, JASON",MO,Henry
MO1010179,COFFEY PWS,CWS,100 E STATE HWY B,,64636-0000,COFFEY,07,MO,251,"RAY, RALPH",MO,Daviess
MO1010182,CONCEPTION JUNCTION PWS,CWS,37229 320TH ST,,64434-0000,CONCEPTION JCT,07,MO,204,"LAGER, CLETUS",MO,Nodaway
MO1010184,CONCORDIA PWS,CWS,618 MAIN ST,PO BOX 847,64020-0000,CONCORDIA,07,MO,2500,"BROWN, MICHAEL",MO,Lafayette
MO1010187,CORDER PWS,CWS,305 N LA FAYETTE,PO BOX 275,64021-0098,CORDER,07,MO,439,"LORENZ, DOUG",MO,Lafayette
MO1010191,CRAIG PWS,CWS,121 S MAIN,PO BOX 236,64437-0000,CRAIG,07,MO,400,"HUNZIGER, RHONDA",MO,Holt
MO1010193,CREIGHTON PWS,CWS,PO BOX 131,,64739-0000,CREIGHTON,07,MO,350,"ATTEBERY, LAURA",MO,Cass
MO1010204,DEARBORN PWS,CWS,,PO BOX 86,64439-0000,DEARBORN,07,MO,575,"MOREY, JAMIE",MO,Platte
MO1010205,DEEPWATER PWS,CWS,707 S 8TH ST,PO BOX 18,64740-0000,DEEPWATER,07,MO,433,"BYSOR, TOM",MO,Henry
MO1010225,DREXEL PWS,CWS,137 E MAIN ST,PO BOX 710,64742-0000,DREXEL,07,MO,1200,"MAYFIELD, TERRY",MO,Cass
MO1010233,EAST LYNNE PWS,CWS,402 E MAIN,PO BOX 126,64743-0000,EAST LYNNE,07,MO,303,"CRUM, MELODIA",MO,Cass
MO1010234,EASTON PWS,CWS,106 N WOODWARD,PO BOX 75,64443-0000,EASTON,07,MO,234,"ELLINGTON, TWILA",MO,Buchanan
MO1010237,EDGERTON PWS,CWS,411 FRANK ST,PO BOX 80,64444-0000,EDGERTON,07,MO,600,"HARMER, SHAWN",MO,Platte
MO1010249,ELMO PWS,CWS,CITY BUILDING,PO BOX 193,64445-0000,ELMO,07,MO,165,"KERNS, WILLIAM",MO,Nodaway
MO1010254,EMMA PWS,CWS,101 S ELM,PO BOX 140,65327-0000,EMMA,07,MO,205,"BREDEHOEFT, RANDAL",MO,Lafayette
MO1010261,EXCELSIOR SPRINGS PWS,CWS,201 E BROADWAY,,64024-0000,EXCELSIOR SPRINGS,07,MO,11084,"BISHOP, BRENT",MO,Clay
MO1010265,FAIRFAX PWS,CWS,201 E MAIN ST,PO BOX 315,64446-0000,FAIRFAX,07,MO,637,"MCDONALD, KRISTY",MO,Atchison
MO1010277,FILLMORE PWS,CWS,,PO BOX 117,64449-0000,FILLMORE,07,MO,250,"COATS, TOM",MO,Andrew
MO1010292,FREEMAN PWS,CWS,106 E MAIN ST,PO BOX 98,64746-0000,FREEMAN,07,MO,482,"BRAY, TOM",MO,Cass
MO1010299,GALLATIN PWS,CWS,112 E GRAND ST,,64640-0000,GALLATIN,07,MO,1785,"BAILEY, HATTIE",MO,Daviess
MO1010301,GARDEN CITY PWS,CWS,,PO BOX 20,64747-0000,GARDEN CITY,07,MO,1642,"WILLIAMS, JUDITH",MO,Cass
