PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
MP0000001,COMMONWEALTH UTILITIES CORP. (SAIPAN),CWS,P.O. BOX 501220,DANDAN VILLAGE,96950,SAIPAN,09,MP,48524,"RIEGEL, JOHN",MP,Saipan Municipality
MP0000002,COMMONWEALTH UTILITIES CORP. (TINIAN),CWS,P. O. BOX 501220,,96950,SAIPAN,09,MP,3005,"FLETCHER, ALLAN",MP,Tinian Municipality
MP0000003,COMMONWEALTH UTILITIES CORP. (ROTA),CWS,P. O. BOX 501220,,96950,SAIPAN,09,MP,3283,"FLETCHER, ALLAN",MP,Rota Municipality
MP0000004,SAIPAN ICE AND WATER,CWS,P.O. Box 501808,Lowe Base,96950,SAIPAN,09,MP,3062,"BORJA, XAVIER",MP,Saipan Municipality
MP0000008,FIESTA RESORT %26 SPA,NTNCWS,P.O. BOX 501029 CK,,96950,SAIPAN,09,MP,421,"ACOSTA, ABNER",MP,Saipan Municipality
MP0000009,HYATT REGENCY HOTEL,NTNCWS,P.O. BOX 5087 CHRB,,96950,SAIPAN,09,MP,409,"ROUT, MIHIR",MP,Saipan Municipality
MP0000010,CORAL OCEAN POINT,NTNCWS,P.O. BOX 501160,KOBLERVILLE,96950,SAIPAN,09,MP,190,"SEO, DENNIS",MP,Saipan Municipality
MP0000011,HYATT HOTEL STAFF HOUSING,CWS,P.O. BOX 5087 CHRB,,96950,SAIPAN,09,MP,77,"NISHIKAWA, NICK",MP,Saipan Municipality
MP0000012,PACIFIC ISLANDS CLUB,CWS,POBOX 502370 CK,,96950,SAIPAN,09,MP,554,"SUGIE, HIRO",MP,Saipan Municipality
MP0000013,DUTY FREE SHOPPERS,NTNCWS,P.O. Box 500528 CKRB,GARAPAN,96950,SAIPAN,09,MP,300,"MOSS, MARK",MP,Saipan Municipality
MP0000021,HIMAWARI / NIIZEKI INTERNATIONAL INC.,NTNCWS,PMB 252 BOX 10003,GARAPAN,96950,SAIPAN,09,MP,210,"TATSUHITO, SUZUKI",MP,Saipan Municipality
MP0000024,HORIGUCHI BUILDING/ FUJI PACIFIC,NTNCWS,P.O. BOX 504429,,96950,SAIPAN,09,MP,82,"NAKAJIMA, MASAHIRO",MP,Saipan Municipality
