PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
MS0010002,CITY OF NATCHEZ,CWS,P O BOX 1325,,39121,NATCHEZ,04,MS,15792,"MOON, TONY W",MS,Adams
MS0010005,"BROADMOOR UTILITIES, INC",CWS,PO BOX 659,,39121,NATCHEZ,04,MS,1267,"HARRIS, LEOLA B",MS,Adams
MS0010007,OAKLAND WATER WORKS,CWS,48 MORGANTOWN ROAD,,39120,NATCHEZ,04,MS,900,"HUBER, DAVID R",MS,Adams
MS0010009,ADAMS CO W/A #2-SOUTH,CWS,P O BOX 70,,39190,WASHINGTON,04,MS,8532,"HERRING, KENNETH F",MS,Adams
MS0010010,BRYANDALE W/A,CWS,8717 EDGEWATER BLVD,,39564,OCEAN SPRINGS,04,MS,295,"PURVIS, LEE",MS,Adams
MS0010015,ADAMS CO W/A #4-KAISER LAKE,CWS,P O BOX 70,,39190,WASHINGTON,04,MS,8598,"HERRING, KENNETH F",MS,Adams
MS0010018,NATCHEZ STATE PARK CAMPGROUND,TNCWS,230 B WICKLIFF RD,,39120,NATCHEZ,04,MS,42,"HAYS, NEIL",MS,Adams
MS0010019,NATCHEZ STATE PARK-B,TNCWS,230 B WICKLIFF RD,,39120,NATCHEZ,04,MS,58,"HAYS, NEIL",MS,Adams
MS0010020,"SANDY CREEK WATER WORKS, LLC",TNCWS,2069 POOLE LN,,39638,GLOSTER,04,MS,96,"CARUSO, KENNETH J",MS,Adams
MS0020001,ALCORN W/A #2-BIGGERSVILLE,CWS,P O BOX 1388,,38835,CORINTH,04,MS,1725,"STEVENS, KEITH",MS,Alcorn
MS0020002,CITY OF CORINTH,CWS,P O BOX 1870,,38835,CORINTH,04,MS,16000,"RHODES, JOHN",MS,Alcorn
MS0020003,FARMINGTON WATER ASSOCIATION,CWS,4100 CR 200,,38834,CORINTH,04,MS,6753,"SIMMONS, BOBBY",MS,Alcorn
MS0020005,TOWN OF RIENZI,CWS,P O BOX 53,,38865,RIENZI,04,MS,879,"WILLIAMS, WALTER",MS,Alcorn
MS0020006,ALCORN W/A #1-INDIAN SPRINGS,CWS,P O BOX 1388,,38835,CORINTH,04,MS,6989,"STEVENS, KEITH",MS,Alcorn
MS0020007,KOSSUTH W/A #3-PINE MOUNTAIN,CWS,PO BOX 8080,,38834,KOSSUTH,04,MS,5755,"MARSH, RICKY",MS,Alcorn
MS0020008,KOSSUTH W/A #2-BETHLEHEM,CWS,PO BOX 8080,,38834,KOSSUTH,04,MS,1072,"MARSH, RICKY",MS,Alcorn
MS0020014,PRENTISS-ALCORN WATER ASSN,CWS,371 CR 8301,,38865,RIENZI,04,MS,2278,"BERRYHILL, JOHN F",MS,Alcorn
MS0030001,COLES WATER ASSOCIATION #1,CWS,P O BOX 666,,39633,CROSBY,04,MS,713,"WILSON, DEBBIE",MS,Amite
