PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
MT0000003,ABSAROKEE WATER AND SEWER DIST,CWS,P O BOX 365,,59001,ABSAROKEE,08,MT,1100,"GOOD, LORI",MT,Stillwater
MT0000004,ROCK CREEK RESORT  RED LODGE,TNCWS,PO BOX 2410,,59068,RED LODGE,08,MT,320,"RINGER, ROB",MT,Carbon
MT0000007,SOUTH CHESTER WATER DIST,CWS,PO BOX 461,,59522,CHESTER,08,MT,55,"HARMON, PATRICK R",MT,Liberty
MT0000009,GALATA COUNTY WATER DISTRICT,CWS,PO BOX 56,,59444,GALATA,08,MT,200,"LERUM, DEAN",MT,Toole
MT0000014,BASIN COUNTY WATER AND SEWER DIST,CWS,P O BOX 7,,59631,BASIN,08,MT,250,"MANLEY, NISSA ANN",MT,Jefferson
MT0000015,ALBERTON  TOWN OF,CWS,PO BOX 115,,59820,ALBERTON,08,MT,495,"JODSAAS, DIANE",MT,Mineral
MT0000016,ANACONDA WATER DEPARTMENT,CWS,PO BOX 1459,,59711,ANACONDA,08,MT,6750,"PUCCINELLI, PAUL D",MT,Deer Lodge
MT0000018,ST LABRE INDIAN SCHOOL,CWS,P O BOX 77,,59003,ASHLAND,08,MT,650,"DAVIS, DANA J",MT,Rosebud
MT0000020,BAINVILLE  TOWN OF,CWS,PO BOX 92,,59212,BAINVILLE,08,MT,407,"ROGERS, NIKKI",MT,Roosevelt
MT0000021,BAKER  CITY OF,CWS,P O BOX 1512,,59313,BAKER,08,MT,1948,"PROTT, JO DEE",MT,Fallon
MT0000022,WORDEN BALLANTINE YELLOWSTONE,CWS,PO BOX 213,,59088,WORDEN,08,MT,800,"KRUM, DANIEL L",MT,Yellowstone
MT0000025,SOUTH WIND WATER AND SEWER DISTRICT,CWS,5405 LOWER RIVER ROAD  65,,59405,GREAT FALLS,08,MT,200,SOUTH WIND WATER AND SEWER DISTRICT,MT,Cascade
