PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NC0100010,"BURNSVILLE, TOWN OF",CWS,PO BOX 97,,28714,BURNSVILLE,04,NC,3850,"TIPTON, RONNIE",NC,Yancey
NC0100103,MT MITCHELL LANDS,CWS,PO BOX 240908,,28224,CHARLOTTE,04,NC,650,"KONSUL, TONY",NC,Yancey
NC0100105,MOUNTAIN AIR,CWS,PO BOX 1090,ATTN: MTN AIR UTILITY CORP,28714,BURNSVILLE,04,NC,603,"STILES, BECKY",NC,Yancey
NC0100417,MT MITCHELL BAPTIST CHURCH,TNCWS,396 LOCUST CREEK RD,,28714,BURNSVILLE,04,NC,50,"WESTALL, FORREST",NC,Yancey
NC0100437,CLEARMONT ELEMENTARY SCHOOL,NTNCWS,PO BOX 190,,28714,BURNSVILLE,04,NC,120,"HOWELL, CHRIS",NC,Yancey
NC0100438,DOUBLE ISLAND BAPTIST CHURCH,TNCWS,5170 DOUBLE ISLAND ROAD,,28740,GREENMOUNTAIN,04,NC,125,"THOMAS, KEITH",NC,Yancey
NC0100440,COVEY ROCK FWB CHURCH,TNCWS,6005 STATE HWY 197N,,28740,GREEN MOUNTAIN,04,NC,110,"MCCOURRY, RICKY",NC,Yancey
NC0100449,BOLEN`S CREEK BAPTIST CHURCH,TNCWS,260 WINDOM COVE,,28714,BURNSVILLE,04,NC,120,"BUCHANAN, DANIEL",NC,Yancey
NC0100452,LOW GAP FWB CHURCH,TNCWS,618 BEE BRANCH RD,,28714,BURNSVILLE,04,NC,65,"RAY, DANIEL",NC,Yancey
NC0100454,TOE RIVER CAMPGROUND,TNCWS,PO BOX 460,,28714,BURNSVILLE,04,NC,185,"MCCURRY, NEIL",NC,Yancey
NC0100459,ARTHUR MORGAN SCHOOL,NTNCWS,60 AMS CIRCLE,,28714,BURNSVILLE,04,NC,42,"SILVER, JAKE",NC,Yancey
NC0100464,NORTH BEND FWB CHURCH,TNCWS,230 WOODSTOCK DR,,28714,BURNSVILLE,04,NC,60,"COX, RONNIE",NC,Yancey
NC0100472,BALD CREEK ELEM SCHOOL,NTNCWS,PO BOX 190,,28714,BURNSVILLE,04,NC,178,"HOWELL, CHRIS",NC,Yancey
NC0100474,BALD CREEK CHILD DEVELOPMENT,NTNCWS,PO BOX 190,,28714,BURNSVILLE,04,NC,25,"HOWELL, CHRIS",NC,Yancey
