PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
ND0100476,HETTINGER CITY OF,CWS,602 ADAMS AVE,PO BOX 589,58639-0589,HETTINGER,08,ND,1226,"CARROLL, PATRICIA",ND,Adams
ND0100812,REEDER CITY OF,CWS,,PO BOX 244,58649,REEDER,08,ND,162,"LARSON, CHAR",ND,Adams
ND0200226,DAZEY CITY OF,CWS,,PO BOX 60,58429,DAZEY,08,ND,104,"DAVIS, DARLENE",ND,Barnes
ND0200581,LITCHVILLE CITY OF,CWS,4833 106 AVE SE,PO BOX 73,58461,LITCHVILLE,08,ND,172,"SMITH, CONNIE J",ND,Barnes
ND0200747,NOME CITY OF,CWS,,PO BOX 6,58062-0006,NOME,08,ND,62,"CAPMAN, ALICE",ND,Barnes
ND0200763,ORISKA CITY OF,CWS,,PO BOX 306,58063,ORISKA,08,ND,118,"POMMERER, KATIE",ND,Barnes
ND0200858,SANBORN CITY OF,CWS,,PO BOX 103,58480,SANBORN,08,ND,192,"FRANKLIN, JULIE",ND,Barnes
ND0200882,SIBLEY CITY OF,CWS,107 LAKE AVE,,58429,SIBLEY,08,ND,30,"SCHULER, TYPHANNY",ND,Barnes
ND0200958,VALLEY CITY CITY OF,CWS,254 2ND AVE NE,PO BOX 390,58072,VALLEY CITY,08,ND,6585,"SCHELKOPH, DAVE",ND,Barnes
ND0201032,WIMBLEDON CITY OF,CWS,421 WEST MAIN ST,,58072,VALLEY CITY,08,ND,216,BARNES RURAL WATER DISTRICT,ND,Barnes
ND0201058,BARNES RURAL WATER DISTRICT,CWS,421 WEST MAIN ST,,58072-3323,VALLEY CITY,08,ND,4938,"KAPAUN, PERRY",ND,Barnes
ND0300553,LEEDS CITY OF,CWS,221 MAIN STREET,PO BOX 331,58346-0331,LEEDS,08,ND,427,"FOLLMAN, KARI",ND,Benson
ND0300587,MADDOCK CITY OF,CWS,309 2ND AND DAKOTA,PO BOX 276,58348,MADDOCK,08,ND,382,"LEE, PAM",ND,Benson
ND0300659,MINNEWAUKAN CITY OF,CWS,170 MAIN ST,PO BOX 192,58351,MINNEWAUKAN,08,ND,224,"THOMPSON, SHERRI",ND,Benson
ND0300762,OBERON CITY OF,CWS,,PO BOX 52,58357,OBERON,08,ND,105,"KREBSBACH, MARK",ND,Benson
ND0300987,WARWICK CITY OF,CWS,112 MAIN ST,,58381,WARWICK,08,ND,65,"BARBER, SANDRA",ND,Benson
ND0311302,SULLYS HILL NATL GAME PRESERVE,TNCWS,221 2ND ST NW SUITE 2,,58301,DEVILS LAKE,08,ND,300,"GRAUE, COLLEEN",ND,Benson
ND0311637,SOUTHEND R %26 R,TNCWS,3582 HWY 20,,58381,WARWICK,08,ND,100,"ESTENSON, CORY",ND,Benson
ND0311757,WEST BAY HEIGHTS,TNCWS,6696 HWY 19,,58351,MINNEWAUKAN,08,ND,75,"HERMAN, GEORGE",ND,Benson
ND0400638,MEDORA CITY OF,CWS,465 Pacific Ave,PO Box 418A,58645,MEDORA,08,ND,112,"RIDENHOWER, GARY",ND,Billings
ND0410678,COTTONWOOD CAMPGROUND 6,TNCWS,1150 12TH ST E,,58601,DICKINSON,08,ND,90,"VANCE, JOSHUA",ND,Billings
ND0411415,BURNING HILLS AMPHITHEATER,TNCWS,475 EAST RIVER ROAD,PO BOX 198,58645,MEDORA,08,ND,900,"HILD, JOHN",ND,Billings
ND0500099,BOTTINEAU CITY OF,CWS,115 WEST 6TH,,58318,BOTTINEAU,08,ND,2211,"NOSTDAHL, PENNY",ND,Bottineau
ND0500549,LANSFORD CITY OF,CWS,732 MAIN ST,PO BOX 68,58750,LANSFORD,08,ND,245,"TARVASTEAD, BREANNA",ND,Bottineau
ND0500620,MAXBASS CITY OF,CWS,251 MAIN STREET,PO BOX 182,58760,MAXBASS,08,ND,84,"AUSTIN, WADE",ND,Bottineau
ND0500887,SOURIS CITY OF,CWS,,PO BOX 199,58783,SOURIS,08,ND,58,"OLSON, PATRICIA",ND,Bottineau
ND0501001,WESTHOPE CITY OF,CWS,95 FIRST AVE W,PO BOX 412,58793,WESTHOPE,08,ND,429,"SNODGRASS, JAMES",ND,Bottineau
ND0501030,WILLOW CITY CITY OF,CWS,,PO BOX 67,58384,WILLOW CITY,08,ND,163,"VOLLMER, SHELLY",ND,Bottineau
ND0501057,ALL SEASONS WD-SYSTEM I,CWS,1066 HWY 5 NE,,58318,BOTTINEAU,08,ND,890,"SCHAEFER, DAN",ND,Bottineau
ND0501127,ALL SEASONS WD-SYSTEM III,CWS,1066 HWY 5 NE,,58318,BOTTINEAU,08,ND,790,"SCHAEFER, DAN",ND,Bottineau
ND0510048,BIRCHWOOD INC,TNCWS,21 BIRCHWOOD HEIGHTS RD,,58318,BOTTINEAU,08,ND,70,"ZAHN, KIM",ND,Bottineau
ND0510106,METIGOSHE MINISTRIES-CENTER SITE,TNCWS,10605 LAKE LOOP ROAD,,58318,BOTTINEAU,08,ND,25,DIRECTORS,ND,Bottineau
ND0510107,TWIN OAKS RESORT,TNCWS,413 2ND ST W,,58801,WILLISTON,08,ND,18,"KRINGEN, JOSH",ND,Bottineau
ND0510149,STRAWBERRY LAKE CAMPGROUND,TNCWS,1037 FORESTRY DRIVE,,58318-1511,BOTTINEAU,08,ND,25,"NOWATZKI, TOM",ND,Bottineau
ND0511249,METIGOSHE DRIVE INN,TNCWS,3348 LAKE LOOP ROAD,,58318,BOTTINEAU,08,ND,30,"RUDE, NATALIE",ND,Bottineau
ND0511294,BOTTINEAU WINTER PARK SKI AREA,TNCWS,,PO BOX 168,58318,BOTTINEAU,08,ND,150,"KNUDSON, BRADLEY",ND,Bottineau
ND0511305,METIGOSHE MINISTRIES-PELICAN LAKE,TNCWS,10605 LAKE LOOP ROAD,,58318,BOTTINEAU,08,ND,150,DIRECTORS,ND,Bottineau
ND0511340,BOAT RAMP 74,TNCWS,#2 LAKE METIGOSHE STATE PARK,,58318,BOTTINEAU,08,ND,100,"LEE, CHRIS",ND,Bottineau
ND0511341,MAID O MOON SHINE CAMPGROUND,TNCWS,#2 LAKE METIGOSHE STATE PARK,,58318,BOTTINEAU,08,ND,140,"LEE, CHRIS",ND,Bottineau
ND0511342,WASHEGUM CAMPGROUND 72,TNCWS,#2 LAKE METIGOSHE STATE PARK,,58318,BOTTINEAU,08,ND,100,"LEE, CHRIS",ND,Bottineau
ND0511343,GROUP CAMP COMPLEX 71,TNCWS,#2 LAKE METIGOSHE STATE PARK,,58318,BOTTINEAU,08,ND,100,"LEE, CHRIS",ND,Bottineau
ND0511396,HAHNS BAY RECREATION AREA,TNCWS,1037 FORESTRY DRIVE,,58318-1511,BOTTINEAU,08,ND,80,"NOWATZKI, TOM",ND,Bottineau
ND0511413,PELICAN LAKE CAMPGROUND,TNCWS,1037 FORESTRY DRIVE,,58318-1511,BOTTINEAU,08,ND,40,"NOWATZKI, TOM",ND,Bottineau
ND0511551,A-FRAME BAR %26 GRILL,TNCWS,71 TWIN OAK SHORE,,58318,BOTTINEAU,08,ND,150,"HAUGROSE, WENDY",ND,Bottineau
ND0600119,BOWMAN CITY OF,CWS,,PO BOX 12,58623,BOWMAN,08,ND,1650,"MCGEE, STACY",ND,Bowman
ND0600819,RHAME CITY OF,CWS,"CITY HALL, 109 MAIN ST",PO BOX 70,58651,RHAME,08,ND,169,"STOTTS, JEREMEY",ND,Bowman
ND0600869,SCRANTON CITY OF,CWS,109 2ND AVE,PO BOX 143,58653,SCRANTON,08,ND,281,"RUGGLES, KARI",ND,Bowman
ND0700114,BOWBELLS CITY OF,CWS,100 MAIN STREET,PO BOX 100,58721-0100,BOWBELLS,08,ND,336,"JAGER, LANETTE",ND,Burke
ND0700198,COLUMBUS CITY OF,CWS,,PO BOX 27,58727,COLUMBUS,08,ND,133,"AASHEIM, CHRISTINE",ND,Burke
ND0700344,FLAXTON CITY OF,CWS,103 1ST ST E,,58737,FLAXTON,08,ND,66,"ONES, AMY",ND,Burke
ND0700569,LIGNITE CITY OF,CWS,110 MAIN STREET,PO BOX 232,58752,LIGNITE,08,ND,155,"JOHNSTON, LISA",ND,Burke
ND0700800,PORTAL CITY OF,CWS,25 RAILWAY AVE,,58772,PORTAL,08,ND,126,"WANGSNESS, PAULINE",ND,Burke
ND0700804,POWERS LAKE CITY OF,CWS,,PO BOX 198,58773-0198,POWERS LAKE,08,ND,280,"TITUS, JENNIFER",ND,Burke
ND0711443,THE FOOD BARN,TNCWS,300 RAILROAD AVE,PO BOX 334,58773-0334,POWERS LAKE,08,ND,50,"THORLAKSON, AUDREY",ND,Burke
ND0800080,BISMARCK CITY OF,CWS,601 S 26TH ST,PO BOX 5503,58506,BISMARCK,08,ND,72417,"KLOSE, MICHELLE",ND,Burleigh
ND0800083,IMPERIAL VALLEY WATER CO,CWS,,PO BOX 2161,58502,BISMARCK,08,ND,345,"DOCKTER, JON",ND,Burleigh
ND0800096,DAKOTA ADVENTIST ACADEMY,CWS,15905 SHEYENNE CIRCLE,,58503,BISMARCK,08,ND,80,"OUCHAREK, ANTHONY",ND,Burleigh
ND0800144,COUNTRY CLUB CO-OP,CWS,,PO BOX 2432,58501,BISMARCK,08,ND,162,COUNTRY CLUB CO-OP,ND,Burleigh
ND0800570,LINCOLN CITY OF,CWS,74 SANTEE RD,,58504,LINCOLN,08,ND,3683,"SURFACE, SHAWN",ND,Burleigh
ND0800648,APPLE VALLEY COOP,CWS,APPLE VALLEY COOPERATIVE,1624 HAROLDSON LANE,58558,MENOKEN,08,ND,200,"ANDERSON, GLENDA",ND,Burleigh
ND0801031,WILTON CITY OF,CWS,121 DAKOTA AVE,PO BOX 278,58579,WILTON,08,ND,711,"SOLBERG, PATTIE",ND,Burleigh
ND0801036,WING CITY OF,CWS,,PO BOX 39,58494,WING,08,ND,152,"FISCHER, MARY",ND,Burleigh
ND0801154,SOUTH CENTRAL REGIONAL WATER DISTRICT,CWS,10700 HIGHWAY 1804 N,PO BOX 4182,58502-4182,BISMARCK,08,ND,4455,"KASSIAN, LARRY",ND,Burleigh
ND0801502,SOUTH CENTRAL RWD NORTH BURLEIGH,CWS,10700 HIGHWAY 1804 N,PO BOX 4182,58502-4182,BISMARCK,08,ND,9848,"KASSIAN, LARRY",ND,Burleigh
