PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NE3100101,"HASTINGS, CITY OF",CWS,1228 N DENVER AVE,PO BOX 289,68902-0289,HASTINGS,07,NE,25224,"JOHNSON, KEVIN",NE,Adams
NE3100102,HASTINGS REGIONAL CENTER,CWS,3000 LINCOLN ST DOCK 2,,68310,BEATRICE,07,NE,100,"VORDERSTRASSE, KEITH",NE,Adams
NE3100103,"HOLSTEIN, VILLAGE OF",CWS,PO BOX 236,,68950,HOLSTEIN,07,NE,229,"GENTERT, MARK",NE,Adams
NE3100104,MALLARD BEACH ASSOCIATION,TNCWS,133 MALLARD BEACH DRIVE 22A,,68937,JOHNSON LAKE,07,NE,100,"SMITH, BRUCE",NE,Gosper
NE3100106,"KENESAW, VILLAGE OF",CWS,109 N SMITH AVE,PO BOX 350,68956-0350,KENESAW,07,NE,909,"KROOS, SARAH",NE,Adams
NE3100107,"JUNIATA, VILLAGE OF",CWS,911 N JUNIATA AVE,PO BOX 26,68955-0026,JUNIATA,07,NE,805,"RENSCHLER, MARK",NE,Adams
NE3100108,"TRUMBULL, VILLAGE OF",CWS,PO BOX 133,,68980-0133,TRUMBULL,07,NE,212,"OLENA, KURT",NE,Clay
NE3100301,"TILDEN, CITY OF",CWS,PO BOX 37,,68781,TILDEN,07,NE,953,"BOTSFORD, LEO",NE,Madison
NE3100302,"OAKDALE, VILLAGE OF",CWS,PO BOX 10,,68761-0010,OAKDALE,07,NE,127,"FULSAAS, DELAYNE",NE,Antelope
NE3100303,"ROYAL, VILLAGE OF",CWS,405 JOHNSON ST,,68773,ROYAL,07,NE,180,"MCELHANEY, SHELLY",NE,Antelope
NE3100304,"ORCHARD, VILLAGE OF",CWS,PO BOX 256,,68764-0256,ORCHARD,07,NE,373,"HARRISON, BRENDA",NE,Antelope
NE3100305,"NELIGH, CITY OF",CWS,PO BOX 87,,68756,NELIGH,07,NE,1599,"BLY, DENNIS (DEAN)",NE,Antelope
NE3100307,"ELGIN, CITY OF",CWS,104 PINE ST,PO BOX 240,68636-0240,ELGIN,07,NE,667,"POULSEN, DONALD",NE,Antelope
NE3100308,"CLEARWATER, VILLAGE OF",CWS,626 MAIN ST,PO BOX 116,68726-0116,CLEARWATER,07,NE,419,"SNIDER, TINA",NE,Antelope
NE3100309,"BRUNSWICK, VILLAGE OF",CWS,PO BOX 401,,68720-0401,BRUNSWICK,07,NE,180,"BUCK, KRYSTAL",NE,Antelope
NE3100901,"DUNNING, VILLAGE OF",CWS,PO BOX 8,,68833,DUNNING,07,NE,109,"SHEETS, DAN",NE,Blaine
NE3101101,"CEDAR RAPIDS, VILLAGE OF",CWS,425 W MAIN,PO BOX 347,68627-0347,CEDAR RAPIDS,07,NE,382,"LOEFFLER, MICK",NE,Boone
NE3101102,"ALBION, CITY OF",CWS,420 W MARKET ST,,68620,ALBION,07,NE,1650,"DEVINE, ANDREW",NE,Boone
NE3101103,"PRIMROSE, VILLAGE OF",CWS,229 COMMERCIAL STREET,,68655-5052,PRIMROSE,07,NE,69,"DRESCH, JAMES D",NE,Boone
NE3101104,"PETERSBURG, VILLAGE OF",CWS,200 E MAIN ST,PO BOX 147,68652-0147,PETERSBURG,07,NE,333,"STOKES, COREY",NE,Boone
NE3101105,"ST EDWARD, CITY OF",CWS,1302 STATE HWY 39,PO BOX 247,68660,ST EDWARD,07,NE,705,"COSTELLO, KARLA",NE,Boone
NE3101302,"ALLIANCE, CITY OF",CWS,PO BOX D,,69301-0770,ALLIANCE,07,NE,8500,"JINES, LINDA S",NE,Box Butte
NE3101303,"HEMINGFORD, VILLAGE OF",CWS,700 BOX BUTTE AVE,PO BOX 395,69348,HEMINGFORD,07,NE,810,"STRAUB, BARB",NE,Box Butte
NE3101502,"BRISTOW, VILLAGE OF",CWS,403 DIVISION ST,PO BOX 88,68719,BRISTOW,07,NE,68,"FLANDERS, GARY",NE,Boyd
NE3101503,"BUTTE, VILLAGE OF",CWS,520 THAYER ST,PO BOX 286,68722-0286,BUTTE,07,NE,178,"HAZEN, LINDA",NE,Boyd
NE3101504,"LYNCH, VILLAGE OF",CWS,PO BOX 127,,68746,LYNCH,07,NE,240,"CROOKS, KENNY",NE,Boyd
NE3101505,"NAPER, VILLAGE OF",CWS,PO BOX 174,,68755-0174,NAPER,07,NE,111,"GOODMAN, VERNON",NE,Boyd
NE3101507,"SPENCER, VILLAGE OF",CWS,100 E MAIN ST,PO BOX 15,68777-0015,SPENCER,07,NE,455,"PECENA, VICKI",NE,Boyd
NE3101701,"LONG PINE, CITY OF",CWS,PO BOX 398,,69217-0398,LONG PINE,07,NE,305,"BAXTER, NADINE",NE,Brown
NE3101702,"AINSWORTH, CITY OF",CWS,606 E 4TH ST,PO BOX 165,69210,AINSWORTH,07,NE,1728,"SCHROEDL, LISA",NE,Brown
NE3101901,COTTONMILL MOBILE HOME COURT,CWS,2675 COTTONMILL AVE,,68845,KEARNEY,07,NE,25,"PARKER, JAN D",NE,Buffalo
NE3101903,"MILLER, VILLAGE OF",CWS,BOX 146,,68858-0146,MILLER,07,NE,170,"KARABEL, ROSS",NE,Buffalo
NE3101904,SUNSET VIEW MOBILE HOME PARK,CWS,1278 GLENNEYRE  #144,,92651,LAGUNA BEACH,07,NE,115,"BREWER, ROBERT (BOB)",CA,Buffalo
NE3101905,WOOD RIVER VALLEY MOBILE HOME PARK,CWS,PO BOX 8,,68848,KEARNEY,07,NE,60,"KING, SHAWN",NE,Buffalo
NE3101906,"KEARNEY, CITY OF",CWS,1220 E 26TH ST,PO BOX 1180,68847,KEARNEY,07,NE,30919,"MORGAN, MIKE",NE,Buffalo
