PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NH0015010,ACWORTH PRIMARY SCH,NTNCWS,FALL MOUNTAIN REGL SCHL DIST,PO BOX 720,03602,LANGDON,01,NH,32,SAU 60,NH,Sullivan
NH0022010,WILDWOOD DEV,CWS,PO BOX 398,,03818,CONWAY,01,NH,123,WILDWOOD WATER CO INC,NH,Carroll
NH0023010,PIPER MEADOWS PRIVATE COMMUNTY,CWS,17 CROTO LN,,03818,ALBANY,01,NH,125,PIPER MEADOWS PRIVATE COMMUNITY,NH,Carroll
NH0025010,WHITE MOUNTAIN WALDORF SCH,NTNCWS,PO BOX 1069,,03818,CONWAY,01,NH,110,WHITE MOUNTAIN WALDORF SCH,NH,Carroll
NH0027010,HUTTOPIA WHITE MOUNTAINS,TNCWS,57 PINE KNOLL RD,,03818,ALBANY,01,NH,300,,NH,Carroll
NH0027020,BLACKBERRY CROSSING CAMPGROUND,TNCWS,105 FLETCHER FARM RD,,03222,ALEXANDRIA,01,NH,65,PRO SPORT INC,NH,Carroll
NH0027040,COVERED BRIDGE CAMPGROUND 5,TNCWS,105 FLETCHER FARM RD,,03222,ALEXANDRIA,01,NH,100,PRO SPORT INC,NH,Carroll
NH0027050,JIGGER JOHNSON CAMPGROUND,TNCWS,105 FLETCHER FARM RD,,03222,ALEXANDRIA,01,NH,500,PRO SPORT INC,NH,Carroll
NH0027070,WHITE LEDGE CAMPGROUND,TNCWS,105 FLETCHER FARM RD,,03222,ALEXANDRIA,01,NH,70,PRO SPORT INC,NH,Carroll
NH0027110,PASSACONAWAY CAMPGROUND 5,TNCWS,105 FLETCHER FARM RD,,03222,ALEXANDRIA,01,NH,83,PRO SPORT INC,NH,Carroll
NH0027120,NH WORLD FELLOWSHIP CENTER,TNCWS,PO BOX 2280,,03818,CONWAY,01,NH,125,NH WORLD FELLOWSHIP CTR INC,NH,Carroll
NH0027130,COVERED BRIDGE CAMPGROUND 25,TNCWS,105 FLETCHER FARM RD,,03222,ALEXANDRIA,01,NH,28,PRO SPORT INC,NH,Carroll
