PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NJ0101301,EMPIRE INN %26 SUITES,TNCWS,630 WHITE HORSE PIKE,,08201,ABSECON,02,NJ,104,"MALIK, MOHAMMED",NJ,Atlantic
NJ0101308,ROYAL LODGE,TNCWS,553 AABSECON BLVD,,08201,ABSECON,02,NJ,28,"PATEL, BOB",NJ,Atlantic
NJ0101309,CALABRIA PIZZA AND ITALIAN GRILL,TNCWS,5101 ENGLISH CREEK RD,,08234,EGG HARBOR TWP,02,NJ,55,"KANG, CHUNG",NJ,Atlantic
NJ0102001,ATLANTIC CITY MUA,CWS,401 NORTH VIRGINIA AVE,,08404,ATLANTIC CITY,02,NJ,152415,"WARD, G. BRUCE",NJ,Atlantic
NJ0102301,RESORTS ATLANTIC CITY,NTNCWS,1133 BOARDWALK,,08401,ATLANTIC CITY,02,NJ,5500,"HILLMAN, PETER",NJ,Atlantic
NJ0102302,BALLYS PARK PLACE CASINO,NTNCWS,1901 BOARDWALK AVE,ATTN FACILITIES - MARK ROBBINS,08401,ATLANTIC CITY,02,NJ,6500,"ROBBINS, MARK",NJ,Atlantic
NJ0103001,BRIGANTINE WATER DEPARTMENT,CWS,3605 BAYSHORE AVE,,08203,BRIGANTINE,02,NJ,14450,"MOORE, GEORGE",NJ,Atlantic
NJ0104003,BUENA BOROUGH MUA,CWS,P O BOX 696,,08341,MINOTOLA,02,NJ,4880,"ZORZI, ALAN",NJ,Atlantic
NJ0104322,BELLVIEW WINERY,TNCWS,150 Atlantic Street,,08326,LANDISVILLE,02,NJ,57,"QUARELLA, JIM",NJ,Atlantic
NJ0105001,BUENA FAMILY MANOR MOBILE H P,CWS,PO BOX 1185,,08043,VOORHEES,02,NJ,64,"CORSON, ROBERT",NJ,Atlantic
NJ0105002,ALPINE VILLAGE,CWS,4254 POST RD,,08360,VINELAND,02,NJ,70,"BYLONE, MICHAEL",NJ,Atlantic
