PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NM3500101,BEARCAT HOMEOWNERS ASSOCIATION,CWS,,PO Box 842,87059,TIJERAS,06,NM,60,"CLAYTON, BOB",NM,Bernalillo
NM3500104,SPRINGER CORRECTIONAL FACILITY,NTNCWS,,P.O. Box 10,87747,SPRINGER,06,NM,300,"MAESTAS, GABRIEL",NM,Colfax
NM3500109,ROSEDALE MDWCA,CWS,,PO BOX 5208,88062,SILVER CITY,06,NM,285,"FLEMING, TOM",NM,Grant
NM3500112,VIRDEN WATER SYSTEM,CWS,,110 RICHMOND AVE,88045,VIRDEN,06,NM,118,"PAYNE, BRIDGET",NM,Hidalgo
NM3500113,MORWEST CORPORATION,CWS,,PO BOX 330,88211,ARTESIA,06,NM,0,"GURLEY, SHERRELL",NM,Lea
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,CWS,,"1000 CENTRAL AVE, SUITE 130",87544,LOS ALAMOS,06,NM,25000,"WITTEN, WAYNE",NM,Los Alamos
NM3500117,WHITE CLIFFS MDWUA,CWS,,PO Box 1518,87305-1518,GALLUP,06,NM,303,"DALY, MICHAEL",NM,McKinley
NM3500119,WEED WATER USERS ASSOCIATION,CWS,,PO BOX 549,88354,WEED,06,NM,73,"GARDNER, LORAINE",NM,Otero
NM3500120,RUSSELLS ENDEE TRUCK AND TRAVEL CTR 2,NTNCWS,,1383 FRONTAGE ROAD 4132,88434,GLENRIO,06,NM,475,"RUSSELL, MARK",NM,Quay
NM3500121,CHAMITA MDWCA,CWS,PO Box 1301,RA CT 56A House #42,87566,SAN JUAN PUEBLO,06,NM,918,"SALAZAR, JULIETTE",NM,Rio Arriba
NM3500123,LA MESA WATER COOP,CWS,,PO Box 53,87043,PLACITAS,06,NM,650,"PENHALLURICK, HILDA",NM,Sandoval
NM3500125,ILFELD MDWCA,CWS,,PO Box 453,87560,RIBERA,06,NM,400,"CASTRO, VERONICA",NM,San Miguel
NM3500129,BMG TRAILER PARK,CWS,,PO BOX 548,87557,RANCHOS DE TAOS,06,NM,30,"GARCIA, BERNADINE",NM,Taos
NM3500130,MELODY RANCH WATER CO,CWS,,PO BOX 51615,87181,ALBUQUERQUE,06,NM,208,"PADILLA, TRACEY",NM,Torrance
