PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NV0000001,DENIO JUNCTION,TNCWS,PO BOX 207,,89404-0207,DENIO,09,NV,25,"MINTO, GEORGINA",NV,Humboldt
NV0000004,KINGSBURY GID,CWS,PO BOX 2220,KINGSBURY GID,89449,STATELINE,09,NV,3839,"MCKAY, CAMERON",NV,Douglas
NV0000005,ALAMO SEWER AND WATER GID,CWS,PO BOX 418,,89001,ALAMO,09,NV,900,"POULSEN, JAMES",NV,Lincoln
NV0000006,LANDER CO SEWER AND WATER DIST 2  AUSTIN,CWS,122 MAIN STREET PO BOX 144,,89310,AUSTIN,09,NV,350,"JONES, GWEN",NV,Lander
NV0000008,LANDER CO SEWER AND WATER DIST 1  BM,CWS,50 STATE ROUTE 305,,89820,BATTLE MOUNTAIN,09,NV,3635,"RAMOS, BERT",NV,Lander
NV0000009,BEATTY WATER AND SANITATION DISTRICT,CWS,PO BOX 99,,89003,BEATTY,09,NV,1024,"SHIRLEY, ROB",NV,Nye
NV0000010,BLUE DIAMOND WATER COMPANY,CWS,1001 S VALLEY VIEW BLVD,,89153,LAS VEGAS,09,NV,527,"ANDERSON, STEPHEN M",NV,Clark
NV0000011,BOULDER CITY,CWS,401 CALIFORNIA AVENUE,,89005,BOULDER CITY,09,NV,15000,"HANSEN, SCOTT",NV,Clark
NV0000013,CALIENTE PUBLIC UTILITIES,CWS,PO BOX 1006,,89008,CALIENTE,09,NV,1100,"CARTER, JERRY",NV,Lincoln
NV0000014,CARLIN UTILITIES,CWS,PO BOX 340,CARLIN UTILITIES,89822,CARLIN,09,NV,2500,"ESPARZA, CARLOS",NV,Elko
NV0000015,CARSON CITY PUBLIC WORKS,CWS,3505 BUTTI WAY,,89701,CARSON CITY,09,NV,56000,"SCHULZ, DARREN L",NV,Not Reported
NV0000017,COTTONWOOD MHP,CWS,PO BOX 1943,COTTONWOOD MHP,89702,CARSON CITY,09,NV,250,"FISCHER, ALBERT",NV,Not Reported
NV0000028,TERRACE GARDEN APARTMENTS,CWS,PO BOX 2917,,89702,CARSON CITY,09,NV,60,"MUELLER, LINDA",NV,Not Reported
NV0000030,SIERRA ESTATES GID,CWS,3618 GREEN ACRES DR,SIERRA ESTATES GID,89705,CARSON CITY,09,NV,160,"ENGLISH, LAWRENCE B",NV,Douglas
NV0000032,DAYTON VALLEY WATER SYSTEM,CWS,PO BOX 1699,LYON COUNTY UTILITIES,89403,DAYTON,09,NV,15005,"WORKMAN, MICHAEL",NV,Lyon
NV0000035,GRANDVIEW TERRACE WATER DISTRICT,CWS,301 KENNEDY DRIVE,,89506,RENO,09,NV,328,"MOORE, ROY",NV,Washoe
NV0000036,GREAT BASIN WATER CO  SPRING CREEK,CWS,448 TONKA LANE #3,,89815,SPRING CREEK,09,NV,6708,"ROHUS, MARC",NV,Elko
NV0000037,NEVADA YOUTH TRAINING CENTER,CWS,100 YOUTH CENTER ROAD,,89803,ELKO,09,NV,100,"KATSAR, ADAM",NV,Elko
NV0000038,ELY MUNICIPAL WATER DEPARTMENT,CWS,501 MILL STREET,,89301,ELY,09,NV,5000,"SWITZER, ROBERT",NV,White Pine
NV0000042,EMPIRE MINING COMPANY,CWS,PO BOX 157,,89412,GERLACH,09,NV,350,"ELEOGRAM, BRYAN",NV,Washoe
NV0000043,CRESCENT VALLEY WATER SYSTEM,CWS,PO BOX 714,,89316,EUREKA,09,NV,340,"JOHNSON, NATE",NV,Eureka
