PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NY0100189,ALBANY CITY,CWS,10 North Enterprise Dr.,,12204,ALBANY,02,NY,101082,"SIMCOE, WILLIAM D.",NY,Albany
NY0100190,ALTAMONT VILLAGE,CWS,KOUNTRY KNOLLS,PO BOX 278,12009,ALTAMONT,02,NY,2000,"MOLLER, JEFFREY G",NY,Albany
NY0100191,BETHLEHEM WD NO 1,CWS,445 Delaware Avenue,,12054,DELMAR,02,NY,31000,"KANAS, GEORGE",NY,Albany
NY0100192,COHOES CITY,CWS,"COHOES, CITY OF",97 MOHAWK STREET,12047,COHOES,02,NY,15550,"MCDONALD, JOHN",NY,Albany
NY0100193,SOUTH ALBANY WATER DISTRICT,CWS,445 delaware ave,,12054,BETHLEHEM,02,NY,80,"CANSLER, JOSEPH",NY,Albany
NY0100194,COLONIE VILLAGE,CWS,VILLAGE HALL,2 THUNDER RD,12205,COLONIE,02,NY,8030,"LEAK, FRANK",NY,Albany
NY0100195,GREEN ISLAND VILLAGE,CWS,Village of Green Island,20 Clinton Street,12183,VILLAGE OF GREEN ISLAND,02,NY,2900,"MCNULTY-RYAN, ELLEN",NY,Albany
NY0100198,LATHAM WATER DISTRICT,CWS,Colonie Town hall,534 Loudon Road,12128,NEWTONVILLE,02,NY,78500,"MAHAN, PAULA",NY,Albany
NY0100200,MENANDS VILLAGE,CWS,Village Hall,250 Broadway,12204,MENANDS,02,NY,3900,"COATES, THOMAS",NY,Albany
NY0100201,RAVENA VILLAGE,CWS,Village of Ravena,15 Mountain Rd,12143,RAVENA,02,NY,4500,"LEONARD, JASON",NY,Albany
NY0100202,RENSSELAERVILLE WD,CWS,87 barger Road,,12120,RENSSELAERVILLE,02,NY,200,"LOUNSBURY, VICTORIA",NY,Albany
NY0100203,VOORHEESVILLE VILLAGE,CWS,12 altamnot road,,12186,VOORHEESVILLE,02,NY,3100,"HOTALING, BRETT",NY,Albany
NY0100205,GUILDERLAND TOWN WD,CWS,Town Hall,PO Box 339,12084,GUILDERLAND,02,NY,30000,"BARBER, PETER",NY,Albany
NY0100206,HANNAY REELS,CWS,"CLIFFORD B. HANNAY %26 SON, INC.",600 EAST MAIN STREET,12193,WESTERLO,02,NY,105,"SCRAM, WALTER",NY,Albany
NY0101544,GREEN ACRES MHP,CWS,GREEN ACRES,223 Curry Bush Rd,12306,SCHENECTADY,02,NY,55,"FLOWERS, RAYMOND     M",NY,Albany
NY0101603,FLEMINGS MOBILE HOME PARK,CWS,Pastures of Albany. LLC,225 State St.,12305,SCHENECTADY,02,NY,200,"WATKINS, JUDE",NY,Albany
NY0101642,LEANING EVERGREEN MHP,CWS,Miller Family Reality,210 Clipp Road,12054,DELMAR,02,NY,50,"MILLER, JUDEE",NY,Albany
NY0101643,KOUNTRY KNOLLS,CWS,KOUNTRY KNOLLS,PO BOX 278,12009,ALTAMONT,02,NY,80,"MOLLER, JEFFREY G",NY,Albany
NY0101648,ROLLING HILLS MHP,CWS,BROOKSIDE GREEN ASSOCIATES LLC,1179 ROUTE 9,12590,WAPPINGERS FALLS,02,NY,444,"LOIS, EUGENE",NY,Albany
NY0101649,PINE RIDGE ESTATES,CWS,BROOKSIDE GREEN ASSOCIATES LLC,1179 ROUTE 9,12590,WAPPINGERS FALLS,02,NY,175,"LOIS, EUGENE",NY,Albany
NY0103792,MIDWAY CAFE,TNCWS,33 Whitehead St.,,12158,SELKIRK,02,NY,37,"GOLDING, CHARLES",NY,Albany
NY0103793,MEADS CORNER INN,TNCWS,2264 INDIAN FIELDS ROAD,,12067,FUERA BUSH,02,NY,25,"IRWIN, MARGE",NY,Albany
NY0103799,REINHARTS SHELL INN,TNCWS,698 CR 353,,12147,RENSSELAERVILLE,02,NY,55,"REINHART, ROSS",NY,Albany
NY0103808,VINCE ANNAS RESTAURANT,TNCWS,P.O. BOX 160,CREAMERY ROAD,12083,GREENVILLE,02,NY,60,"EUFEMIA, JAMES",NY,Albany
NY0103810,PICARDS GROVE,TNCWS,RD #2  Picard Rd,,12186,VOORHEESVILLE,02,NY,50,"PICARD-FISH, JEANNE",NY,Albany
NY0103850,SYCAMORE COUNTRY CLUB,TNCWS,Route 143,,12143,RAVENA,02,NY,125,"CARRK, BERNADETTE",NY,Albany
NY0108745,CAMP PINNACLE,TNCWS,621 pinnacle rd,,12186,VOORHEESVILLE,02,NY,250,"GERARDI, CHRIS",NY,Albany
NY0108957,NYS PARK POLICE ACADEMY,TNCWS,JOHN BOYD THACHER STATE PARK,ROUTE 157,12186,VOORHEESVILLE,02,NY,27,"FALLON, CHRIS",NY,Albany
NY0110127,WATERVLIET CITY,CWS,"2, 1th St.",,12189,WATERVLIET,02,NY,9889,"SMITH, JEREMY",NY,Albany
NY0110754,PINE MOBILE HOME PARK,CWS,PINE MOBILE HOME PARK,1209 Helderberg Tr.,12023,BERNE,02,NY,110,"RITTER, ARTHUR C.",NY,Albany
NY0110755,KNOXVILLE PARK,CWS,PO Box 112,Knox Cave Road,12107,KNOX,02,NY,60,"BUSCH, KARIN",NY,Albany
NY0111745,WOODSTOCK LAKE ASSOC INC,TNCWS,735 Woodstock Lake Rd,,12059,E. BERNE,02,NY,300,"LEE, BRUCE",NY,Albany
NY0111768,THOMPSONS LAKE CAMPSITE STATE,TNCWS,JOHN BOYD THACHER STATE PARK,ROUTE 157,12186,VOORHEESVILLE,02,NY,280,"FALLON, CHRIS",NY,Albany
NY0111900,HELDERVALE WATER DISTRICT,CWS,HIGHWAY DEPARTMENT,2869 NEW SCOTLAND ROAD,12186,VOORHEESVILLE,02,NY,117,"DUNCAN, DARRELL",NY,Albany
NY0112211,NEW MAPLE INN,TNCWS,64 Main St.,,12059,EAST BERNE,02,NY,50,"SCHANZ, AMANDA",NY,Albany
NY0115883,HELDERBERG CHRISTIAN SCHOOL,NTNCWS,96 Main St.,PO Box 225,12193,EAST BERNE,02,NY,30,"COLLINS, MIKE",NY,Albany
NY0115885,BERNE KNOX HIGHSCHOOL,NTNCWS,BERNE-KNOX-WESTERLO SCHOOLS,1738 Helderberg Trail,12023,BERNE,02,NY,650,"SCHRADE, STEVEN",NY,Albany
NY0116316,ELEGANT TOUCH,TNCWS,ELEGANT TOUCH,6787 ROUTE 158,12009,ALTAMONT,02,NY,50,"LAURIA, KIMBERLY",NY,Albany
NY0116320,TOWNSHIP TAVERN,TNCWS,township tavern,PO box 63518-123-1234,12009,ALTAMONT,02,NY,25,"CENTI, PAUL",NY,Albany
NY0116328,STEWARTS #277,TNCWS,,P O Box 435,12866,SARATOGA SPRINGS,02,NY,51,"DERWAY, KELLI",NY,Albany
NY0117224,MAPLETREE APTS,CWS,8 CR 405,RD 2 Box 111,12083,GREENVILLE,02,NY,30,"NISTICO, GINO",NY,Albany
NY0118342,JOHN BOYD THATCHER STATE PARK,TNCWS,JOHN BOYD THACHER STATE PARK,ROUTE 157,12186,VOORHEESVILLE,02,NY,100,"FALLON, CHRIS",NY,Albany
NY0118613,MOTEL 6,TNCWS,,,,,02,NY,200,,,Albany
NY0118614,CAREY CONFERENCE CENTER,TNCWS,Rensselaerville Institue,Pond Hill road,12147,RENSSELAERVILLE,02,NY,60,"DAVIS, LINDA",NY,Albany
NY0119280,COLONIE COUNTRY CLUB,TNCWS,Rte 85A,PO box 322,12186,VOORHEESVILLE,02,NY,300,"DESAUTELS, ROBERT",NY,Albany
NY0121203,FEURA BUSH WD,CWS,HIGHWAY DEPARTMENT,2869 NEW SCOTLAND ROAD,12186,VOORHEESVILLE,02,NY,450,"DUNCAN, DARRELL",NY,Albany
NY0121204,SWIFT ROAD WD,CWS,HIGHWAY DEPARTMENT,2869 NEW SCOTLAND ROAD,12186,VOORHEESVILLE,02,NY,100,"DUNCAN, DARRELL",NY,Albany
NY0123019,FONT GROVE WATER DISTRICT,CWS,HIGHWAY DEPARTMENT,2869 NEW SCOTLAND ROAD,12186,VOORHEESVILLE,02,NY,45,"DUNCAN, DARRELL",NY,Albany
NY0130000,CLARKSVILLE WATER DISTRICT,CWS,HIGHWAY DEPARTMENT,2869 NEW SCOTLAND ROAD,12186,VOORHEESVILLE,02,NY,430,"DUNCAN, DARRELL",NY,Albany
NY0130005,WILDWOOD SCHOOL,NTNCWS,WILDWOOD SCHOOL,2995 B CURRY ROAD,12303,SCHENECTADY,02,NY,225,"MILFORD, GARY",NY,Albany
NY0130008,NORTHEAST W.D.,CWS,HIGHWAY DEPARTMENT,2869 NEW SCOTLAND ROAD,12186,VOORHEESVILLE,02,NY,370,"DUNCAN, DARRELL",NY,Albany
NY0130010,CASA MIAS ITALIAN SPEC,TNCWS,3379 Delaware Tpke.,,12186,VOORHESVILLE,02,NY,25,"BARTON, JOSEPH",NY,Albany
NY0130018,INDIAN LADDER FARM STORE,TNCWS,"INDIAN LADDER FARMS, INC.",BOX 65 RD #2 342 Altamont Road,12186,VOORHEESVILLE,02,NY,26,"TEN EYCK, PETER",NY,Albany
NY0130021,WESTERLO FOOD MART,TNCWS,AA Ram Inc,"PO Box 92, Route 85",12193,WESTERLO,02,NY,25,"RAMJI, AMERALI",NY,Albany
NY0130024,COUNTRYSIDE MART #6,TNCWS,P.O. Box 129,6030 Duanesburg Rd.,12056,DUANESBURG,02,NY,25,COUNTRYSIDE MARTS INC.,NY,Albany
NY0130030,POP%27S PLACE,TNCWS,2939 SR 145,,12469,PRESTON HOLLOW,02,NY,25,"BARTLETT, AMY",NY,Albany
NY0130037,ALBANY OBEDIENCE CLUB,TNCWS,109 Caroline St,Apt C,12866,SARATOGA,02,NY,50,"MALTBIE, MARY",NY,Albany
NY0130039,WESTERLO TOWN WATER SUPPLY,CWS,TOWN OF WESTERLO,TOWN HALL P.O. BOX 148,12193,WESTERLO,02,NY,220,"RAPP, RICHARD",NY,Albany
NY0130040,TOWN SQUARE MEDIA,NTNCWS,1241 Kings Rd,,12303,COLONIE,02,NY,50,"CARTER, SHARON",NY,Albany
NY0130042,MILLER ROAD LLC,CWS,PO Box 207,,12181,TROY,02,NY,25,ELGION MANGAGEMENT,NY,Albany
NY0140001,NEW SALEM WD,CWS,2029 New Scotland Road,,12159,SLINGERLANDS,02,NY,350,"LAGRANGE, DOUG",NY,Albany
NY0200309,ALFRED VILLAGE WATER SUPPLY,CWS,VILLAGE OFFICES,7 W. UNIVERSITY STREET,14802,ALFRED,02,NY,2900,ALFRED VILLAGE MAYOR %26 BOARD,NY,Allegany
NY0200310,ALMOND VILLAGE PUBLIC WATER,CWS,Municipal Building,1 Marvin Lane,14804,ALMOND,02,NY,600,"MAYOR %26 BOARD, ALMOND VILLAGE",NY,Allegany
NY0200311,ANDOVER VILLAGE PUBLIC WATER,CWS,Village Hall,Main St.,14806,ANDOVER,02,NY,1130,"MAYOR %26 BOARD, ANDOVER VILLAGE",NY,Allegany
NY0200312,ANGELICA VILLAGE PUBLIC WATER,CWS,Village Hall,White Street,14709,ANGELICA,02,NY,950,"MAYOR %26 BOARD, ANGELICA VILLAGE",NY,Allegany
NY0200313,BELFAST WATER DISTRICT,CWS,59 Sherman Street,,14711,BELFAST,02,NY,850,"ATHERTON, TIMOTHY S.",NY,Allegany
NY0200314,BELMONT VILLAGE PUBLIC WATER,CWS,Village Hall,1 Schuyler Street,14813,BELMONT,02,NY,2400,"MAYOR %26 BOARD, BELMONT VILLAGE",NY,Allegany
NY0200316,CANASERAGA VILLAGE PUBLIC WATER,CWS,Village Hall,East Main Street,14822,CANASERAGA,02,NY,900,"MAYOR %26 BOARD, CANASERAGA VILLAGE",NY,Allegany
NY0200317,CUBA VILLAGE PUBLIC WATER,CWS,17 East Main Street,,14727,CUBA,02,NY,1800,"MAYOR %26 BOARD, CUBA VILLAGE",NY,Allegany
NY0200318,HUME WATER DISTRICT,CWS,Hume Town Hall,20 Genesee Street,14735,FILLMORE,02,NY,620,"SUPERVISOR %26 BOARD, HUME TOWN",NY,Allegany
NY0200319,FRIENDSHIP TOWN WATER DISTRICT,CWS,Friendship Town Water District,4 East Main Street,14739,FRIENDSHIP,02,NY,1380,"SORTORE, OAKLEY",NY,Allegany
NY0200320,HOUGHTON WATER DISTRICT,CWS,Caneadea Town Hall,Main Street,14717,CANEADEA,02,NY,2000,"SUPERVISOR %26 BOARD, CANEADEA TOWN",NY,Allegany
NY0200322,HUME-SANDFORD WATER SUPPLY,CWS,P.O. Box 93,,14735,FILLMORE,02,NY,75,"HODNETT, MARK",NY,Allegany
NY0200323,BROMELEY-DAGGETT EQUESTRIAN CENTER,NTNCWS,,,,,02,NY,25,,,Allegany
NY0200325,SCIO WATER DISTRICT,CWS,Scio Town Hall,4355 Vandermark Road,14880,SCIO,02,NY,990,"SUPERVISOR %26 BOARD, SCIO TOWN",NY,Allegany
NY0200326,"STANNARDS WATER, INC.",CWS,1995 Riverview Drive,PO Box 346,14895,WELLSVILLE,02,NY,499,"BURMINGHAM, WILLIAM",NY,Allegany
NY0200327,WELLSVILLE VILLAGE PUBLIC WATER,CWS,VILLAGE OFFICE,P.O. Box 591,14895,WELLSVILLE,02,NY,5700,WELLSVILLE VILLAGE MAYOR %26 BOARD,NY,Allegany
NY0200328,WHITESVILLE WATER DISTRICT,CWS,TOWNHALL,MARIETTA AVENUE,14897,WHITESVILLE,02,NY,475,INDEPENDENCE TOWN SUPERVISOR %26 BOARD,NY,Allegany
NY0200329,BOLIVAR-RICHBURG WATER SYSTEM,CWS,57 South Broad Street,,14709,WELLSVILLE,02,NY,1640,"STONEMETZ, WAYNE S.",NY,Allegany
NY0200401,"EMPIRE CHEESE, INC.",NTNCWS,,,,,02,NY,235,,,Allegany
NY0200402,RYAN ROAD DEVELOPMENT,TNCWS,5138 Willow Brook Road,,14031,CLARENCE,02,NY,75,"PERCY, MARK",NY,Allegany
NY0200857,CREEKSIDE HOMES,CWS,1296 Randolph Road,,14803,ALFRED STATION,02,NY,54,"MCGRAW, AARON",NY,Allegany
