PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
OK1010101,INTERNATIONAL PAPER,NTNCWS,Randell Maul,890 I.P. Lane,74764,VALLIANT,06,OK,517,INTERNATIONAL PAPER,OK,McCurtain
OK1010203,IDABEL PWA,CWS,"The Honorable Tina Foshee-Thomas, Mayor",201 East Main,74745,IDABEL,06,OK,6952,IDABEL PUBLIC WORKS AUTHORITY,OK,McCurtain
OK1010207,MCCURTAIN CO. RWD #8 (MT. FORK WATER),CWS,"Mr. Elvis McDaniel, Chairman",1803 N. U.S. Hwy 259,74728,BROKEN BOW,06,OK,5685,MCCURTAIN COUNTY RWD #8,OK,McCurtain
OK1010214,BROKEN BOW PWA,CWS,Mr. Gary Swift,210 N. Broadway,74728,BROKEN BOW,06,OK,4320,BROKEN BOW PWA,OK,McCurtain
OK1010302,ANTLERS,CWS,"The Honorable Mike Burrage, Mayor",100 S.E. 2ND,74523,ANTLERS,06,OK,2547,ANTLERS PUBLIC WORKS AUTHORITY,OK,Pushmataha
OK1010304,TALIHINA PWA,CWS,"The Honorable Renee Bailey, Mayor",P.O. Box 457,74571,TALIHINA,06,OK,1297,TALIHINA,OK,Le Flore
OK1010314,HUGO MUNICIPAL AUTHORITY,CWS,"Mr. Darren Frazier, Chairman",201 South 2nd Street,74743,HUGO,06,OK,5536,HUGO MUNICIPAL AUTHORITY,OK,Choctaw
OK1010316,WESTERN FARMERS,NTNCWS,Richard Butler,BOX 219,74735,FORT TOWSON,06,OK,86,WESTERN FARMERS,OK,Choctaw
OK1010318,PUSHMATAHA CO. RWD #3,CWS,"Mr. Joe Rymel, Chairman",418199 SH-3,74523,ANTLERS,06,OK,4825,PUSHMATAHA CO RWD #3,OK,Pushmataha
OK1010319,SARDIS LAKE WATER AUTHORITY,CWS,"Mr. David Murray, Chairman",P.O. Box 430,74536,CLAYTON,06,OK,307,SARDIS LAKE WATER AUTHORITY,OK,Pushmataha
OK1010401,ATOKA,CWS,Brian Cathey,BOX 900,74525,ATOKA,06,OK,2988,ATOKA,OK,Atoka
OK1010402,COALGATE PWA,CWS,"Tammie Middleton, Chairperson",3 South Main,74538,COALGATE,06,OK,2005,COALGATE PWA,OK,Coal
OK1010408,MACK ALFORD CORRECTIONAL CENTER,CWS,"Kameron Harvanek, Warden",P.O. BOX 220,74569,STRINGTOWN,06,OK,952,MACK ALFORD CORR. CENTER,OK,Atoka
OK1010412,ATOKA CO. RWS %26 SWMD #4,CWS,"Jim Briggs, Chairman",3169 E. Hwy 3,74525,ATOKA,06,OK,3000,ATOKA CO RWD RWS %26 SWMD #4,OK,Atoka
OK1010414,HUGHES CO. RWD #2,CWS,"Ms. Rhonda Talley, Chairperson",P.O. Box 47,74570,STUART,06,OK,1145,HUGHES CO. RWD #2,OK,Hughes
OK1010601,DURANT UTILITIES AUTHORITY,CWS,"Mr. Jerry L. Tomlinson, Chairman",1202 N.E. 2nd,74701,DURANT,06,OK,15545,DURANT UTILITIES AUTHORITY,OK,Bryan
OK1010604,BRYAN CO. RWS %26 SWMD #2,CWS,"Regina Clinton, Manager",PO BOX 119,73449-0119,MEAD,06,OK,6270,BRYAN COUNTY RWS %26 SWMD #2,OK,Bryan
OK1010803,CHEYENNE,CWS,"Mr. Chris Barton, Mayor",P.O. BOX 10,73628,CHEYENNE,06,OK,778,CHEYENNE,OK,Roger Mills
