PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
OR4100001,"ADAMS WATER DEPT, CITY OF",CWS,PO BOX 20,190 N Main,97810,ADAMS,10,OR,370,"BRADY, KELLY",OR,Umatilla
OR4100002,"ADRIAN, CITY OF",CWS,PO BOX 226,,97901,ADRIAN,10,OR,180,"SNYDER, SHAWN",OR,Malheur
OR4100003,ADAIR VILLAGE WATER SYSTEM,CWS,6030 WILLIAM R CARR AVE,,97330,ADAIR,10,OR,875,"HARE, PAT",OR,Benton
OR4100004,ALBANY TRAILER COURT,CWS,1197 CENTURY DR NE SP 30,,97322,ALBANY,10,OR,100,"VANEATON, DON",OR,Linn
OR4100006,GRIM ESTATES,CWS,13063 BROOKLAKE DR NE,,97002,AURORA,10,OR,40,"HUGHES, SARAH",OR,Marion
OR4100012,"ALBANY, CITY OF",CWS,310 NE WAVERLY DR,,97321,ALBANY,10,OR,56100,"KELLEY, KAREN",OR,Linn
OR4100013,AMIGO VILLA WATER SERVICE INC,CWS,3511 40TH AVE SE,,97322,ALBANY,10,OR,100,"BERGER, NATHAN",OR,Linn
OR4100014,EDEN PARK HOMEOWNERS,CWS,4760 CHRISTOPHER AVE,,97322,ALBANY,10,OR,60,"CHLADEK, MIKE",OR,Linn
OR4100018,SCRAVEL HILL WATER CO-OP,CWS,38058 SCRAVEL HILL RD NE,,97322,ALBANY,10,OR,263,"TORGESON, MONTIE",OR,Linn
OR4100020,REDWOOD WATER SERVICE INC,CWS,35175 CORTEZ PL SE,,97322,ALBANY,10,OR,125,"CATE, LARRY",OR,Linn
OR4100023,FIR VIEW WATER COMPANY,CWS,4175 NW RIDGECREST,,97321,ALBANY,10,OR,163,"PILKERTON, STEVE",OR,Benton
OR4100024,GRAND PRAIRIE WATER SUPPLY CO,CWS,4241 SE 39TH AVE,,97321,ALBANY,10,OR,110,"MCWADE, JIM",OR,Linn
OR4100025,HAFEZ WATER SYSTEM,CWS,5876 HAFEZ LN,,97322,ALBANY,10,OR,78,"DOUGHERTY, DAN",OR,Linn
OR4100027,CAMELOT MOBILE HOME PARK,CWS,2045 36TH AVE SE,,97322,ALBANY,10,OR,150,"GLOUDE, TOM/WANDA",OR,Linn
OR4100028,OAKVILLA MOBILE HOME PARK,CWS,32483 OAKVILLE RD SW OFFICE,,97321,ALBANY,10,OR,136,"CISTONE, ANNETTE",OR,Linn
OR4100029,PERIWINKLE MOBILE HOME PARK,CWS,4678 ISABELLE ST,,97402,EUGENE,10,OR,55,"FRIEDEMANN, GARREN",OR,Linn
OR4100030,SHOREWOOD ESTATES,CWS,1905 WAVERLY #93,,97321,ALBANY,10,OR,148,"CARLISLE, KAREN",OR,Linn
OR4100037,OAKWOOD WATER SYSTEM INC,CWS,1170 LINWOOD DR NE,,97322,ALBANY,10,OR,50,"VICORY, ED",OR,Linn
OR4100041,"AMITY, CITY OF",CWS,PO BOX 159,,97101,AMITY,10,OR,1620,"HOGUE, JUSTIN",OR,Yamhill
OR4100042,"ANTELOPE, CITY OF",CWS,PO BOX 105,,97001,ANTELOPE,10,OR,46,"JAMISON, JOHN",OR,Wasco
OR4100043,APPLEGATE MOBILE PARK,CWS,537 THOMPSON CR RD #32,,97530,APPLEGATE,10,OR,70,"RAYMOND, JEFFREY",OR,Jackson
OR4100044,CANNON VIEW PARK INC,TNCWS,1000 NW GRENNLEAF ROAD,,97224,PORTLAND,10,OR,75,"GIBSON, RICHARD",OR,Clatsop
OR4100045,FALCON COVE BEACH WD,CWS,31911 CLATSOP LN,,97102,ARCH CAPE,10,OR,200,"DICE, CHARLES",OR,Tillamook
OR4100046,ARLINGTON CITY WATER SUPPLY,CWS,PO BOX 68,,97812,ARLINGTON,10,OR,610,"ROSENBALM, BILL",OR,Gilliam
OR4100047,ASHLAND WATER DEPARTMENT,CWS,90 N MOUNTAIN AVE,,97520,ASHLAND,10,OR,21505,"HUNTER, GREG",OR,Jackson
OR4100048,CLAYTON CREEK MH ESTATES,CWS,1100 W ROLLING HILL DR,,97524,EAGLE POINT,10,OR,130,"HUNTER, GREG",OR,Jackson
OR4100049,ASHLAND ACRES MOBILE ESTATES,CWS,PO BOX 3575,,97502,CENTRAL POINT,10,OR,30,"GROUT, PAUL",OR,Jackson
OR4100050,BEAR CREEK MOBILE HOME PARK,CWS,2195 OLD STAGE RD,,97502,CENTRAL POINT,10,OR,120,"SKINNER, MIKE",OR,Jackson
OR4100051,JACKSON WELL SPRINGS,CWS,2253 HWY 99 N,,97520,ASHLAND,10,OR,150,"LEHRBURGER, GERRY",OR,Jackson
OR4100052,NAUVOO MOBILE ESTATES,CWS,715 EAST PINE ST,,97502,CENTRAL POINT,10,OR,75,"GERBER, CINDY/LAUREN",OR,Jackson
OR4100053,ASHLAND COUNTRY ESTATES,CWS,2305-C ASHLAND ST #500,,97520,ASHLAND,10,OR,85,"MILLER, JEFF",OR,Jackson
OR4100054,BURNSIDE WATER ASSOCIATION,CWS,PO BOX 625,,97103,ASTORIA,10,OR,315,"KRUSICK, KURT",OR,Clatsop
OR4100055,"ASTORIA, CITY OF",CWS,550 30TH ST,,97103,ASTORIA,10,OR,9802,"HATCHER, JIM",OR,Clatsop
OR4100057,OLNEY-WALLUSKI WATER ASSN,CWS,PO BOX 935,,97103,ASTORIA,10,OR,530,"KLEE, KEN",OR,Clatsop
OR4100058,WILLOW DALE WATER DISTRICT,CWS,36766 CHRISTIANS LN,,97103,ASTORIA,10,OR,300,"STEVENS, SANDIE",OR,Clatsop
OR4100059,FERNHILL COMMUNITY WTR SYSTEM,CWS,PO BOX 744,,97103,ASTORIA,10,OR,300,"PETERSON, SHERRI",OR,Clatsop
OR4100060,JOHN DAY WATER DISTRICT,CWS,965 KENSINGTON AVE,,97103,ASTORIA,10,OR,350,"ALFONSE, NATE",OR,Clatsop
OR4100061,KNAPPA WATER ASSOCIATION,CWS,92755 ALLEN ROAD,,97103,ASTORIA,10,OR,1800,"JACKSON, JAMES (CHRIS)",OR,Clatsop
OR4100062,YOUNGS RIVER LEWIS %26 CLARK WD,CWS,34583 HWY 101 BUSINESS,,97103,ASTORIA,10,OR,2797,"GIFFORD III, CARL",OR,Clatsop
OR4100063,WICKIUP WATER DISTRICT,CWS,92648 SVENSON MARKET RD,,97103,ASTORIA,10,OR,1720,"WATERBURY, DANIEL",OR,Clatsop
OR4100064,"ATHENA, CITY OF",CWS,PO BOX 686,,97813,ATHENA,10,OR,1170,"FAIRCLOTH, KENNETH",OR,Umatilla
OR4100065,"AUMSVILLE, CITY OF",CWS,595 MAIN ST,,97325-0227,AUMSVILLE,10,OR,3945,"OSLIE, STEVE",OR,Marion
OR4100066,CENTURY MEADOWS INC,CWS,PO BOX 31,,97002,AURORA,10,OR,480,"SINCLAIR, FRANK",OR,Marion
OR4100067,"AURORA, CITY OF",CWS,21420 MAIN ST,,97002,AURORA,10,OR,995,"GUNTER, MARK",OR,Marion
OR4100068,DEER CREEK ESTATES,CWS,PO BOX 54,,97002,AURORA,10,OR,350,"WHITING, MARYANN",OR,Marion
OR4100069,SUNSET WATER SYSTEM INC,CWS,14112 PIPER ST SE,,97002,AURORA,10,OR,70,"COUCH, DON",OR,Marion
OR4100071,WESTERN WAGON VILLAGE,CWS,21356 HUBBARD CUTOFF NE #51,,97002,AURORA,10,OR,100,"JEANNETTE, MARICELLE",OR,Marion
OR4100073,BAKER CITY,CWS,PO BOX 650,,97814,BAKER CITY,10,OR,9890,"JONES, JAKE",OR,Baker
OR4100074,"BANDON, CITY OF",CWS,PO BOX 67,,97411,BANDON,10,OR,3175,"NIELSON, BILL",OR,Coos
OR4100076,BANKS WATER DEPARTMENT,CWS,13680 NW MAIN ST,,97106,BANKS,10,OR,1775,"TUSKI, TOM",OR,Washington
OR4100077,STAR SATELLITE IMPROV DIST,CWS,PO BOX 819,,97106,BANKS,10,OR,400,"SIPP, ED",OR,Washington
OR4100078,"BARLOW, CITY OF",CWS,105 MAPLE ST,,97013,CANBY,10,OR,140,"BARNETT, MIKE",OR,Clackamas
OR4100079,BAY CITY WATER SYSTEM,CWS,PO BOX 3309,,97107,BAY CITY,10,OR,1265,"BETTIS, BRIAN",OR,Tillamook
OR4100080,KILCHIS WATER DISTRICT,CWS,6105 HATHAWAY RD,,97141,TILLAMOOK,10,OR,500,"PRINCE, BEVERLY",OR,Tillamook
OR4100081,"BEAVERTON, CITY OF",CWS,PO BOX 4755,,97076,BEAVERTON,10,OR,70000,"RIGWOOD, BRIAN",OR,Washington
OR4100083,JUNIPER MOBILE PARK,CWS,63930 N HWY 97,,97701,BEND,10,OR,100,"ROGERS, NORMAN",OR,Deschutes
OR4100086,BLACK BUTTE RANCH CORPORATION,CWS,PO BOX 8000,,97759,BLACK BUTTE RANCH,10,OR,300,"PETTERSON, SWEN",OR,Deschutes
OR4100087,TOLLGATE WATER COMPANY,CWS,15004 SADDLE,,97759,SISTERS,10,OR,800,"FADELEY, BETTY",OR,Deschutes
OR4100090,HUNNELL HILLS WATER SYSTEM,CWS,22648 NELSON ROAD,,97701,BEND,10,OR,45,"ROGERS, BUTCH",OR,Deschutes
OR4100091,AVION WC - GREATER AVION,CWS,60813 PARRELL RD,,97702,BEND,10,OR,33425,"CALDWELL, MARC",OR,Deschutes
OR4100094,AVION WC - CHAPARRAL,CWS,60813 PARRELL RD,,97702,BEND,10,OR,470,"HUBBARD, GENE",OR,Deschutes
OR4100100,BEND WATER DEPARTMENT,CWS,62975 BOYD ACRES RD,,97701,BEND,10,OR,62091,"PRAZAK, STEVE",OR,Deschutes
OR4100105,KLIPPEL WATER INC,CWS,19210 DOE LANE,,97703,BEND,10,OR,80,"GEARY, PAT",OR,Deschutes
OR4100106,PONDEROSA PINES WATER COMPANY,CWS,53299 PONDEROSA WAY,,97739,LA PINE,10,OR,900,"GILLETTE, ROBERT (DAVE)",OR,Deschutes
OR4100111,SUN MOUNTAIN WATER SYSTEM LLC,CWS,22648 NELSON ROAD,,97701,BEND,10,OR,740,"ROGERS, BUTCH",OR,Deschutes
OR4100112,CIMMARRON CITY WATER SYSTEM,CWS,PO BOX 5441,,97701,BEND,10,OR,450,"LINDBO, SUSAN",OR,Deschutes
OR4100113,ROATS WATER SYSTEM,CWS,61147 HAMILTON LN,,97702,BEND,10,OR,4500,"ROATS, CASEY",OR,Deschutes
OR4100114,SUNSET ACRES WATER CO-OP INC,CWS,62580 DIXON LOOP,,97701,BEND,10,OR,70,"WALLACE, AMANDA",OR,Deschutes
OR4100115,ROATS WOODSIDE RANCH WS,CWS,61147 HAMILTON LN,,97702,BEND,10,OR,1555,"ROATS, CASEY",OR,Deschutes
OR4100117,DESCHUTES MOBILE PARK,CWS,22648 NELSON ROAD,,97701,BEND,10,OR,62,"ROGERS, BUTCH",OR,Deschutes
OR4100118,FOUR SEASONS MHP,CWS,22648 NELSON ROAD,,97701,BEND,10,OR,100,"ROGERS, BUTCH",OR,Deschutes
OR4100121,WALLACE ACRES WATER COMPANY,CWS,22940 DONNA LANE,,97701,BEND,10,OR,80,"SIMMONS, JILL",OR,Deschutes
OR4100122,AVION WC - CINDER BUTTE ESTS,CWS,60813 PARRELL ROAD,,97702,BEND,10,OR,110,"WALLACE, JON",OR,Deschutes
OR4100123,SUN COUNTRY WTR SADDLEBACK,CWS,22648 NELSON ROAD,,97701,BEND,10,OR,300,"ROGERS, BUTCH",OR,Deschutes
OR4100124,FISHHAWK LAKE RESERVE AND COMMUNITY,CWS,9997 BEACH DRIVE,,97016,BIRKENFELD,10,OR,350,"ADOLPHSON, KEVIN",OR,Columbia
OR4100125,BLUE RIVER WATER DISTRICT,CWS,PO BOX 292,,97413,BLUE RIVER,10,OR,300,"PIERCE, RICHARD",OR,Lane
OR4100127,PATIO RV PARK,TNCWS,PO BOX 8516,,97408,COBURG,10,OR,125,"MILLER, AMY OR JIMMY",OR,Lane
OR4100129,BLY WATER DISTRICT,CWS,61138 HWY 140 E,,97622,BLY,10,OR,250,"AMBERG, KELLY",OR,Klamath
OR4100130,"BOARDMAN, CITY OF",CWS,PO BOX 229,,97818,BOARDMAN,10,OR,3500,"KENNEDY, KEVIN S",OR,Morrow
OR4100134,KELSO WATER ASSN,CWS,PO BOX 835,,97009,BORING,10,OR,350,"DUNN, PAUL",OR,Clackamas
OR4100135,BORING WATER DISTRICT NO 24,CWS,PO BOX 66,,97009,BORING,10,OR,1625,"ALEXANDER, CHRIS",OR,Clackamas
OR4100138,EASTMONT WATER COMPANY,CWS,PO BOX 896,,97009,BORING,10,OR,250,"GREEN, SHARLENE",OR,Clackamas
OR4100139,RANCHERO PETITE IMPROV DIST,CWS,31800 SE CHIN ST,,97009,BORING,10,OR,40,"BELL, RICK",OR,Clackamas
OR4100140,BARLOW TRAIL ESTATES,CWS,18150 SW BOONES FERRY RD,,97224,PORTLAND,10,OR,180,"VANCE, MARCUS",OR,Clackamas
OR4100141,ORIENT DRIVE MOBILE ESTATES,CWS,13025 SE ORIENT DR SP #7,,97009,BORING,10,OR,75,"BYRD, ALVIN",OR,Clackamas
OR4100142,PIONEER MOBILE HOME PARK,CWS,PO BOX 403,,97389,TANGENT,10,OR,300,"HOCHSTATTER, RICHARD",OR,Clackamas
OR4100143,BRIGHTWOOD WATER WORKS,CWS,PO BOX 483,,97011,BRIGHTWOOD,10,OR,100,"JACOB, DAVID",OR,Clackamas
OR4100144,MOUNTAIN AIR WATER ASSOC,CWS,PO BOX 327,,97049,RHODODENDRON,10,OR,200,"JACOB, DAVID",OR,Clackamas
OR4100149,"BROOKINGS, CITY OF",CWS,898 ELK DRIVE,,97415,BROOKINGS,10,OR,7120,"HAGLUND, MARK",OR,Curry
OR4100150,HARBOR WATER PUD,CWS,PO BOX 2437,,97415,HARBOR,10,OR,3150,"BLOEMSMA, HERMAN",OR,Curry
