PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
PA1090001,AQUA PA BRISTOL,CWS,762 W LANCASTER AVE,,19010,BRYN MAWR,03,PA,28728,AQUA PA BRISTOL,PA,Bucks
PA1090002,BUCKINGHAM VLY REHAB %26 NURSING,CWS,820 DURHAM ROAD,,18940,NEWTOWN,03,PA,190,BUCKINGHAM VLY REHAB %26 NURSING,PA,Bucks
PA1090005,AQUA PA CHALFONT,CWS,762 W LANCASTER AVENUE,,19010,BRYN MAWR,03,PA,5900,AQUA PA CHALFONT,PA,Bucks
PA1090007,UMH ARBOR ESTATES,CWS,1081 NORTH EASTON ROAD,,18902,DOYLESTOWN,03,PA,920,UMH ARBOR ESTATES,PA,Bucks
PA1090017,BUCKS RUN APARTMENTS,CWS,C/O 813 MANOR DRIVE,,18917,DUBLIN,03,PA,130,BUCKS RUN APARTMENTS,PA,Bucks
PA1090022,FALLS TWP  WATER %26 SEWER DEPT,CWS,557 LINCOLN HIGHWAY,,19030,FAIRLESS HILLS,03,PA,24400,FALLS TWP  WATER %26 SEWER DEPT,PA,Bucks
PA1090026,LOWER BUCKS CO JOINT MUN AUTH,CWS,7811 NEW FALLS ROAD,,19055,"LEVITTOWN,",03,PA,63007,LOWER BUCKS CO JOINT MUN AUTH,PA,Bucks
PA1090030,SOLEBURY SCHOOL,CWS,6832 PHILLIPS MILL RD,,18938,NEW HOPE,03,PA,300,SOLEBURY SCHOOL,PA,Bucks
PA1090037,MORRISVILLE MUNIC AUTHORITY,CWS,35 UNION STREET,,19067,MORRISVILLE,03,PA,13342,MORRISVILLE MUNIC AUTHORITY,PA,Bucks
PA1090040,VILLAGE 2 COMMUNITY ASSOC,CWS,PO BOX 106,,18938,NEW HOPE,03,PA,650,VILLAGE 2 COMMUNITY ASSOC,PA,Bucks
PA1090043,NEWTOWN ARTESIAN WATER CO,CWS,P O BOX 217,,18940,NEWTOWN,03,PA,38500,NEWTOWN ARTESIAN WATER CO,PA,Bucks
PA1090044,DURHAM QUARTERS APTS,CWS,PO BOX 320,,18947,PIPERSVILLE,03,PA,25,DURHAM QUARTERS APTS,PA,Bucks
PA1090046,PERKASIE REGIONAL AUTHORITY,CWS,150 RIDGE RD,,18960,SELLERSVILLE,03,PA,15000,PERKASIE REGIONAL AUTHORITY,PA,Bucks
PA1090048,RED CLIFF MHP,CWS,P O BOX 130,,18921,FERNDALE,03,PA,30,RED CLIFF MHP,PA,Bucks
