PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
PR0002000,SUPERACUEDUCTO,CWS,BO. SABANA HOYOS,ROAD 663 KM 1.6,00612,ARECIBO,02,PR,238603,SUPERACUEDUCTO,PR,"Bayamon Municipio,San Juan Municipio,Toa Alta Municipio"
PR0002591,METROPOLITANO,CWS,BO. OBRERO STATION,,00901,SAN JUAN,02,PR,1064730,METROPOLITANO,PR,"Bayamon Municipio,San Juan Municipio,Toa Alta Municipio"
PR0002611,CUBUY,CWS,CARR. 186 KM. 2.0,,00729,CANOVANAS,02,PR,5481,CUBUY,PR,"Canovanas Municipio,Juncos Municipio"
PR0002652,ARECIBO URBANO,CWS,CARR. 636 KM. 1.3 INT.,,00612,ARECIBO,02,PR,92942,ARECIBO URBANO,PR,Arecibo Municipio
PR0002662,HATILLO-CAMUY,CWS,CARR. 2 KM. 88.9 INT.,,00659,HATILLO,02,PR,37453,HATILLO-CAMUY,PR,Hatillo Municipio
PR0002672,ISABELA,CWS,P.O. BOX 7066,BO. OBRERO STATION,00916,SANTURCE,02,PR,59196,"X, ISABELA",PR,Isabela Municipio
PR0002682,QUEBRADILLAS URBANO,CWS,CARR. 113 KM. 15.5,,00678,QUEBRADILLAS,02,PR,32645,QUEBRADILLAS URBANO,PR,Quebradillas Municipio
PR0002692,LARES URBANO,CWS,CARR. 128 KM. 38.3 INT,,00669,LARES,02,PR,14890,LARES URBANO,PR,Lares Municipio
PR0002702,UTUADO URBANO,CWS,CARR. 111 KM. 5.4,,00641,UTUADO,02,PR,18787,UTUADO URBANO,PR,Utuado Municipio
PR0002712,JAYUYA URBANO,CWS,CARR. 141 KM. 0.1 INT.,,00664,JAYUYA,02,PR,11248,JAYUYA URBANO,PR,Jayuya Municipio
PR0002722,BARCELONETA URBANO,CWS,CARR. 140 KM. 38.5 INT.,,00617,BARCELONETA,02,PR,24372,BARCELONETA URBANO,PR,Barceloneta Municipio
