PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
RI1000001,SEACONNET POINT FARM,TNCWS,65 CONGDON STREET,,02906,PROVIDENCE,01,RI,50,"HAFFENREFFER, DAVID",RI,Newport
RI1000005,BURLINGAME RESERVATION-MAIN CAMP-LEGIONT,TNCWS,RIDEM/Division of Parks %26 Recreation,100 Tower Hill Road,02852,NORTH KINGSTOWN,01,RI,3024,"PUCELLA, DANIEL",RI,Washington
RI1000007,FOGARTY MEMORIAL SCHOOL,NTNCWS,P.O. BOX B,1145 PUTNAM PIKE,02814,CHEPACHET,01,RI,427,"DUBOIS, PATRICIA",RI,Providence
RI1000009,"ABBEY LANE COMMUNITY ASSN., INC.",CWS,14 ABBEY LANE,,02825,FOSTER,01,RI,45,"HOLLIS, ELIZABETH",RI,Providence
RI1000010,PULASKI MEM PARK-BEACH AREA-DEM DIV. FOR,TNCWS,RIDEM Division of Parks and Recreation,1100 Tower Hill Road,02852,NORTH KINGSTOWN,01,RI,450,"ST. PIERRE, PAUL",RI,Providence
RI1000011,PULASKI MEMORIAL PARK-PARKING AREA 3,TNCWS,RIDEM Division of Parks and Recreation,1100 Tower Hill Road,02852,NORTH KINGSTOWN,01,RI,150,"ST. PIERRE, PAUL",RI,Providence
RI1000015,SOUTH KINGSTOWN-MIDDLEBRIDGE,CWS,509 COMMODORE PERRY HIGHWAY,,02879,WAKEFIELD,01,RI,543,"SCHOCK, JON R.",RI,Washington
RI1000016,"NAVAL STATION, NEWPORT",CWS,1 SIMONPIETRY DRIVE,,02841,NEWPORT,01,RI,7871,"DOROCZ, DAVID",RI,Newport
RI1000018,YAWGOOG SCOUT RESERVATION,TNCWS,10 RISHO AVENUE,,02914,EAST PROVIDENCE,01,RI,1100,"MOSBY, JOHN",RI,Washington
RI1000025,CREST MFG CO,NTNCWS,5 HOOD DRIVE,,02865,LINCOLN,01,RI,40,"HOOD, GARY",RI,Providence
RI1000035,CASTLE ROCK CONDOMINIUMS,CWS,P.O. BOX 8889,,02920,CRANSTON,01,RI,292,"ANDERSEN, KAREN",RI,Washington
RI1000040,RICHMOND WATER SUPPLY BOARD,CWS,5 RICHMOND TOWNHOUSE ROAD,,02898,WYOMING,01,RI,2501,"PINCH, KAREN D.",RI,Washington
