PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
SC0110001,ABBEVILLE CITY OF (0110001),CWS,ABBEVILLE CITY OF,PO BOX 40,29620,ABBEVILLE,04,SC,5372,"STONE, BLAKE",SC,Abbeville
SC0110002,CALHOUN FALLS TOWN OF (0110002),CWS,CALHOUN FALLS TOWN OF,PO BOX 246,29628-0246,CALHOUN FALLS,04,SC,2300,"MCCULLOUGH, JERRY",SC,Abbeville
SC0120001,DONALDS-DUE WEST W%26SA (0120001),CWS,PO BOX 245,,29638,DONALDS,04,SC,5200,"COX, MATT",SC,Abbeville
SC0150006,NANCE S/D #2 (0150006),TNCWS,1612 FLAT ROCK RD,,29620,ABBEVILLE,04,SC,18,"NANCE, WILLIAM",SC,Abbeville
SC0150013,COLONY EAST II (0150013),CWS,155 COLONY EAST,,29620,ABBEVILLE,04,SC,23,"TIMMERMAN, LISA",SC,Abbeville
SC0150014,CWS PURDY SHORES (0150014),CWS,CAROLINA WATER SERVICE,131 GREENBRIAR DR,29212,COLUMBIA,04,SC,268,"CARTIN, MICHAEL",SC,Abbeville
SC0170104,COLD SPRINGS SCHOOL (0170104),NTNCWS,168 COLD SPRINGS CHURCH RD,,29620-3510,ABBEVILLE,04,SC,41,"STOLL, ROBERT",SC,Abbeville
SC0170105,DIAMOND HILL SCHOOL (SC0170105),NTNCWS,400 GREENVILLE ST,,29620,ABBEVILLE,04,SC,335,"REEPE, MIKE",SC,Abbeville
SC0170200,YODERS RESTAURANT (0170200),TNCWS,809 EAST GREENWOOD ST,,29620,ABBEVILLE,04,SC,26,"HERSHBERGER, BARBRA",SC,Abbeville
SC0170650,USFS PARSONS MOUNTAIN (SC0170650),TNCWS,US FOREST SERVICE,4931 BROAD RIVER RD,29212,COLUMBIA,04,SC,50,"JENKINS, MONICA",SC,Abbeville
SC0170875,HIGH MEADOWS CC (0170875),TNCWS,PO BOX 384,,29620,ABBEVILLE,04,SC,26,"HILLEY, WALT",SC,Abbeville
