PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
SD4600002,CASTLEWOOD,CWS,PO BOX 17,,57223,CASTLEWOOD,08,SD,627,CASTLEWOOD,SD,Hamlin
SD4600004,ALCESTER,CWS,PO BOX 318,,57001,ALCESTER,08,SD,885,ALCESTER,SD,Union
SD4600007,BIG STONE CITY,CWS,PO BOX 246,,57216,BIG STONE CITY,08,SD,467,BIG STONE CITY,SD,Grant
SD4600008,BOWDLE,CWS,PO BOX 553,,57428,BOWDLE,08,SD,484,BOWDLE,SD,Edmunds
SD4600009,CORONA,CWS,PO BOX 96,,57227,CORONA,08,SD,82,CORONA,SD,Roberts
SD4600010,EAGLE BUTTE,CWS,PO BOX 150,,57625,EAGLE BUTTE,08,SD,4000,EAGLE BUTTE,SD,Dewey
SD4600011,HIGH MEADOWS RANCHETTES,CWS,PO BOX 761,,57718,BLACK HAWK,08,SD,58,HIGH MEADOWS RANCHETTES,SD,Pennington
SD4600012,MIDLAND,CWS,PO BOX 232,,57552,MIDLAND,08,SD,120,MIDLAND,SD,Haakon
SD4600013,NEW EFFINGTON,CWS,PO BOX 173,,57255,NEW EFFINGTON,08,SD,230,NEW EFFINGTON,SD,Roberts
SD4600014,PRAIRIE ACRES LLC,CWS,1980 COUNTRY-#116,,57701,RAPID CITY,08,SD,325,PRAIRIE ACRES LLC,SD,Pennington
SD4600015,SPRING CANYON WATER COMPANY,CWS,PO BOX 9141,,57709,RAPID CITY,08,SD,89,SPRING CANYON WATER COMPANY,SD,Pennington
SD4600019,JOBEE ACRES,CWS,6168 COUNTRY LANE,,57401,ABERDEEN,08,SD,75,JOBEE ACRES,SD,Brown
SD4600020,ABERDEEN,CWS,12668 391ST  AVE,,57402,ABERDEEN,08,SD,26091,ABERDEEN,SD,Brown
SD4600021,COUNTRY VILLAGE PARK,CWS,38520 130TH STREET #147,,57401,ABERDEEN,08,SD,340,COUNTRY VILLAGE PARK,SD,Brown
SD4600022,LAKESIDE ESTATES,CWS,307 N WASHINGTON STREET,,57401,ABERDEEN,08,SD,460,LAKESIDE ESTATES,SD,Brown
SD4600023,THE MEADOWS,CWS,13601 387TH AVE  #1,,57401,ABERDEEN,08,SD,80,THE MEADOWS,SD,Brown
SD4600025,ALPENA,CWS,PO BOX 318,,57362,MILLER,08,SD,286,ALPENA,SD,Jerauld
SD4600028,ARMOUR,CWS,PO BOX 415,,57313,ARMOUR,08,SD,702,ARMOUR,SD,Douglas
SD4600030,AMHERST WATER COMPANY,CWS,PO BOX 49,,57430,BRITTON,08,SD,35,AMHERST WATER COMPANY,SD,Marshall
SD4600031,AVON,CWS,PO BOX 207,,57315,AVON,08,SD,590,AVON,SD,Bon Homme
SD4600032,BADGER,CWS,PO BOX 44,,57214,BADGER,08,SD,140,BADGER,SD,Kingsbury
SD4600034,BALTIC,CWS,PO BOX 327,,57003,BALTIC,08,SD,1177,BALTIC,SD,Minnehaha
SD4600036,BATESLAND,CWS,PO BOX 790 - 21809 OLD HWY 18,,57551,MARTIN,08,SD,148,BATESLAND,SD,Shannon
SD4600037,BELLE FOURCHE,CWS,511 SIXTH AVENUE,,57717,BELLE FOURCHE,08,SD,5594,BELLE FOURCHE,SD,Butte
SD4600039,BISON,CWS,PO BOX 910,,57620,BISON,08,SD,333,BISON,SD,Perkins
SD4600040,VALLEY VIEW WATER COMPANY,CWS,4800 EVEREST ROAD-LOT #87,,57702,RAPID CITY,08,SD,248,VALLEY VIEW WATER COMPANY,SD,Meade
SD4600041,PINE HILLS PARK,CWS,6892 POLK STREET,,57718,BLACK HAWK,08,SD,200,PINE HILLS PARK,SD,Meade
SD4600042,WOODLAND HILLS SANITARY DISTRICT,CWS,PO BOX 761,,57718,BLACK HAWK,08,SD,255,WOODLAND HILLS SANITARY DISTRICT,SD,Meade
SD4600043,BLACK HAWK WATER USER DISTRICT,CWS,PO BOX 476,,57718,BLACK HAWK,08,SD,3750,BLACK HAWK WATER USER DISTRICT,SD,Meade
SD4600044,BLUNT,CWS,PO BOX 318,,57362,MILLER,08,SD,354,BLUNT,SD,Hughes
SD4600045,BONESTEEL,CWS,PO BOX 321,,57317,BONESTEEL,08,SD,275,BONESTEEL,SD,Gregory
SD4600046,BOX ELDER,CWS,420 VILLA DRIVE,,57719,BOX ELDER,08,SD,8300,BOX ELDER,SD,Pennington
SD4600047,BRADLEY,CWS,1312 MAIN STREET,,57469,REDFIELD,08,SD,72,BRADLEY,SD,Clark
