PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
TN0000001,WEST ROBERTSON WATER AUTHORITY,CWS,608 KEYSBURG RD.,,37010,ADAMS,04,TN,5422,"DAVIDSON, GENE",TN,Robertson
TN0000002,ADAMSVILLE WATER SYSTEM,CWS,P.O. BOX 301,,38310,ADAMSVILLE,04,TN,8878,"PLUNK, PAUL W.",TN,McNairy
TN0000005,ALAMO WATER DEPARTMENT,CWS,97 SOUTH JOHNSON ST.,P.O. BOX 446,38001,ALAMO,04,TN,3175,"GORMAN, JOHN A.",TN,Crockett
TN0000006,COUNTY WIDE UTILITY DISTRICT,CWS,P.O.BOX 357,,38001,ALAMO,04,TN,8369,"JOHNSON, MICHAEL R.",TN,Crockett
TN0000007,ALCOA WATER SYSTEM,CWS,725 UNIVERSAL ST.,,37701,ALCOA,04,TN,30123,"SONNER, ANDREW",TN,Blount
TN0000008,ALEXANDRIA WATER SYSTEM,CWS,P.O. BOX 227,102 HIGH STREET,37012,ALEXANDRIA,04,TN,3130,"ARMSTRONG, BENNETT",TN,DeKalb
TN0000009,ALGOOD WATER SYSTEM,CWS,215 WEST MAIN STREET,,38506,ALGOOD,04,TN,8552,"MORRISON, KEITH",TN,Putnam
TN0000010,ALLARDT WATER WORKS,CWS,P.O. BOX 159,2015 MICHIGAN AVE.,38504,ALLARDT,04,TN,3432,"TERRY, ROBIN M.",TN,Fentress
TN0000013,NORTH OVERTON UTILITY DISTRICT,CWS,"P.O. BOX 167, 110 HOOVER CEMETARY RD.",,38541,ALLONS,04,TN,4420,"HALL, KENNY",TN,Overton
TN0000014,ALPHA-TALBOTT UTILITY DISTRICT,CWS,P.O. BOX 100,,37877,TALBOTT,04,TN,17664,"COMBS, PHILLIP M.",TN,Hamblen
TN0000018,ARDMORE WATER SYSTEM,CWS,P.O. BOX 26,,38449,ARDMORE,04,TN,1694,"SHANNON, BILLY W.",TN,Giles
TN0000022,ARTHUR-SHAWANEE UTILITY DISTRICT,CWS,112 KIRBY STREET,,37752,HARROGATE,04,TN,9967,"GARLAND, ERIC",TN,Claiborne
TN0000023,ASHLAND CITY WATER DEPARTMENT,CWS,P.O. BOX 36,,37015,ASHLAND CITY,04,TN,7849,"BIGGERS, CLINT",TN,Cheatham
TN0000024,ATHENS UTILITIES BOARD,CWS,100 ENGLEWOOD ROAD,,37303,ATHENS,04,TN,20020,"BRYMER, CRAIG",TN,McMinn
TN0000033,ATOKA WATER SYSTEM,CWS,334 ATOKA-MUNFORD AVE.,,38004,ATOKA,04,TN,9039,"KORAL, BRIAN",TN,Tipton
TN0000035,ATWOOD WATER SYSTEM,CWS,P.O. BOX 339,,38220,ATWOOD,04,TN,1327,"MARSHALL, JAMES",TN,Carroll
TN0000037,UNION FORK-BAKEWELL UTILITY DISTRICT,CWS,405 RETRO HUGHES ROAD,,37373-7716,BAKEWELL,04,TN,5011,"KEYLON, DENISE",TN,Hamilton
TN0000038,BANGHAM UTILITY DISTRICT,CWS,3694 HILHAM RD.,,38506-7113,COOKEVILLE,04,TN,8043,"MCCANLESS, MIKE",TN,Putnam
TN0000040,BAXTER WATER DEPARTMENT,CWS,"P.O. BOX 283, CITY HALL",,38544,BAXTER,04,TN,6600,"MARTIN, JOHN",TN,Putnam
TN0000041,BEAN STATION UTILITY DISTRICT,CWS,581 BROADWAY DR.,,37728,BEAN STATION,04,TN,8454,"WILLIAMS, BOBBY",TN,Grainger
TN0000044,BELL BUCKLE WATER SYSTEM,CWS,P.O. BOX 276,,37020,BELL BUCKLE,04,TN,2336,"LOKEY, RONNIE",TN,Bedford
TN0000045,BELLS PUBLIC UTILITY DISTRICT,CWS,P.O. BOX 760,,38006,BELLS,04,TN,2578,"JORDAN, JR., MARLON C.",TN,Crockett
TN0000046,BELVIDERE RURAL UTILITY DISTRICT,CWS,P.O. BOX 67,,37306,BELVIDERE,04,TN,1500,"SELLS, CHARLES (RUSSELL)",TN,Franklin
TN0000048,BENTON WATER SYSTEM,CWS,P.O. BOX 687,,37307,BENTON,04,TN,2710,"STEPHENS, JERRY",TN,Polk
TN0000050,BETHEL SPRINGS WATER SYSTEM,CWS,P.O. BOX 214,,38315,BETHEL SPRINGS,04,TN,934,"BIZZELL, JR., GARY",TN,McNairy
TN0000051,BIG SANDY WATER DEPARTMENT,CWS,P.O. BOX 176,,38221,BIG SANDY,04,TN,1123,"LANE, RON",TN,Benton
TN0000055,HARBOR UTILITY DISTRICT,CWS,P.O. BOX 248,,38221,BIG SANDY,04,TN,665,"FINCH, BONITA",TN,Benton
TN0000056,BLOOMINGDALE UTILITY DISTRICT,CWS,3212 BLOOMINGDALE PIKE,,37660,KINGSPORT,04,TN,13173,"HICKS, FRED W.",TN,Sullivan
TN0000058,BLOUNTVILLE UTILITY DISTRICT,CWS,P.O. BOX 469,,37617,BLOUNTVILLE,04,TN,12630,"STEVENS, RAYMOND L.(LOUIE)",TN,Sullivan
TN0000061,BLUFF CITY WATER DEPARTMENT,CWS,P.O. BOX 70,,37618,BLUFF CITY,04,TN,2810,"WELLS, IRENE",TN,Sullivan
TN0000063,BOLIVAR WATER SYSTEM,CWS,211 N. WASHINGTON ST.,,38008,BOLIVAR,04,TN,7782,"HENSON, CLIFF",TN,Hardeman
TN0000066,BON AQUA-LYLES UTILITY DISTRICT,CWS,P.O. BOX 35,,37098,LYLES,04,TN,10728,"BARNES, THOMAS B. (BRAD)",TN,Hickman
TN0000067,BRADFORD WATER SYSTEM,CWS,P.O. BOX 87,,38316,BRADFORD,04,TN,1285,"ARNOLD, RAY",TN,Gibson
TN0000069,BRENTWOOD WATER DEPTARTMENT,CWS,P.O. BOX 788,,37024,BRENTWOOD,04,TN,28950,"MILTON, CHRIS",TN,Williamson
TN0000070,BRIGHTON WATER SYSTEM,CWS,"P.O. BOX 277, CITY HALL",,38011,BRIGHTON,04,TN,3662,"CROCKER, SARAH M.",TN,Tipton
TN0000073,BRISTOL DEPTARTMENT OF UTILITIES,CWS,P.O. BOX 1189,,37621,BRISTOL,04,TN,33199,"BEAVERS, TIM",TN,Sullivan
TN0000074,HOLSTON U D,CWS,2800 HWY 421 SUITE 5,,37620,BRISTOL,04,TN,3095,"MUMPOWER, JENNIFER",TN,Sullivan
TN0000078,JACOBS CREEK JOB CORPS CENTER - USFS,CWS,984 DENTON VALLEY RD.,,37620,BRISTOL,04,TN,300,"ROSE, TERENCE",TN,Sullivan
TN0000079,BRISTOL-BLUFF CITY UTILITY DISTRICT,CWS,P.O. BOX 459,,37618,BLUFF CITY,04,TN,5868,"GRINDSTAFF, TINA",TN,Sullivan
TN0000080,BROWNSVILLE WATER DEPT,CWS,P.O. BOX 424,,38012,BROWNSVILLE,04,TN,13621,"CASTLELAW, REGIE",TN,Haywood
TN0000081,BRUCETON WATER SYSTEM,CWS,"209 CHEATHAM ST, CITY HALL",,38317-0136,BRUCETON,04,TN,1613,"EDWARDS, BRIAN A.",TN,Carroll
TN0000083,LOON BAY PROPERTY OWNERS ASSOC,CWS,P.O. BOX 60,,37028,BUMPUS M ILLS,04,TN,134,"GILLUM, RANDALL B.",TN,Stewart
TN0000085,CARDERVIEW UTILITY DISTRICT,CWS,177 RAINBOLT ST.,,37640,BUTLER,04,TN,1077,"BURCHETT, KEVIN",TN,Johnson
TN0000088,BYRDSTOWN WATER DEPT,CWS,109 WEST MAIN ST.,,38549,BYRDSTOWN,04,TN,7060,"GIBSON, SAM",TN,Pickett
TN0000090,CAMDEN WATER DEPT,CWS,P.O. BOX 779,,38320,XAMDEN,04,TN,9629,"BEASLEY, JOHN",TN,Benton
TN0000094,FIRST U D OF CARTER CO,CWS,101 SCOTT LANE,,37643,ELIZABETHON,04,TN,9426,"BOWERS, DAVID",TN,Carter
TN0000095,CARTHAGE WATER SYSTEM,CWS,P.O. BOX 259,,37030,CARTHAGE,04,TN,2916,"MOFIELD, TERESA R.",TN,Smith
TN0000096,CORDELL HULL UTILITY DISTRICT,CWS,3 FOUR WAY INN LANE,,37030,CARTHAGE,04,TN,2821,"KEMP, MARCUS",TN,Smith
TN0000097,CASTALIAN SPRINGS-BETHPAGE U D,CWS,1010 HINTON ROAD,,37022,BETHPAGE,04,TN,12245,"GRAVES, STEVE",TN,Sumner
TN0000098,CEDAR GROVE UTILITY DISTRICT,CWS,P.O. BOX 8,,38321,CEDAR GROVE,04,TN,1364,"FULLINGTON, TIMOTHY A.",TN,Carroll
