PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
TX0000001,COLORADO RIVER MUNICIPAL WATER DISTRICT,TNCWS,PO BOX 869,,79721-0869,BIG SPRING,06,TX,0,"GRANT, JOHN, W",TX,"Coke,Concho,Ector,Howard,Martin,Scurry,Ward"
TX0010001,CITY OF PALESTINE,CWS,504 N QUEEN ST,,75801-2733,PALESTINE,06,TX,27477,"PRESLEY, STEVE",TX,Anderson
TX0010002,CITY OF FRANKSTON DOWNTOWN PLANT,CWS,PO BOX 186,,75763-0186,FRANKSTON,06,TX,1229,"BROOKS, EUGENE",TX,Anderson
TX0010003,LAKEVIEW METHODIST CONFERENCE CTR,TNCWS,400 PRIVATE ROAD 6036,,75801-0646,PALESTINE,06,TX,800,"IDOM, MATT",TX,Anderson
TX0010004,FRANKSTON RURAL WSC,CWS,PO BOX 725,,75763-0725,FRANKSTON,06,TX,1575,"DWYER, W, JIM",TX,Anderson
TX0010005,CITY OF ELKHART,CWS,PO BOX 944,,75839-0944,ELKHART,06,TX,2556,"GORDON, MIKE",TX,Anderson
TX0010007,DOGWOOD SPRINGS WSC PLANT 1,CWS,PO BOX 608,,75763-0608,FRANKSTON,06,TX,582,"HALLMAN, JAMES, R",TX,Anderson
TX0010015,B B S WSC,CWS,PO BOX 75,,75853-0075,MONTALBA,06,TX,1236,"RODGERS, DON",TX,Anderson
TX0010018,B C Y WSC,CWS,PO BOX 7,,75861-0007,TENNESSEE COLONY,06,TX,2724,"LINK, JAMES, MIKE",TX,Anderson
TX0010020,FOUR PINES WSC,CWS,905 BASSETT RD,,75803-6723,PALESTINE,06,TX,3411,"HOWARD, DONNIE",TX,Anderson
TX0010021,LONE PINE WSC,CWS,PO BOX 1616,,75802-1616,PALESTINE,06,TX,966,"COOPER, MARLON, W",TX,Anderson
TX0010023,MONTALBA WSC,CWS,10890 N STATE HIGHWAY 19,,75853-3053,MONTALBA,06,TX,564,"WILBANKS, ORVILLE, W",TX,Anderson
TX0010024,NECHES WSC,CWS,PO BOX 217,,75779-0217,NECHES,06,TX,1974,"BROWN, VAN",TX,Anderson
TX0010026,PLEASANT SPRINGS WSC,CWS,30 VARIAH ST UNIT 312,,75801-4018,PALESTINE,06,TX,951,"COPELAND, BILL",TX,Anderson
TX0010028,SLOCUM WSC,CWS,5720 E STATE HIGHWAY 294,,75839-3134,ELKHART,06,TX,2724,"HERNANDEZ, DAN",TX,Anderson
TX0010029,TUCKER WSC,CWS,350 AN COUNTY ROAD 2910,,75803-1213,PALESTINE,06,TX,1494,"WILLIAMS, GEORGE, CASEY",TX,Anderson
TX0010030,WALSTON SPRINGS WSC,CWS,1370 FM 2419,,75801-0800,PALESTINE,06,TX,3925,"GLENN, DAN",TX,Anderson
TX0010031,TDCJ COFFIELD MICHAEL,CWS,PO BOX 4011,,77342-4011,HUNTSVILLE,06,TX,9160,"BUSTER, BRIAN, H",TX,Anderson
TX0010036,BRUSHY CREEK WSC,CWS,14012 FM 315,,75803-4258,PALESTINE,06,TX,4629,"DENSON, MIKE",TX,Anderson
TX0010037,CAMP BETTE PEROT,TNCWS,PO BOX 797447,,75379-7447,DALLAS,06,TX,268,"WALKER, COLLEEN",TX,Anderson
TX0010038,DOGWOOD HILLS NORTH,CWS,1106 CLAYTON LN STE 400W,,78723-2476,AUSTIN,06,TX,177,"FOLTZ, SCOT, W",TX,Anderson
TX0010039,DOGWOOD HILLS EAST,CWS,1106 CLAYTON LN STE 400W,,78723-2476,AUSTIN,06,TX,249,"FOLTZ, SCOT, W",TX,Anderson
TX0010044,TDCJ BETO UNIT,CWS,PO BOX 4011,,77342-4011,HUNTSVILLE,06,TX,8148,"BUSTER, BRIAN, H",TX,Anderson
TX0010046,ANDERSON COUNTY CEDAR CREEK WSC,CWS,3350 W STATE HIGHWAY 294,,75839-4090,ELKHART,06,TX,1293,"NELSON, CHARLES",TX,Anderson
TX0010047,NORWOOD WSC,CWS,207 HILL ST,,75442-2325,FARMERSVILLE,06,TX,1194,"ESTEP, MERL",TX,Anderson
TX0010053,WALMART DISTRIBUTION CENTER,NTNCWS,8642 S HIGHWAY 287,,75109-0655,CORSICANA,06,TX,964,"FOLMAR, KENNETH",TX,Anderson
TX0010054,LAKE IONI WATER SUPPLY,CWS,1149 AN COUNTY ROAD 186,,75839-5857,ELKHART,06,TX,195,"BISHOP, FREDDIE, R",TX,Anderson
