PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
UTAH01001,BEAVER CITY WATER SYSTEM,CWS,PO BOX 534,,84713,BEAVER,08,UT,3142,"LIMB, CHAD M",UT,Beaver
UTAH01002,ELK MEADOWS SSD,TNCWS,PO BOX 2102,,84713,BEAVER,08,UT,303,"CARROLL, JEREMY ANDREW",UT,Beaver
UTAH01003,MILFORD CITY WATER SYSTEM,CWS,PO BOX 69,405 S MAIN,84751,MILFORD,08,UT,1381,"BEALER, MAKAYLA",UT,Beaver
UTAH01004,MINERSVILLE WATER SYSTEM,CWS,44 W 300 S,,84752,MINERSVILLE,08,UT,907,"CARTER, KEVIN BRENT",UT,Beaver
UTAH01005,MANDERFIELD CULINARY WATER COMPANY,CWS,PO BOX 178,,84713,BEAVER,08,UT,26,"BRADSHAW, SHERMAN RAY",UT,Beaver
UTAH01008,KENTS LAKE CAMPGROUND,TNCWS,115 E 900 N,,84701,RICHFIELD,08,UT,212,"VELLINGA, MATT W",UT,Beaver
UTAH01009,ANDERSON MEADOW CAMPGROUND,TNCWS,115 E 900 N,,84701,RICHFIELD,08,UT,30,"VELLINGA, MATT W",UT,Beaver
UTAH01011,PONDEROSA PICNIC GROUND,TNCWS,115 E 900 N,,84701,RICHFIELD,08,UT,130,"VELLINGA, MATT W",UT,Beaver
UTAH01012,ARROWHEAD INVESTMENT INC,TNCWS,PO BOX 697,,84713,BEAVER,08,UT,80,"RILEY, MIKE",UT,Beaver
UTAH01015,GREENVILLE WARD,TNCWS,12124 S Petersenbluff Dr,,84065,RIVERTON,08,UT,100,"MCDANIEL, ROY BENSON",UT,Beaver
UTAH01016,HI-LO ESTATES,TNCWS,3990 Wainscot Court,,89147,LAS VEGAS,08,UT,48,"MESINAR, LINDA",NV,Beaver
UTAH01017,LITTLE COTTONWOOD CAMPGROUND,TNCWS,115 E 900 N,,84701,RICHFIELD,08,UT,73,"VELLINGA, MATT W",UT,Beaver
UTAH01018,MINERSVILLE LAKE COUNTY PARK,TNCWS,PO BOX 272,,84713,BEAVER,08,UT,100,"EVANS, MICHELLE",UT,Beaver
UTAH01026,MAHOGANY COVE CAMPGROUND,TNCWS,115 E 900 N,,84701,RICHFIELD,08,UT,35,"VELLINGA, MATT W",UT,Beaver
UTAH01027,LITTLE RESERVOIR CAMPGROUND,TNCWS,115 E 900 N,,84701,RICHFIELD,08,UT,30,"VELLINGA, MATT W",UT,Beaver
UTAH01028,BIG FLAT GUARD STATION,TNCWS,115 E 900 N,,84701,RICHFIELD,08,UT,25,"VELLINGA, MATT W",UT,Beaver
UTAH01033,SMITHFIELD HOG ROCKY MTN - SKYLINE,NTNCWS,PO BOX 535,,84713,BEAVER,08,UT,175,"ROBINSON, MATTHEW NOAL",UT,Beaver
UTAH01034,SMITHFIELD HOG ROCKY MTN - WEST SKYLINE,NTNCWS,PO BOX 338,,84752,MINERSVILLE,08,UT,60,"WOOLF, JARED TONY",UT,Beaver
UTAH01036,SMITHFIELD HOG ROCKY MTN-BLUE MTN NORTH,NTNCWS,PO BOX 338,,84752,MINERSVILLE,08,UT,47,"WOOLF, JARED TONY",UT,Beaver
UTAH02001,ACME WATER COMPANY,CWS,6065 N 4600 W,,84301,BEAR RIVER,08,UT,880,"MORRIS, KENDALL A",UT,Box Elder
UTAH02002,BEAR RIVER WCD-BEAVER DAM,CWS,879 W 885 S,,84302,BRIGHAM CITY,08,UT,65,"JORGENSEN, VONEENE J",UT,Box Elder
UTAH02003,BOTHWELL TOWN WATER SYSTEM,CWS,11865 N 10800 W,,84337,TREMONTON,08,UT,360,"THOMPSON, ALLAN",UT,Box Elder
UTAH02004,BRIGHAM CITY WATER SYSTEM,CWS,4290 W 9600 N,,84337,TREMONTON,08,UT,21176,"PUGSLEY, TYLER DAVID",UT,Box Elder
UTAH02005,CORINNE CITY,CWS,4660 W 2400 N,,84307,CORINNE,08,UT,690,"NICHOLAS, KELLY T",UT,Box Elder
UTAH02006,DEWEYVILLE TOWN,CWS,9215 N HWY 38,,84309,DEWEYVILLE,08,UT,325,"SPACKMAN, NATHAN P",UT,Box Elder
UTAH02007,ELWOOD TOWN,CWS,9720 N 4400 W,,84337,ELWOOD,08,UT,1665,"WOERNER, STEVEN CURTIS",UT,Box Elder
UTAH02009,GARLAND CITY WATER SYSTEM,CWS,566 S 300 W,,84312,GARLAND,08,UT,2400,"CUTLER, MATTHEW WAYNE",UT,Box Elder
UTAH02010,EAST GROUSE CREEK PIPELINE CO,CWS,PO BOX 15,,84313,GROUSE CREEK,08,UT,70,"TANNER, JULIE",UT,Box Elder
UTAH02011,TREMONTON CITY,CWS,270 S 100 W,,84337,TREMONTON,08,UT,7740,"FULGHAM, PAUL CULLEN",UT,Box Elder
UTAH02012,PORTAGE TOWN WATER SYSTEM,CWS,25660 N 8900 W,,84331,PORTAGE,08,UT,275,"TREE, CYNDI RAE",UT,Box Elder
UTAH02013,PLYMOUTH TOWN WATER SYSTEM,CWS,PO BOX 82,,84330,PLYMOUTH,08,UT,414,"UDY, WESLEY D",UT,Box Elder
UTAH02014,UKON WATER COMPANY,CWS,4500 W 14800 N,,84312,GARLAND,08,UT,1133,"SHAFFER, BRIAN",UT,Box Elder
UTAH02015,RIVERSIDE-NORTH GARLAND WATER CO,CWS,505 S 100 W,,84312-9373,GARLAND,08,UT,750,"ANDERSON, ALAN DOUGLAS",UT,Box Elder
UTAH02016,HONEYVILLE TOWN WATER SYSTEM,CWS,BOX 142,,84314,HONEYVILLE,08,UT,1500,"BINGHAM, BOYD",UT,Box Elder
UTAH02017,HOWELL TOWN WATER SYSTEM,CWS,PO BOX 1011,,84316,HOWELL,08,UT,260,"HAWKES, ROBERT CRAIG",UT,Box Elder
UTAH02018,MANTUA TOWN WATER SYSTEM,CWS,1016 N MAIN,,84324,MANTUA,08,UT,761,"JOHNSON, HARPER LEON",UT,Box Elder
UTAH02019,PERRY CITY,CWS,1410 W 3300 S,,84302,PERRY,08,UT,4700,"BRAEGGER, GREG RYAN",UT,Box Elder
UTAH02020,SNOWVILLE TOWN,CWS,PO BOX 632,,84336,SNOWVILLE,08,UT,340,"TERRY, ALAN HAROLD",UT,Box Elder
UTAH02021,SOUTH WILLARD,CWS,P.O. BOX 82,,84340,WILLARD,08,UT,975,"HARAMAS, JAYSON",UT,Box Elder
UTAH02022,WEST CORINNE WATER CO,CWS,917 HILLVIEW RD,,84302,BRIGHAM CITY,08,UT,1275,"MCFARLAND, CARY MICHAEL",UT,Box Elder
UTAH02024,WILLARD CITY WATER SYSTEM,CWS,PO BOX 593,,84340,WILLARD,08,UT,2036,"FELLENZ, TERI",UT,Box Elder
UTAH02025,THATCHER-PENROSE SERVICE DISTRICT,CWS,10040 N 11600 W,,84337,TREMONTON,08,UT,590,"NELSON, RANDY",UT,Box Elder
UTAH02026,GOLDEN SPIKE NM,TNCWS,88 S 600 E,,84302,BRIGHAM CITY,08,UT,30,"CARROLL, RICHARD VERNON",UT,Box Elder
UTAH02031,GIRLS HOME,TNCWS,12124 S Petersenbluff Dr,,84065,RIVERTON,08,UT,300,"MCDANIEL, ROY BENSON",UT,Box Elder
UTAH02032,ATK PROMONTORY PLANT,NTNCWS,847 N TREMONT,,84337,TREMONTON,08,UT,2000,"SEAMONS, RICHARD D",UT,Box Elder
UTAH02043,PARK VALLEY SCHOOL,NTNCWS,9215 N HWY 38,,84309,DEWEYVILLE,08,UT,50,"SPACKMAN, NATHAN P",UT,Box Elder
UTAH02044,PARK VALLEY LDS CHURCH,TNCWS,12124 S Petersenbluff Dr,,84065,RIVERTON,08,UT,146,"MCDANIEL, ROY BENSON",UT,Box Elder
UTAH02051,CEDAR RIDGE DISTRIBUTION COMPANY,CWS,12435 N HILLCREST DR,,84309,DEWEYVILLE,08,UT,100,"THOMPSON, DAVID Z",UT,Box Elder
UTAH02052,FIVE C MOBILE HOME PARK,CWS,7750 S HWY 89,,84340,WILLARD,08,UT,106,"COOK, JERRY G",UT,Box Elder
UTAH02053,COLEMAN MOBILE HOME COURT,CWS,8615 S HWY 89 #16 N,,84340,WILLARD,08,UT,47,"COLEMAN, GARY WILLIAM",UT,Box Elder
UTAH02055,HOT SPRINGS TRAILER COURT,CWS,1228 BEECHER AVE,,84302,BRIGHAM CITY,08,UT,120,"DIMICK, DANIEL LEWIS",UT,Box Elder
UTAH02056,MADDOX RESTAURANT,TNCWS,1900 SOUTH HIGHWAY 89,,84302,PERRY,08,UT,958,"MADDOX, IRVIN",UT,Box Elder
UTAH02057,NUCOR STEEL,NTNCWS,3970 East Hwy 36,,83252,MALAD,08,UT,438,"NEILSON, LAD RANDALL",ID,Box Elder
UTAH02058,MARBLE HILLS SUBDIVISION,CWS,11016 N WALLACE LN,,84337,TREMONTON,08,UT,250,"HEINER, KIP ANDREW",UT,Box Elder
UTAH02060,UTAH TEST AND TRAINING RANGE,NTNCWS,233 N 750 W,,84041,LAYTON,08,UT,63,"JOHNSON, MATTHEW GRANT",UT,Box Elder
UTAH02062,WILLOW CREEK WATER CO,CWS,P.O Box 3394,,84323,LOGAN,08,UT,175,"TAYLOR, STEVEN",UT,Box Elder
UTAH02066,BEAR RIVER WCD-TREMONTON,CWS,879 W 885 S,,84302,BRIGHAM CITY,08,UT,0,"JORGENSEN, VONEENE J",UT,Box Elder
UTAH02068,BEAR RIVER WCD-HARPER WARD,CWS,879 W 885 S,,84302,BRIGHAM CITY,08,UT,350,"JORGENSEN, VONEENE J",UT,Box Elder
UTAH02069,SUNSET PARK WATER CO.,CWS,9250 N 11650 W,,84337,TREMONTON,08,UT,44,"ANDERSON, BLAINE",UT,Box Elder
UTAH02070,BEAR RIVER WCD-RIVERSIDE-NORTH GARLAND,CWS,879 W 885 S,,84302,BRIGHAM CITY,08,UT,30,"JORGENSEN, VONEENE J",UT,Box Elder
UTAH02072,EARLEY PARK,TNCWS,12124 S Petersenbluff Dr,,84065,RIVERTON,08,UT,225,"MCDANIEL, ROY BENSON",UT,Box Elder
UTAH02075,MANTUA VALLEY CAMP,TNCWS,12124 S Petersenbluff Dr,,84065,RIVERTON,08,UT,400,"MCDANIEL, ROY BENSON",UT,Box Elder
UTAH02078,M %26 J TRAILER HOME COMMUNITY,CWS,9135 S MONROE PLAZA WAY SUITE C,,84070,SANDY,08,UT,20,"BOONE, JESSE",UT,Box Elder
UTAH02079,BEAR RIVER WCD- COLLINSTON WATER SYSTEM,CWS,879 W 885 S,,84302,BRIGHAM CITY,08,UT,102,"JORGENSEN, VONEENE J",UT,Box Elder
UTAH03001,NIBLEY CITY WATER,CWS,425 W 2600 S,,84321,NIBLEY,08,UT,6000,"POPE, JUSTIN BURDETTE",UT,Cache
UTAH03002,AMALGA TOWN WATER SYSTEM,CWS,2591 W 7000 N,,84335,AMALGA,08,UT,495,"HANSEN, SHAWN",UT,Cache
UTAH03004,CLARKSTON TOWN WATER SYSTEM,CWS,PO BOX 181,,84305,CLARKSTON,08,UT,750,"GOODSELL, BRYAN VAUGHN",UT,Cache
UTAH03005,CORNISH TOWN WATER SYSTEM,CWS,13322 N 4400 W,,84308,CORNISH,08,UT,270,"LEAK, MATTHEW",UT,Cache
UTAH03006,COVE  WATERWORKS,CWS,1290 E 12600 N,,84320,COVE,08,UT,52,"LARSEN, RANDY GENE",UT,Cache
UTAH03007,HYDE PARK CITY WATER SYSTEM,CWS,190 S 200 W,,84318,HYDE PARK,08,UT,4000,"GRUNIG, MICHAEL L",UT,Cache
UTAH03008,HYRUM CITY,CWS,83 W MAIN ST,,84319,HYRUM,08,UT,7609,"NIELSEN, COREY",UT,Cache
UTAH03009,LEWISTON CITY,CWS,29 SOUTN MAIN,,84320,LEWISTON,08,UT,2078,"SWAINSTON, PAUL JAY",UT,Cache
UTAH03010,LOGAN CITY WATER SYSTEM,CWS,289 E 200 N,,84335,SMITHFIELD,08,UT,48174,"LINDHARDT, PAUL WILLIAM",UT,Cache
UTAH03011,MENDON CITY,CWS,PO BOX 382,,84325-0382,MENDON,08,UT,1640,"TAYLOR, KIRK D",UT,Cache
UTAH03012,MILLVILLE CITY,CWS,PO BOX 427,,84326,MILLVILLE,08,UT,1900,"KENDRICK, VERNON CHAD",UT,Cache
UTAH03013,NEWTON TOWN WATER SYSTEM,CWS,P.O Box 124,,84327,NEWTON,08,UT,810,"WOODWARD, JED GRANT",UT,Cache
UTAH03014,GOASLIND SPRING W W CO.,CWS,1113 E 13000 N,,84320,COVE,08,UT,42,"ALLEN, STEVEN D",UT,Cache
UTAH03015,NORTH LOGAN CITY,CWS,2128 N 1200 E,,84341,NORTH LOGAN,08,UT,8500,"WILHELM, ROBERT KAY",UT,Cache
UTAH03016,PARADISE TOWN WATER SYSTEM,CWS,PO BOX 85,,84328,PARADISE,08,UT,920,"ATWOOD, LEROY THOMAS",UT,Cache
