PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
VA1021007,AMERICAN MINE RESEARCH INC,NTNCWS,P.O. BOX 234,,24366,ROCKY GAP,03,VA,48,"LESTER, WILLIAM RANDALL",VA,Bland
VA1021043,BLAND COMMUNITY WATER AUTHORITY,CWS,"MAIN ST., BLAND COUNTY COURTHOUSE SQ.",P.O. BOX 510,24315,BLAND,03,VA,490,"RATLIFF, RODNEY LEE",VA,Bland
VA1021046,BLAND CORRECTIONAL CENTER,CWS,"ESU Manager, Marion Correctional Center",110 Wright Street,24354,MARION,03,VA,750,"HUBBLE, RANDALL M.",VA,Bland
VA1021056,"ABB POWER T %26 D COMPANY, INC.",NTNCWS,171 Industry Dr.,,24315,BLAND,03,VA,430,"HOOSIER, DANIEL E.",VA,Bland
VA1021126,"DEER RUN WATER COMPANY, INC",CWS,622 M. L. THOMPSON DRIVE,P O BOX 302,24366,ROCKY GAP,03,VA,41,"SMITH, BARRY ELVIN",VA,Bland
VA1021172,BIG WALKER MOTEL,TNCWS,70 Skyview Lane,PO BOX 155,24315,BLAND,03,VA,25,"DAVIS, WILLIAM",VA,Bland
VA1021700,ROCKY GAP/BASTIAN REGIONAL,CWS,"MAIN ST., BLAND COUNTY COURTHOUSE SQ.",P.O. BOX 510,24315,BLAND,03,VA,985,"RATLIFF, RODNEY LEE",VA,Bland
VA1021947,WOLF CREEK GOLF CLUB,TNCWS,6828 Grapefield Road,,24314,BASTIAN,03,VA,30,"BELCHER, WAYNE",VA,Bland
VA1027061,BUCHANAN CO PSA,CWS,RT. 460 - DEEL,P.O. BOX 30,24656,VANSANT,03,VA,19205,"SAUER, ROBERT ALAN",VA,Buchanan
VA1027065,GRASSY CREEK-BCPSA,CWS,"Rt. 460, Deel",P. O. Box 30,24656,VANSANT,03,VA,440,"MCCLANAHAN, GREGORY",VA,Buchanan
VA1027067,OSBORNE MOUNTAIN - BCPSA,CWS,"Rt. 460, Deel",P. O. Box 30,24656,VANSANT,03,VA,70,"MCCLANAHAN, GREGORY",VA,Buchanan
VA1027068,PAGE - BCPSA,CWS,"Rt. 460, Deel",P. O. Box 30,24656,VANSANT,03,VA,50,"MCCLANAHAN, GREGORY",VA,Buchanan
VA1027069,SHORTT GAP - BCPSA,CWS,"Rt. 460, Deel",P. O. Box 30,24656,VANSANT,03,VA,64,"MCCLANAHAN, GREGORY",VA,Buchanan
VA1035010,ALPINE CREST,TNCWS,150 Holly Hills Drive,,27371,TROY,03,VA,25,"HAYWOOD, ERNEST",NC,Carroll
VA1035050,BLUE RIDGE MUSIC CENTER,TNCWS,199 Hemphill Knob Road,,28803,ASHEVILLE,03,VA,100,"MOLLING, MIKE",NC,Carroll
VA1035060,BRANDYWINE ESTATES,CWS,4163 Sinclair Street,,28037,DENVER,03,VA,25,"ISON, LAURIE",NC,Carroll
VA1035066,CANA REGIONAL WATER SYSTEM,CWS,605-2 Pine Street,,24343,HILLSVILLE,03,VA,1496,"MONTGOMERY, JESSICA",VA,Carroll
VA1035088,CARROLL REGIONAL WATER SYSTEM,CWS,605-2 Pine Street,,24343,HILLSVILLE,03,VA,7500,"MONTGOMERY, JESSICA",VA,Carroll
VA1035090,CASCADE MOUNTAIN RESORT,CWS,P.O. BOX 353,,24328,FANCY GAP,03,VA,145,"BODE, LOU",VA,Carroll
VA1035091,CONDOMINIUMS AT CASCADE,TNCWS,P.O. Box 246,,24317,CANA,03,VA,25,"BURGESS, RAY",VA,Carroll
VA1035095,"CHALET HIGH, INC",CWS,651 Chalet Drive,,24328,FANCY GAP,03,VA,340,"TANNER, FRED A.",VA,Carroll
VA1035100,CROOKED CREEK FEE FISHING AREA,TNCWS,P.O. Box 90778,,23228-0778,HENRICO,03,VA,25,"DELBOS, BRENDAN",VA,Carroll
VA1035107,CROOKED OAK RESTAURANT,TNCWS,8302 Danville Pike,,24343,HILLSVILLE,03,VA,100,"STONE, GARY",VA,Carroll
VA1035195,FANCY GAP CABINS AND CAMPGROUND,TNCWS,202595 Blue RIdge Pky,,24328,FANCY GAP,03,VA,25,"GREEN, DAVID AND DENISE",VA,Carroll
VA1035227,GLADESBORO ELEMENTARY SCHOOL,NTNCWS,605-9 Pine Street,,24343,HILLSVILLE,03,VA,137,"PERRY, SHIRLEY",VA,Carroll
VA1035274,GOSPEL LIGHT CHRISTIAN CAMP,TNCWS,1001 Bobbitt Road,,24343,HILLSVILLE,03,VA,200,"HICKS, TIM",VA,Carroll
VA1035275,GROUNDHOG MOUNTAIN,TNCWS,199 Hemphill Knob Road,,28803,ASHEVILLE,03,VA,150,"MOLLING, MIKE",NC,Carroll
VA1035290,HIGH CHAPARRAL INC,TNCWS,P. O. Box 111,,24328,FANCY GAP,03,VA,116,"YOUNG, REBECCA",VA,Carroll
VA1035292,HILLCREST SUBDIVISION,TNCWS,605-2 Pine Street,,24343,HILLSVILLE,03,VA,40,"MONTGOMERY, JESSICA",VA,Carroll
VA1035295,"HILLSVILLE, TOWN OF",CWS,410 North Main Street,P.O. Box 545,24343,HILLSVILLE,03,VA,2704,"JACKSON, RETTA N.",VA,Carroll
VA1035303,COUNTRY VIEW INN,TNCWS,230 Pottery Drive,,24328,FANCY GAP,03,VA,25,"PATEL, VIKASH",VA,Carroll
VA1035415,KANAWHA VALLEY ARENA,TNCWS,121 Kanawha Ridge Road,,24325,DUGSPUR,03,VA,200,"BROWN, TOMMY",VA,Carroll
VA1035437,LAUREL MEADOWS HOME,CWS,P. O. Box 20909,,24018,ROANOKE,03,VA,90,"LENEAVE, ROY W.",VA,Carroll
VA1035475,I-77 EXIT 1,CWS,605-2 Pine Street,,24343,HILLSVILLE,03,VA,325,"MONTGOMERY, JESSICA",VA,Carroll
