PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
VI0000042,"WATERGATE EAST (B-15,16,17)",TNCWS,7101 E Watergate,7101Estate Bolongo,00802,ST. THOMAS,02,VI,133,"JONES, CUTHWYN",VI,St. Thomas Island
VI0000048,COAKLEY BAY F,CWS,"5000 Castle Coakley,",23A Estate Castle Coakley,00820,CHRISTIANSTED,02,VI,99,"ZOLNER, ERIC",VI,St. Croix Island
VI0000055,GENTLE WINDS RESORT A/B,TNCWS,9003 Gentle Winds,,00820,CHRISTIANSTED,02,VI,28,"HEISER, DAVID",VI,St. Croix Island
VI0000058,HERBERT GRIGG KITCHEN,CWS,RR1 Box 9297 Kingshill,24AA Kingshill,00850,CHRISTIANSTED,02,VI,133,"FLUDD, VIVIAN",VI,St. Croix Island
VI0000064,LONG REEF APARTMENTS,CWS,3016 Orange Grove,Plot 16-17 Orange Gove,00820,CHRISTIANSTED,02,VI,124,"HOLLOWAY, TRAVIS",VI,St. Croix Island
VI0000066,LORRAINE VILLAGE,CWS,20-21A Plessen,20-21A Plessen,00840,FREDERIKSTED,02,VI,1008,"SWANSTON, ARLENE",VI,St. Croix Island
VI0000068,MILL HARBOUR CONDO%27S,CWS,3220 Estate Golden Rock,#221 Estate Golden Rock,00820,CHRISTIANSTED,02,VI,75,"MARTINEZ, GERMAN",VI,St. Croix Island
VI0000069,THE GOLDEN TWIN APT.%27S (BAY COURT-N),CWS,P.O.Box 6546,"38,39,51,52,  Golden Rock",00823,CHRISTIANSTED,02,VI,38,"CRUZ, WILMA",VI,St. Croix Island
VI0000071,QUEEN LOUISE HOME,CWS,516B Hospital Street,72 Concordia,00840,FREDERIKSTED,02,VI,90,"HOLTZ, DANA",VI,St. Croix Island
VI0000072,QUESTA VERDE F,CWS,6080 Questa Verde,11 %26 12 Estate Herman Hill,00820,CHRISTIANSTED,02,VI,37,"DANIELS, JOSEPH",VI,St. Croix Island
VI0000074,THE REEF CONDO,CWS,P.O.Box 25565,5000 Estate Teague Bay,00824,CHRISTIANSTED,02,VI,374,"HANNE, MIKE",VI,St. Croix Island
VI0000075,ASSOCIATION OF ST.X CONDO%27S,CWS,4200 St. John,4200 St. John,00820,CHRISTIANSTED,02,VI,199,"WHITE, THOMAS",VI,St. Croix Island
VI0000076,SUGAR BEACH CONDO,TNCWS,3245 Golden Rock,3245 Golden Rock,00820,CHRISTIANSTED,02,VI,53,"HILL, SHARON",VI,St. Croix Island
VI0000078,HARBOUR VIEW APARTMENTS,CWS,3000 Golden Rock,3000 Golden Rock,00820,CHRISTIANSTED,02,VI,863,"ANTONIE, TAKIYAH",VI,St. Croix Island
VI0000094,COWPET BAY VILLAGE-WEST,CWS,6201 Windward Way,6201 Windward Way,00802,ST. THOMAS,02,VI,300,"CASSIDAY, JOHN",VI,St. Thomas Island
