PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
VT0000004,BIG PICTURE,TNCWS,,PO BOX 815,05673,WAITSFIELD,01,VT,212,"BECKER, CLAUDIA",VT,Washington
VT0000020,WEST MOUNTAIN INN,TNCWS,,PO BOX 40,05250,ARLINGTON,01,VT,74,"EMMONS, AMIE B",VT,Bennington
VT0000037,MOUNTAIN HIGH PIZZA PIE,TNCWS,,253 E VT ROUTE 15,05465,JERICHO,01,VT,41,"METRUK, PAUL M",VT,Chittenden
VT0000064,GRAFTON INN,TNCWS,,PO BOX 70,05146,GRAFTON,01,VT,222,"LAUREN, KARL  A",VT,Windham
VT0000120,SNOWLINE,TNCWS,JAY PEAK INC,830 JAY PEAK RD,05859,JAY,01,VT,45,"GILCRIS, MATTHEW L",VT,Orleans
VT0000121,INN AT SAXTONS RIVER,TNCWS,,PO BOX 220,05154,SAXTONS RIVER,01,VT,135,"CAMPBELL, SARAH L",VT,Windham
VT0000131,NORTON RESTAURANT,TNCWS,CHEZ PIDGEON INC,1760 RT 114,05907,NORTON,01,VT,86,"ROY, ALMEDA B",VT,Essex
VT0000146,COLONEL WILLIAMS INN,TNCWS,,PO BOX 126,05344,MARLBORO,01,VT,322,"OSBORNE, VICTORIA E",VT,Windham
VT0000153,OLYMPIA MOTOR LODGE,TNCWS,,PO BOX 606,05255,MANCHESTER CTR,01,VT,91,"ASCIUTTO, SAL",VT,Bennington
VT0000160,INNSBRUCK MOTOR INN,TNCWS,,4361 MOUNTAIN RD,05672,STOWE,01,VT,83,"DROLET, JEAN",VT,Lamoille
VT0000163,THE PUBLYK HOUSE,TNCWS,,782 HARWOOD HILL RD,05201,BENNINGTON,01,VT,185,"BRYANT, STEVEN E",VT,Bennington
VT0000165,BACK BEHIND STEAK SALOON,TNCWS,,PO BOX 502,05751,KILLINGTON,01,VT,115,"ZENDZIAN, CONRAD M",VT,Windsor
VT0000170,1815 PUCKER STREET,TNCWS,,1813 PUCKER STREET,05672,STOWE,01,VT,60,"SAUNDERS, SHAWN M",VT,Lamoille
VT0000173,CASCADES LODGE,TNCWS,,58 OLD MILL RD,05751,KILLINGTON,01,VT,294,"MALKANI, PIA G",VT,Rutland
VT0000196,CORTINA INN  RESORT,TNCWS,,103 US RT 4,05751,KILLINGTON,01,VT,616,"KITCHIN, PATRICK",VT,Rutland
VT0000208,CHINESE GOURMET SUSHI YOSHI,TNCWS,,2357 NORTH RD,05735,CASTLETON,01,VT,107,"SMITH, HOWARD S",VT,Rutland
VT0000211,DOLLAR GENERAL - ARLINGTON,TNCWS,,100 MISSION RIDGE,37072,GOODLETTSVILLE,01,VT,48,"ELLIOTT, KRISTIN",TN,Bennington
VT0000226,CASEYS CABOOSE,TNCWS,CASEYS CABOOSE,1930 KILLINGTON ROAD,05751,KILLINGTON,01,VT,128,"MACHARDY, JOHN",VT,Rutland
VT0000237,SANDYS DRIVE IN,TNCWS,,BOX 130,05065,SHARON,01,VT,29,"ALDRICH, SHARON M",VT,Windsor
