PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
WA5300008,ADAMS COUNTY FAIR,TNCWS,Public Works Department,210 West Alder,99169,Ritzville,10,WA,503,ADAMS COUNTY FAIR,WA,Adams
WA5300020,Port of Royal Slope,NTNCWS,PO BOX 147,,99357,Royal City,10,WA,392,Port of Royal Slope,WA,Grant
WA5300029,CARLSBORG MOBILE ESTATES,CWS,PO BOX 92,,98382,SEQUIM,10,WA,69,CARLSBORG MOBILE ESTATES,WA,Clallam
WA5300045,LOOKOUT POINT,CWS,PO Box 336,,98335-0336,Gig Harbor,10,WA,72,LOOKOUT POINT,WA,Kitsap
WA5300050,ABERDEEN CITY OF,CWS,CITY OF ABERDEEN WATER DEPT,200 E MARKET ST,98520,ABERDEEN,10,WA,17958,ABERDEEN CITY OF,WA,Grays Harbor
WA5300066,ISSAQUAH CHRISTIAN CHURCH,TNCWS,PO Box 1028,,98027,Issaquah,10,WA,42,ISSAQUAH CHRISTIAN CHURCH,WA,King
WA5300079,SPOKANE RIFLE CLUB NORTH,TNCWS,SPOKANE RIFLE CLUB,PO BOX 18887,99228,SPOKANE,10,WA,19,,WA,Spokane
WA5300080,SPOKANE RIFLE CLUB SOUTH,TNCWS,SPOKANE RIFLE CLUB,PO BOX 18887,99228,SPOKANE,10,WA,18,,WA,Spokane
WA5300100,ENERGY DEPT OF/200W,NTNCWS,Mission Support Alliance,PO Box 650  MSIN:S0-20,99352,Richland,10,WA,6472,ENERGY DEPT OF/200W,WA,Benton
WA5300101,KEY PENINSULA CIVIC CENTER ASSN,TNCWS,Key Peninsula Civic Ctr Assn,PO Box 82,98394,Vaughn,10,WA,86,KEY PENINSULA CIVIC CENTER ASSN,WA,Pierce
WA5300119,KONTREE APARTMENTS WATER SYSTEM,CWS,Water System Services Inc,"6951 Hannegan Road, #2",98264,Lynden,10,WA,60,KONTREE APARTMENTS WATER SYSTEM,WA,Whatcom
WA5300124,ROGERS WATER SYSTEM,TNCWS,6460 Stonelodge Rd,,99026,Nine Mile Falls,10,WA,251,ROGERS WATER SYSTEM,WA,Stevens
WA5300133,CORNERSTONE ESTATES 606,CWS,1230 Ruddell Rd SE,,98503,Lacey,10,WA,48,CORNERSTONE ESTATES 606,WA,Thurston
WA5300153,TWANOH HEIGHTS COMMUNITY CLUB,CWS,Mason County PUD No. 1,21971 N Hwy. 101,98584,Shelton,10,WA,110,TWANOH HEIGHTS COMMUNITY CLUB,WA,Mason
WA5300177,ENERGY DEPT OF/100K,NTNCWS,PO Box 1600 MS:X3-20,,99352,"Richland, WA",10,WA,270,ENERGY DEPT OF/100K,WA,Benton
WA5300195,HARMONY HILL,TNCWS,H2O Management Services Inc,PO Box 2026,98584-5034,Shelton,10,WA,41,HARMONY HILL,WA,Mason
WA5300223,Copalis RV Park,TNCWS,112 Dogwood  Dr,,98532,Chehalis,10,WA,19,Copalis RV Park,WA,Grays Harbor
WA5300238,DALLESPORT INDUSTRIAL PARK,NTNCWS,Klickitat County PUD #1,1313 S Columbus Ave,98620,Goldendale,10,WA,495,DALLESPORT INDUSTRIAL PARK,WA,Klickitat
WA5300240,G%26M ESTATE,TNCWS,PO BOX 123,,98366,PORT ORCHARD,10,WA,39,G%26M ESTATE,WA,Thurston
WA5300250,ACME WATER DISTRICT NO 18,CWS,PO Box 13,,98220,Acme,10,WA,568,ACME WATER DISTRICT NO 18,WA,Whatcom
WA5300253,CEDARWOOD SOUTH UNION ESTATES,CWS,Southwest Region,6800 Meridian Rd SE,98513-6302,Olympia,10,WA,117,CEDARWOOD SOUTH UNION ESTATES,WA,Thurston
WA5300262,MAYTOWN TRUCK STOP,TNCWS,2820 MAYTOWN RD SW,,98512,OLYMPIA,10,WA,44,MAYTOWN TRUCK STOP,WA,Thurston
WA5300270,OBSTRUCTION ISLAND COMMUNITY CLUB,TNCWS,Obstruction Island Club,2455 277th Ave Se,98075,Sammamish,10,WA,42,OBSTRUCTION ISLAND COMMUNITY CLUB,WA,San Juan
WA5300302,FOUR SEASONS PARK,CWS,"Solmar Water System, Inc.",PO Box 1989,98382,Sequim,10,WA,225,FOUR SEASONS PARK,WA,Clallam
WA5300307,CARLSBORG LUD 10 12 13 14,CWS,PO Box 1000,,98324,Carlsborg,10,WA,1648,CARLSBORG LUD 10 12 13 14,WA,Clallam
WA5300315,BIRCHFIELD 207,CWS,PO BOX 123,,98366,PORT ORCHARD,10,WA,41,BIRCHFIELD 207,WA,Lewis
WA5300323,PORT GAMBLE,CWS,KITSAP COUNTY PUD #1,PO Box 1989,98370,Poulsbo,10,WA,303,PORT GAMBLE,WA,Kitsap
WA5300333,PACIFIC BEACH/MOCLIPS,CWS,PO Box 280,,98571,Pacific Beach,10,WA,1867,PACIFIC BEACH/MOCLIPS,WA,Grays Harbor
WA5300339,TROWBRIDGE COURT CONDO ASSN,TNCWS,PO Box 123,,98366,Port Orchard,10,WA,23,TROWBRIDGE COURT CONDO ASSN,WA,Clallam
