PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
WI1110006,CASCADE MTN SKI - DAISY RESTAURANT WELL,TNCWS,W10441 CASCADE MOUNTAIN RD,,53901-9633,PORTAGE,05,WI,600,CASCADE MT INC - ROB WALZ,WI,Columbia
WI1110037,POYNETTE WATERWORKS,CWS,106 S MAIN STREET,,53955,POYNETTE,05,WI,2520,"SHANKS, MARTIN",WI,Columbia
WI1110038,COLUMBUS WATER %26 LIGHT DEPARTMENT,CWS,105 N DICKASON BLVD,,53925-1565,COLUMBUS,05,WI,5036,"GOBEL, PATRICIA - COLUMBUS CITY CLERK",WI,Columbia
WI1110039,PORTAGE WATERWORKS,CWS,115 W PLEASANT ST,,53901-1742,PORTAGE,05,WI,10300,"JAHNCKE, AARON - PUBLIC WORKS/UTIL MGR",WI,Columbia
WI1110041,CAMBRIA WATERWORKS,CWS,111 W EDGEWATER ST,BOX 295,53923-0295,Cambria,05,WI,767,"FRANK, LOIS - CAMBRIA VILLAGE CLERK/TREAS",WI,Columbia
WI1110045,GRANDE CHEESE WYOCENA,NTNCWS,181 W MONROE ST,,53969,WYOCENA,05,WI,100,"BONIN, MIKE - GRANDE CHEESE CO",WI,Columbia
WI1110049,PARDEEVILLE WATERWORKS,CWS,114 LAKE STREET,,59354,PARDEEVILLE,05,WI,2117,"BECKER, BOB - VILLAGE PRESIDENT",WI,Columbia
WI1110065,HARMONY MOBILE MANOR,CWS,N2085 REAL SHORT RD,,53555,LODI,05,WI,45,"COOKE, THOMAS",WI,Columbia
WI1110066,CRYSTAL LAKE RV RESORT LLC,CWS,STEVE BODENSCHATZ,N550 GANNON RD,53555,LODI,05,WI,700,CRYSTAL LAKE PARK LLC,WI,Columbia
WI1110068,SCHOEPPS COTTONWOOD RESORT,TNCWS,N586 SCHOEPP RD,,53583-9405,SAUK CITY,05,WI,60,"SCHOEPP, DALE %26 LYNDA",WI,Columbia
WI1110070,WI DNR MACKENZIE 9 PICNIC AREA,TNCWS,W7303 COUNTY HIGHWAY CS,,53955,POYNETTE,05,WI,25,"KUEFFLER, SAMANTHA D - PROPERTY MGR",WI,Columbia
WI1110071,WI DNR MACKENZIE 5 OFFICE/ADMINISTRATION BLDG,TNCWS,W7303 COUNTY HIGHWAY CS,,53955,POYNETTE,05,WI,31,"KUEFFLER, SAMANTHA D - PROPERTY MGR",WI,Columbia
WI1110074,WI DNR MACKENZIE 4 BADGER DEN,TNCWS,W7303 COUNTY HIGHWAY CS,,53955,POYNETTE,05,WI,29,"KUEFFLER, SAMANTHA D - PROPERTY MGR",WI,Columbia
WI1110093,ARLINGTON WATERWORKS,CWS,200 COMMERCIAL ST,PO BOX 207,53911-0207,ARLINGTON,05,WI,823,"MONSON, PJ - VILL CLERK-TREASURER",WI,Columbia
WI1110098,FALL RIVER WATERWORKS,CWS,641 S MAIN ST,PO BOX 37,53932-0037,FALL RIVER,05,WI,1712,FALL RIVER VILLAGE CLERK - MARIE ABEGGLEN,WI,Columbia
WI1110099,FRIESLAND WATERWORKS,CWS,113 S MADISON ST,PO BOX 208,53935-0208,FRIESLAND,05,WI,311,FRIESLAND VILLAGE CLERK - MARCIA DYKSTRA,WI,Columbia
WI1110100,LODI WATERWORKS,CWS,130 S MAIN ST,,53555-1120,LODI,05,WI,3006,"BUHR, KENNAN - OPS MGR",WI,Columbia
WI1110101,HARMONY GROVE SAN DIST,CWS,W10901 LAKE POINT DR,,53555,LODI,05,WI,1950,HARMONY GROVE SANITARY DIST,WI,Columbia
WI1110103,SUBURBAN HEIGHTS MHP,CWS,P O BOX 327,,53954,PARDEEVILLE,05,WI,90,"HASSELBERGER, STEVEN J",WI,Columbia
