PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
WV3300101,BELINGTON TOWN OF,CWS,,505 CRIM AVE,26250,BELINGTON,03,WV,2107,"RYAN, MATTHEW",WV,Barbour
WV3300102,CHESTNUT RIDGE PSD,CWS,,P O BOX 386,26416,PHILIPPI,03,WV,2644,"MILLER, SHARON",WV,Barbour
WV3300103,JUNIOR TOWN OF,CWS,,BOX 247,26275,JUNIOR,03,WV,956,"MILLER, GARY",WV,Barbour
WV3300104,PHILIPPI CITY OF,CWS,,PO BOX 460,26416,PHILIPPI,03,WV,3582,"WEAVER, KAREN N.",WV,Barbour
WV3300106,CENTRAL BARBOUR PSD,CWS,YES,6745 UNION ROAD,26416-7662,PHILIPPI,03,WV,1978,"DAVIS, VALLI L.",WV,Barbour
WV3300107,CENTURY VOLGA PSD,CWS,YES,4186 BUCKHANNON ROAD,26238,VOLGA,03,WV,3261,"RICE, LINDA S.",WV,Barbour
WV3300108,PHILIPPI CITY OF - WELLINGTON HEIGHTS,CWS,,PO BOX 460,26416,PHILIPPI,03,WV,144,"WEAVER, KAREN N.",WV,Barbour
WV3300109,CHESTNUT RIDGE PSD - BERRYBURG,CWS,,P O BOX 386,26416,PHILIPPI,03,WV,137,"MILLER, SHARON",WV,Barbour
WV3300110,CENTRAL BARBOUR PSD - BELINGTON,CWS,YES,6745 UNION ROAD,26416-7662,PHILIPPI,03,WV,544,"DAVIS, VALLI L.",WV,Barbour
WV3300201,G AND E MHP,CWS,,478 TUSCARORA PIKE,25427,HEDGESVILLE,03,WV,268,"BUTTS, GARY LEE",WV,Berkeley
WV3300202,BERKELEY CO P S W D-BUNKER HILL,CWS,,251 CAPERTON BLVD.,25403,MARTINSBURG,03,WV,27531,"THIEL, CHRISTINE",WV,Berkeley
WV3300204,JUDY LYNN MHP,CWS,,24 BLESSING LANE,25403,MARTINSBURG,03,WV,53,"GANTT, ERIC D.",WV,Berkeley
WV3300209,BERKELEY CO PSWD-GLENWOOD FOREST,CWS,,2 TURQUOISE DRIVE,25427,HEDGESVILLE,03,WV,1102,"SHADE, BRIAN K.",WV,Berkeley
WV3300212,MARTINSBURG CITY OF,CWS,,PO BOX 828,25402,MARTINSBURG,03,WV,15652,"KAROS, GEORGE",WV,Berkeley
WV3300214,MIDWAY MHP,CWS,,PO BOX 339,17225,GREENCASTLE,03,WV,245,"ECKSTINE, CHARLES",PA,Berkeley
WV3300218,BERKELEY COUNTY PSWD-POTOMAC RIVER,CWS,,2 TURQUOISE DRIVE,25427,HEDGESVILLE,03,WV,27335,"SHADE, BRIAN K.",WV,Berkeley
WV3300223,"WOODS HOA, THE",CWS,YES,210 FREEDOM LANE,25401,MARTINSBURG,03,WV,1550,"DERIDDER, STEVEN J.",WV,Berkeley
WV3300227,VA MEDICAL CENTER,CWS,,509 JONQUIL LANE,25401,MARTINSBURG,03,WV,2175,"MERCER, MICHAEL",WV,Berkeley
WV3300229,CHERRY RUN MHP,CWS,,11743 MELROSE AVE,17225,GREEN CASTLE,03,WV,99,"MYERS, CURTIS",PA,Berkeley
WV3300230,VALLEY WATER AND SEWER-DEERWOOD,CWS,,270 INDUSTRIAL BOULEVARD,25430,KEARNEYSVILLE,03,WV,219,"SNYDER, LEE",WV,Berkeley
WV3300231,ROCKY GLEN MANUFACTURED HOUSING COMMUNIT,CWS,,104 BRONCO WAY,25403,MARTINSBURG,03,WV,861,"MCFILLAN, MARION V.",WV,Berkeley
WV3300236,CHESTNUT RIDGE WATER SYSTEM,CWS,YES,210 FREEDOM LANE,25401,MARTINSBURG,03,WV,105,"DERIDDER, STEVEN J.",WV,Berkeley
