PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
WY5600002,"AFTON, BOARD OF PUB UTILITIES",CWS,P.O. BOX 310,,83110,AFTON,08,WY,1818,"LANCASTER, LARRY",WY,Lincoln
WY5600003,"BAIROIL, TOWN OF",CWS,P.O. BOX 58,,82322,BAIROIL,08,WY,90,"RIGANO, TONY",WY,Sweetwater
WY5600004,"BASIN, TOWN OF",CWS,P.O. BOX 599,,82410,BASIN,08,WY,1250,"DELLOS, MIKE",WY,Big Horn
WY5600005,"BUFFALO, CITY OF",CWS,46 NORTH MAIN ST.,,82834,BUFFALO,08,WY,4200,"YOUNG, RONNIE",WY,Johnson
WY5600006,BEDFORD WATER %26 SEWER DISTRICT,CWS,"1455 CR 122, Suite 102",,83127,THAYNE,08,WY,725,"MAVY, BEN",WY,Lincoln
WY5600007,"BIG PINEY, TOWN OF",CWS,1690 Piney Drive,,83113,BIG PINEY,08,WY,652,"LOSIK, KARA",WY,Sublette
WY5600008,"BYRON, TOWN OF",CWS,BOX 5,35 South Pryor Street,82412,BYRON,08,WY,593,"MEIER, BROCK",WY,Big Horn
WY5600009,CENTRAL WY REG WATER SYS JPB,CWS,1500 SW. Wyoming Boulevard,,82604,CASPER,08,WY,25,"SCHROEDER, BRIAN",WY,Natrona
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,CWS,P.O. Box 1469,,82003,CHEYENNE,08,WY,58710,"KAILEY, RON",WY,Laramie
WY5600012,ORCHARD VALLEY WATER COMPANY,CWS,2209 South 3rd Avenue,,82007-3348,CHEYENNE,08,WY,264,"WATERS, FRANK",WY,Laramie
WY5600013,"CLEARMONT, TOWN OF",CWS,PO Box 127,,82835,CLEARMONT,08,WY,142,"DYCUS, CHRISTY",WY,Sheridan
